SID,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
S61,Western,Завхан,MN81,Отгон,MN8107,Отгон,Sheep,65.46,67.03,69.72,72.19,63.4,64.11,53.88,56.53,63.16,69.56,78.01,82.54,89.56,61.74,48.32,46.49,47.61,48.92,44.28,48.87,50.49,56.49,60.22,47.68,49.05,54.5,59.26,62.71,65.6,68.58,59.46,48.25,43.96,50.47,53.41,61.08,79.09,95.2,96.33,99.04,52.23,56.22,70.24,75.8,81.11,83.98,96.01,104.51,111.75,114.84,99.4
S68,Western,Завхан,MN81,Сантмаргац,MN8126,Сантмаргац,Sheep,44.74,49,52.4,55.85,51.5,53,58.21,52.9,58.47,52.7,51.09,42.63,47.19,47.58,42.1,45.7,46.68,46.14,46.8,48.84,53.54,55.82,58.61,57.69,60.72,60.18,58.45,62.57,68.11,59.41,48.7,45.64,49.41,55.8,70.32,69.01,84.27,90.97,76.95,66.14,51.44,59.35,63.46,69.07,75.9,81.09,79.54,83.91,69.93,73.79,72.62
S73,Western,Завхан,MN81,Сонгино,MN8123,Сонгино,Sheep,70.19,73.41,69.89,67.07,60.88,68.37,74.48,73.82,79.4,74.8,73.9,63.41,69.39,67.22,53.16,54.77,57.97,62.54,65.38,71.11,77.82,75.59,71.2,73.34,70.35,68.17,66.62,70.57,64.04,59.73,51.75,33.8,37.62,41.86,51.6,57.58,69.26,72.45,77.96,76.71,24.82,29.98,34.21,37.19,41.2,47.61,52.01,54.8,57.57,64.31,65.73
S79,Western,Завхан,MN81,Тосонцэнгэл,MN8103,Тосонцэнгэл,Sheep,0.73,0.85,0.28,0.23,0.26,0.41,0.41,0.37,0.24,0.29,0.33,0.42,0.48,1.42,1.95,4.06,4.56,3.65,5.32,8.13,15.6,15.5,0,0,0,0,0,0,0,0,50.47,20.25,19.38,22.68,28.84,36.45,46.13,60.41,65.07,67.88,46.05,52.43,56.96,60.21,72.34,76.49,86.4,83.73,87.38,95.37,77.13
S87,Western,Завхан,MN81,Түдэвтэй,MN8121,Түдэвтэй,Sheep,46.54,47.97,52.19,54.59,52.57,51.37,54.12,49.65,55.1,59.15,52.37,44.59,48.09,47.61,42.28,40.59,42.66,44.08,45.56,48.83,53.8,50.12,54.56,48.45,49.74,45.75,47.89,49.08,47.27,45.48,35.56,18.2,19.51,23.02,30.01,37.13,47.6,55.53,65.08,63.73,35.24,39.63,45.62,48.18,52.29,57.73,64.76,65.85,72.85,74.44,65.06
S93,Western,Завхан,MN81,Тэлмэн,MN8105,Тэлмэн,Sheep,53.6,57.72,59.16,58.74,58.46,61.74,60.29,59.88,66.98,70.01,75.73,70.64,74.41,66.85,66.62,67.32,69.05,74.91,76.13,83.76,86.03,72.24,65.3,53.72,59.22,63,68.5,74.71,80.94,77.7,64.87,28.82,29.32,32.85,39.98,49.42,60.2,67.8,76.76,72.56,53.36,58.09,67.67,74.39,83.63,90.1,98.31,96.89,97.84,99.2,92.28
S100,Western,Завхан,MN81,Тэс,MN8125,Тэс,Sheep,39.33,42.09,44.31,0,1,6.55,7.14,7.96,8.08,8.42,8.11,7.15,7.68,8.57,9.12,10.1,10.9,11.34,12.3,13.96,18.86,47.64,48.13,53.89,51.86,46.64,37.69,35.92,37.14,28.49,28.12,28.5,29.79,25.33,32.69,35.62,42.03,43.15,38.14,41.22,31.35,33.83,41.42,44.05,52.72,54.2,47.12,50.12,53.29,54.46,53.22
S105,Western,Завхан,MN81,Ургамал,MN8129,Ургамал,Sheep,48.4,51.52,54.77,51.87,49.29,50.73,51.5,46.77,48.3,42.62,47.08,45.97,49.22,50.63,43.04,46.93,46.51,50.12,51.46,52.52,51.69,48.84,49,52.02,51.34,51.63,48.3,50.67,52.46,45.25,36.83,43.77,26.92,32.46,38.26,41.49,47.47,54.89,50.7,37.93,31.13,35.6,41,47.02,51.62,55.43,61.94,59.5,44.3,52.22,53.37
S111,Western,Завхан,MN81,Цагаанхайрхан,MN8112,Цагаанхайрхан,Sheep,39.24,40.18,40.11,41.69,40.42,42.6,43.44,42.31,46.61,48.6,50.27,45.89,49.33,47.31,39.78,36.27,36.53,37.52,38.52,42.44,44.62,44.95,41.64,38.09,38.93,39.42,36.94,37.26,36.68,37.2,37.05,26.9,23.43,23.52,25.3,28.43,33.88,38.16,37.82,37.01,15.85,18.36,22.08,25.82,29.65,33.83,39.54,48.11,51.27,50.58,47.71
S116,Western,Завхан,MN81,Цагаанчулуут,MN8115,Цагаанчулуут,Sheep,54.71,57.7,57.76,59.15,58.12,60.48,60.31,53.05,56.64,58.14,58.62,56.3,61.17,56.01,49.99,48.66,44.64,46.4,48.35,52.55,55.92,56.89,56.84,49.44,51.01,51.02,50.5,50.68,50.11,49.38,44.81,37.07,30.38,30.41,34.14,40.14,47.26,52.16,49.49,47.66,16.57,19.84,23.02,25.89,30.65,34.72,42.15,48.99,51.4,52.19,49.48
S121,Western,Завхан,MN81,Цэцэн-Уул,MN8122,Цэцэн-Уул,Sheep,44.17,46.91,49.17,51.59,50.74,52.37,54.58,55.39,58.82,54.85,59.16,58.22,62.29,60.81,54.86,58.58,59.41,60.15,63.33,71.17,79.22,80.56,73.17,72.59,75.76,76.4,74.46,69.4,70.45,66.01,43.97,31.72,34.09,37.44,43.63,50.43,60.02,69.27,68.9,65.49,41.59,48.5,60.65,65.55,72.85,75.26,82.53,85.85,87.03,100.37,100.51
S127,Western,Завхан,MN81,Шилүүстэй,MN8114,Шилүүстэй,Sheep,34.34,35.48,43.64,45.03,43.88,44.97,46.33,46.73,46.29,47.04,54.29,54.77,57.65,59.86,39.71,35.69,39.26,40.74,36.9,42.22,47.58,50.26,53.56,35.76,42.92,46.17,48.26,49.93,49.95,48.82,43.9,38.61,28.86,31.47,32.27,39.07,46.44,53.71,55.46,49.44,19.2,22.11,28.67,32.95,38.16,42.36,48.66,55.31,57.15,62.27,51.83
S132,Western,Завхан,MN81,Эрдэнэхайрхан,MN8124,Эрдэнэхайрхан,Sheep,73.86,78.52,80.51,85.52,89.12,91.49,100,73.65,76.6,76.84,79.47,71.6,75.6,65.32,63.46,64.44,63.56,64.48,67.66,71.27,74.98,72.3,70.08,65.38,75.88,81.31,80.37,76.72,79.78,75.17,54.57,38.48,38.97,43.74,48.86,57.65,71.13,86.99,94.78,98.09,52.5,63.89,77.38,87.23,101.01,106.51,121.76,136.12,133.34,137.15,132.53
S138,Western,Завхан,MN81,Яруу,MN8113,Яруу,Sheep,79.77,85.18,89.25,90.1,95.3,97.03,91.06,69.63,72.99,83.33,86.6,84.22,90.8,87.38,83.83,83.34,84.19,82.2,82.5,89.19,93.63,95.49,89.71,77.88,86.65,86.8,89.93,91.58,93.01,80.71,55.17,25.16,25.84,33.26,35.9,40.95,52.11,67.92,88.29,86.24,42.25,53.57,71.24,80.23,88.52,96.04,108.46,129.53,130.27,143.82,128.44
S145,Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,Есөнбулаг,Sheep,0,6.23,1.23,1.51,5.01,1.6,2.98,5.07,1.53,1.39,1.41,1.5,4.35,4.29,4.3,5.09,6.1,7.1,7.68,11.4,18.77,20.23,23.74,30.48,38.21,36.43,56.51,56.17,56.36,59.1,37.16,39.74,13.53,16.36,18.54,23.17,31.14,35.4,38.84,30.79,18.43,23.43,28.79,38.34,47.19,53.71,71.83,74.22,70.71,77.34,69.6
S156,Western,Говь-Алтай,MN82,Алтай,MN8213,Алтай,Sheep,21.63,23.68,24.72,23.81,22.25,22.68,23.73,22.98,24.42,24.93,26.28,25.46,24.58,25.27,23.13,21.88,17.99,19.97,21.65,28.29,25.45,26.17,29.01,28.78,28.85,27.25,25.65,25.68,27.63,26.57,25.66,19.31,13.02,13.3,14.42,15.31,17.07,19.13,17.85,12.56,6.15,6.5,7.71,10.18,12.36,14.74,18.97,24.5,27.28,25.97,22.93
S161,Western,Говь-Алтай,MN82,Баян-Уул,MN8215,Баян-Уул,Sheep,56.96,58.96,57.82,55.39,54.7,58.69,59.81,62.22,65.76,64.98,67.88,65.33,67.86,63.65,63.56,67.33,68.39,69.4,72.52,72.8,75.36,65.76,69.83,65.45,68.58,69.59,65.62,66.58,64.48,71.59,70.56,62.42,27.78,35.18,42.55,51.59,60.57,63.93,64.07,58.16,29.03,39.31,50.07,59.01,68.63,75.32,91.56,88.06,68.97,68.39,77.71
S168,Western,Говь-Алтай,MN82,Бигэр,MN8204,Бигэр,Sheep,28.79,29.07,31.71,32.36,33.17,33.9,34.61,35.51,36.29,34.77,36.22,38.57,38.8,40.12,30.58,35.65,34.6,36.98,35.7,39.61,40.44,36.87,40.19,39.6,43.12,41.02,36.45,34.97,32.36,25.63,26.25,22.66,12,13.52,15.66,18.3,21.03,23.71,22.03,20.97,16.11,19.06,25.5,28.64,32.8,36.85,43.57,49.09,41.08,41.42,28.05
S174,Western,Говь-Алтай,MN82,Бугат,MN8220,Бугат,Sheep,55.83,60.35,57.75,60.36,65.23,67.86,68.85,70.73,76.34,79.01,79.02,81.43,74.01,76.59,69.14,68.62,70.28,75.11,76.39,73.94,81.3,80.31,84.93,70.58,64.22,60.56,58.53,49.79,48.47,50.1,53.71,40.1,39.69,38.56,44.61,50.53,56.69,59.38,57.13,46.01,19.19,20.28,22.91,24.77,30.69,38.63,48.11,57.82,58.44,54.9,51.81
S180,Western,Говь-Алтай,MN82,Дарив,MN8219,Дарив,Sheep,43,47.81,47.02,51.33,44.91,48.23,45.76,42.24,44.57,47.41,43.33,46.07,47.81,45.5,29.55,39.95,41.05,41.94,43.91,45.73,48.27,49.02,53.31,54.04,52.48,49.95,45.67,45.55,42.1,47.11,45.03,33.75,19.68,25.58,34.64,44.11,53.94,49.06,51.5,51.97,30.76,33.73,39.93,46.04,54.91,62.06,75.46,68.22,41.46,41.09,46.15
S185,Western,Говь-Алтай,MN82,Дэлгэр,MN8201,Дэлгэр,Sheep,44.82,42.39,45.65,48.74,47.5,49.98,50.74,52.96,53.05,54.23,53.64,54.68,50.13,47.05,34.99,42.01,42.86,42.85,40.09,45.67,51.84,45.34,72.21,62.55,63.15,63.33,59.83,59.25,56.14,57.02,62.18,44.59,17.52,21.52,26.28,36.38,45.61,53.43,59.01,56.66,34.01,40.75,54.3,64.87,74.55,81.74,91.45,101.48,97.95,105.7,84.29
S191,Western,Говь-Алтай,MN82,Жаргалан,MN8211,Жаргалан,Sheep,29.2,30.3,29.52,30.59,33.27,33.59,33.05,32.64,34.04,33.28,33.85,33.98,34.04,28.77,30.16,31.35,31.16,32.18,32.55,34.57,36.27,41.27,44.43,45.34,43.46,45.4,44.23,46.17,45.74,47.37,42.75,41.86,30.55,31.59,37.08,44.64,56.57,67.04,68.1,52.42,18.02,20.8,29.76,34.93,43.03,47.77,58.43,66.55,63.84,65.86,60.65
S195,Western,Говь-Алтай,MN82,Тайшир,MN8207,Тайшир,Sheep,55.47,58.14,60.47,71.4,74.37,73.65,76.49,81.18,79.57,80.55,76.21,72.82,67.33,68.76,52.17,57.68,59.51,63.71,65.86,68.77,71.91,73.31,72.83,61.5,65.7,62.86,34.49,36.42,34.73,34.88,32.16,29.18,11.2,13.37,15.22,19.68,23.92,28.28,28.91,22.1,11.45,14.6,20.79,25.63,31.08,36.35,43.99,48.77,49.26,50.21,45.87
S199,Western,Говь-Алтай,MN82,Тонхил,MN8221,Тонхил,Sheep,59.27,63.44,59.38,61.29,59.02,65.93,73.76,80.5,86.31,92.87,94.86,97.34,91.9,90.37,84.7,94.14,99.02,102.91,104.28,99.13,106.05,98.62,98.69,100.26,100.38,102.62,100.48,90.62,83.98,79.31,78.08,69.32,61.97,62.47,73.35,85.28,97.8,100.19,91.12,89.74,52.33,55.65,61.57,68.65,82.27,95,113.58,126.28,108.67,100.87,95.82
S205,Western,Говь-Алтай,MN82,Төгрөг,MN8217,Төгрөг,Sheep,41.73,43.2,39.09,43.45,41.31,41.47,44.76,46.12,47.7,47.87,51.47,51.96,55.18,47.31,45.31,56.53,53.83,57.51,60.63,52.5,54.49,53.54,56.23,55.23,53.87,50.31,47.01,47.68,39.8,36.18,35.25,31.08,16.45,17.02,20.68,25.97,30.65,35.88,35.67,37.33,24.9,27,32.27,35.24,40.86,47.58,55.78,62.52,36.77,33.07,26.95
S211,Western,Говь-Алтай,MN82,Халиун,MN8210,Халиун,Sheep,43.49,47.12,41.7,47.24,46.12,46.68,50.59,54.08,54.04,53.62,48.5,47.45,47.27,49.22,45.85,53.74,54.91,59.71,62.99,65.55,61.21,62.6,62.97,62.88,66.33,61.8,56.8,55.98,58.08,60.13,60.61,48.6,16.9,20.54,25.02,31.97,37.83,42.52,45.03,41.42,29,34.47,36.85,43.7,52.58,61.7,74.72,74.65,66.54,72.65,54.66
S216,Western,Говь-Алтай,MN82,Хөхморьт,MN8218,Хөхморьт,Sheep,36.61,40.2,36.78,34.9,39.02,42.78,42.83,38.26,39.85,39.7,43.02,37.66,42.47,37.46,38.23,42.77,46.9,49.33,54.65,57.89,61.03,53.19,42.66,47.22,46.37,48.05,47.53,42.89,37.59,38.37,37.93,28.85,8.22,11.87,16.94,20.53,26.24,34.97,35.68,31.42,12.55,15.42,24.04,29.33,36.33,40.72,51.29,53.79,51.33,54.41,56.64
S222,Western,Говь-Алтай,MN82,Цогт,MN8205,Цогт,Sheep,56.84,60.76,61.66,62.81,56.87,58.48,59.15,63.72,64.72,63.98,65.86,67.54,63.82,64.62,43.04,48.46,48.91,47.25,46.62,50.45,56.4,55.51,58.11,55.94,62.87,67.26,64.81,66.07,62.68,65.24,63.06,52.54,20.74,24.98,30.01,36.92,43.36,47.87,38.37,38.21,29.21,34.42,46.3,51.88,54.79,56.13,71.36,78.85,71.27,70.8,61.27
S230,Western,Говь-Алтай,MN82,Цээл,MN8212,Цээл,Sheep,39,39.66,35.75,36.88,36.91,42.78,43.71,45.77,48.68,44.39,43.94,43.67,43.02,39.85,37.58,40.86,39.95,42.43,42.81,45.25,48.74,50.19,57.96,56.38,59.57,55.88,53.1,53.67,52.02,53.96,58.97,37.8,14.81,16.52,20.34,25.67,28.86,31.54,26.14,22.37,15.19,17.24,22.79,26.97,31.59,38.34,46.1,50.16,46.47,46.55,28.68
S235,Western,Говь-Алтай,MN82,Чандмань,MN8202,Чандмань,Sheep,37.92,40.72,41.5,47.73,42.42,45.57,46.12,47.99,44.25,42.02,43.81,45.17,46.14,48.37,44.69,48.95,48.07,47.33,39.54,40.79,43.26,45.67,43.02,37.79,41.94,41.98,39.66,41.53,41.58,36.43,40.09,31.99,9.19,11.36,14.5,17.66,23.23,28.61,31.85,30.12,20.52,27.01,36.19,43.61,47.86,56.09,68.35,79.65,76.39,77.37,62.23
S241,Western,Говь-Алтай,MN82,Шарга,MN8214,Шарга,Sheep,30.37,31.43,30.16,32.59,35.49,35.58,34.49,37.7,38.38,38.63,38.48,39.98,39.4,33.81,37.75,41.81,42.7,44.7,46.5,44.8,44.82,45.15,48.46,44.4,43.45,40.3,38.6,36.34,33.72,38.88,40.14,30.6,12.69,13.89,15.67,19.34,22.51,22.67,23.96,19.65,11.57,14.86,17.25,20.66,24.41,28.56,34.58,35.1,30.09,31.82,31.43
S246,Western,Говь-Алтай,MN82,Эрдэнэ,MN8203,Эрдэнэ,Sheep,38.29,37.65,37.73,37.31,35.66,36.89,33.38,34.82,35.04,37.81,39.22,40.63,42.92,43.39,37.38,39.66,39.53,39.06,34.4,30.94,33.28,33.15,35.75,28.21,32.59,35.01,34.64,37.72,39.7,39.22,38.07,28.3,11.68,14.28,17.02,20.69,25.9,31.49,33.89,32.25,17.82,17.12,21.07,26.61,32.31,38.04,48.01,54.89,51.15,48.32,40.98
S252,Western,Баян-Өлгий,MN83,Өлгий,MN8312,Өлгий,Sheep,4.76,3.02,1.79,1.76,1.34,2.11,1.88,2.09,0.55,0.36,0.41,0.33,0.45,0.68,1.72,0.99,1.3,2.06,3.02,7.91,16.06,10.95,7.87,1.61,8.21,8.82,6.32,5.76,5.1,4.91,4.21,3.55,2.56,2.89,2.72,2.88,3.36,4.58,4.64,4.18,4.07,4.22,4.85,5.97,6.52,5.76,6.47,6.59,6.38,6.89,8.51
S266,Western,Баян-Өлгий,MN83,Алтай,MN8315,Алтай,Sheep,45.2,46.98,46.85,48.35,42.51,40.44,38.9,34.69,37.74,40.64,43.42,45.88,47.14,45.13,48.61,52.49,55.2,51.51,47.15,49.61,50.88,47.61,39.85,29.42,34.01,38.62,42.01,44.27,35.54,38.97,40.48,38.95,40.34,35.06,37.06,38.72,42.27,48.62,47.9,48.84,49.15,51.13,58.42,60.17,72.56,76.66,78.08,84.12,81.26,81.54,78.49
S272,Western,Баян-Өлгий,MN83,Алтанцөгц,MN8304,Алтанцөгц,Sheep,31.54,31.03,31.28,33.37,36.23,33.71,30.68,28.13,27.48,29.29,30.59,32.32,33.89,31.76,33.77,35.06,35.71,37.55,39.48,40.79,40.14,32.17,31.43,27.45,31.85,37.22,35.64,40.08,34.81,29.58,24.38,26.81,26.5,27.29,29.18,26.31,32.76,35.59,30.76,15.74,13.05,15.7,18.81,23.15,29.23,32.07,37.24,41.66,44.21,51.75,51.08
S277,Western,Баян-Өлгий,MN83,Баяннуур,MN8303,Баяннуур,Sheep,40.27,37.77,37.67,36.67,40.59,37.69,35.63,32.48,29.71,32.96,32.81,34.32,36.9,37.31,38.72,33.81,35.82,39.96,42.56,41.51,43.25,34.1,29.6,28.71,32.84,38.86,37.84,40.53,36.94,33.24,30.93,32.34,32.66,32.67,34.22,32.34,38.21,36.87,35.03,25.91,21.86,26.07,31.07,34.05,43.4,44.77,47.5,54.48,55.08,56.44,49.94
S283,Western,Баян-Өлгий,MN83,Бугат,MN8305,Бугат,Sheep,42.35,42.61,42.74,46.61,48.23,42.13,40.79,40.17,38.23,40.36,41.02,45.15,46.13,44.16,46.38,44.1,45.24,46.42,49.06,49.82,46.11,38.04,33.12,39.22,43.66,50.54,47.83,51.58,47.23,41.37,35.65,33.01,28.95,29.92,30.75,31.5,35.1,38.24,37.75,26.33,22.23,24.74,25.05,29.79,35.49,39.06,47.52,52.41,51.73,53.26,52.17
S289,Western,Баян-Өлгий,MN83,Булган,MN8301,Булган,Sheep,37.13,39.74,41.63,41.72,39.91,41.72,44.22,44.02,43.86,46.22,42.12,43.32,44.43,43.27,40.84,45.03,46.35,46.39,41.33,44.78,49.92,51.31,44.19,38.37,36.76,39.32,38.43,32.43,32.6,33.14,33.99,32.44,34.37,34.42,34.25,32.35,31.86,32.71,31.61,32.32,15,17.44,19.4,21.95,27.08,29.89,34.04,32.38,32.01,28.29,26.02
S297,Western,Баян-Өлгий,MN83,Буянт,MN8314,Буянт,Sheep,32.38,33.23,33.66,34.92,35.4,29.7,30.14,26.69,26.47,28.61,31.68,34.44,34.56,34.3,37.68,38.48,39.09,41.4,45.09,43.71,42.44,37.17,37.17,36.1,40.01,45.38,44.72,48.28,36.49,38.94,40.02,38.43,33.73,35.6,35.92,37.69,40.96,45.18,41.2,34.46,35.89,39.01,49.85,59.16,70.13,75.43,84.67,89.55,79.77,79.88,72.53
S302,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,Дэлүүн,Sheep,82.89,85.99,88.2,91.33,81.68,83.86,85.42,85.63,89.66,95.39,100.56,102.37,102.62,97.51,86.54,96.01,102.93,102.07,100.62,106.34,113.43,100.39,78.5,78.69,86,96.65,97.08,104.05,88.96,92.23,96.4,88.49,71.85,71.73,69.63,67.27,71.16,70.48,57.75,56.26,53.08,59.26,68.6,79.8,93.36,103.89,116.37,117.44,101.8,97.95,90.13
S315,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,Ногооннуур,Sheep,58.18,59.63,59.61,62.15,65.66,58.64,58.92,54.99,53.73,56.84,59.37,61.35,65.32,63.98,67.36,67.3,69.91,73.49,75.65,78.08,81.36,72.84,65.59,58.33,55.93,60.9,58.32,62.22,54.63,52.74,43.55,45.59,46.77,48.27,48.28,50.31,53.5,55.76,53.51,41.41,30.09,30.54,38.7,47.22,58.37,61.74,73.52,83.78,89.91,93.78,88.3
S325,Western,Баян-Өлгий,MN83,Сагсай,MN8316,Сагсай,Sheep,38.18,37.35,37.35,40.73,37.36,35.5,36.48,35.74,36.64,37.62,38.99,40.4,42.76,41.56,44.87,44.79,45,48.05,50.87,49.86,48.67,43.65,42.58,41.59,43.14,49.36,51.64,56.68,44.19,47.58,46.95,48.54,40.08,41.64,46.21,49.1,49.82,52.7,49.03,43.53,37.52,40.62,48.22,53.05,62.75,70,77.88,84.87,84.41,86.18,84.56
S333,Western,Баян-Өлгий,MN83,Толбо,MN8308,Толбо,Sheep,56.3,37.29,58.16,60.63,62.42,55.26,53.6,45.66,44.9,46.6,49.88,52.09,52.67,51.14,53.77,56.41,56.73,51.49,57.27,60.16,62.27,56.77,45.56,43.77,48.85,58.01,61.26,64.43,53.25,53.63,52.26,50.42,46.66,47.23,47.07,47.49,50.11,51.22,42.3,40.41,42.67,50.43,61.28,70.85,86.75,91.57,100.58,107.04,105.45,104.69,98.01
S340,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,Улаанхус,Sheep,86.6,88.29,88.93,96.97,90.16,84.53,87.01,79.6,80.97,89.45,93.86,97.39,98.46,90.06,95.09,96.7,101.03,99.38,99.67,101.67,104.67,88.62,72.06,63.2,70.5,79.6,85.85,93.88,86.58,85.74,78.04,72.8,65.34,67.27,68.48,70.81,75.73,81.16,82.4,70.03,58.85,62.02,67.11,75.24,90.76,94.15,101.41,108.9,110.61,113.74,106.38
S352,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,Цэнгэл,Sheep,80.03,79.83,78.74,87.42,78.59,83.34,85.63,77.52,77.19,86.11,86.67,88.34,90.42,88.76,89.95,86.2,90.16,89.64,82.72,88.41,89.12,82.43,69.96,64.21,71.53,79.06,81.58,88.54,83.43,83.84,83.36,74.74,64.27,65.31,63.83,64.16,70.07,78.89,82.42,78.84,71.42,80.08,83.01,102.42,123.46,125.63,132.44,132,136.98,141.55,131.29
