ID,ADM,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4
463,"                            4-р баг, Сүлжээ",Western,Ховд,MN84,Чандмань,MN8403,"4-р баг, Сүлжээ","4-р баг, Сүлжээ"
464,"                            5-р баг, Урд гол",Western,Ховд,MN84,Чандмань,MN8403,"5-р баг, Урд гол","5-р баг, Урд гол"
465,"                            6-р баг, Жаргалант",Western,Ховд,MN84,Чандмань,MN8403,"6-р баг, Жаргалант","6-р баг, Жаргалант"
466,                    Эрдэнэбүрэн,Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,Эрдэнэбүрэн,
467,"                            1-р баг, Баянгол",Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,"1-р баг, Баянгол","1-р баг, Баянгол"
468,"                            2-р баг, Намаржин",Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,"2-р баг, Намаржин","2-р баг, Намаржин"
469,"                            3-р баг, Хонгио",Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,"3-р баг, Хонгио","3-р баг, Хонгио"
470,"                            4-р баг, Шураг",Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,"4-р баг, Шураг","4-р баг, Шураг"
471,"                            5-р баг, Хар ус",Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,"5-р баг, Хар ус","5-р баг, Хар ус"
472,            Увс,Western,Увс,MN85,Увс,,Увс,
473,                Улаангом,Western,Увс,MN85,Улаангом,MN8516,Улаангом,
474,                        1-р баг,Western,Увс,MN85,Улаангом,MN8516,1-р баг,1-р баг
475,                        2-р баг,Western,Увс,MN85,Улаангом,MN8516,2-р баг,2-р баг
476,                        3-р баг,Western,Увс,MN85,Улаангом,MN8516,3-р баг,3-р баг
477,                        4-р баг,Western,Увс,MN85,Улаангом,MN8516,4-р баг,4-р баг
478,                        5-р баг,Western,Увс,MN85,Улаангом,MN8516,5-р баг,5-р баг
479,                        6-р баг,Western,Увс,MN85,Улаангом,MN8516,6-р баг,6-р баг
480,                        7-р баг,Western,Увс,MN85,Улаангом,MN8516,7-р баг,7-р баг
481,                        8-р баг,Western,Увс,MN85,Улаангом,MN8516,8-р баг,8-р баг
482,                        9-р баг,Western,Увс,MN85,Улаангом,MN8516,9-р баг,9-р баг
483,                        10-р баг,Western,Увс,MN85,Улаангом,MN8516,10-р баг,10-р баг
484,                        11-р баг,Western,Увс,MN85,Улаангом,MN8516,11-р баг,11-р баг
485,                        12-р баг,Western,Увс,MN85,Улаангом,MN8516,12-р баг,12-р баг
486,                Баруунтуруун,Western,Увс,MN85,Баруунтуруун,MN8502,Баруунтуруун,
487,"                        1-р баг, Шанд",Western,Увс,MN85,Баруунтуруун,MN8502,"1-р баг, Шанд","1-р баг, Шанд"
488,"                        2-р баг, Зүүн туруун",Western,Увс,MN85,Баруунтуруун,MN8502,"2-р баг, Зүүн туруун","2-р баг, Зүүн туруун"
489,"                        3-р баг, Туруун",Western,Увс,MN85,Баруунтуруун,MN8502,"3-р баг, Туруун","3-р баг, Туруун"
490,"                        4-р баг, Баян-Айраг",Western,Увс,MN85,Баруунтуруун,MN8502,"4-р баг, Баян-Айраг","4-р баг, Баян-Айраг"
491,                Бөхмөрөн,Western,Увс,MN85,Бөхмөрөн,MN8522,Бөхмөрөн,
492,"                        1-р баг, Гурван жигэртэй",Western,Увс,MN85,Бөхмөрөн,MN8522,"1-р баг, Гурван жигэртэй","1-р баг, Гурван жигэртэй"
493,"                        2-р баг, Хар алтад",Western,Увс,MN85,Бөхмөрөн,MN8522,"2-р баг, Хар алтад","2-р баг, Хар алтад"
494,"                        3-р баг, Байшинт",Western,Увс,MN85,Бөхмөрөн,MN8522,"3-р баг, Байшинт","3-р баг, Байшинт"
495,                Давст,Western,Увс,MN85,Давст,MN8512,Давст,
496,"                        1-р баг, Торхилог",Western,Увс,MN85,Давст,MN8512,"1-р баг, Торхилог","1-р баг, Торхилог"
497,"                        2-р баг, Зүүнхөвөө",Western,Увс,MN85,Давст,MN8512,"2-р баг, Зүүнхөвөө","2-р баг, Зүүнхөвөө"
498,"                        3-р баг, Хандгайт",Western,Увс,MN85,Давст,MN8512,"3-р баг, Хандгайт","3-р баг, Хандгайт"
499,                    Завхан,Western,Увс,MN85,Завхан,MN8510,Завхан,
500,"                            1-р баг, Айраг нуур",Western,Увс,MN85,Завхан,MN8510,"1-р баг, Айраг нуур","1-р баг, Айраг нуур"
501,"                            2-р баг, Хармагт",Western,Увс,MN85,Завхан,MN8510,"2-р баг, Хармагт","2-р баг, Хармагт"
502,"                            3-р баг, Хяргас нуур",Western,Увс,MN85,Завхан,MN8510,"3-р баг, Хяргас нуур","3-р баг, Хяргас нуур"
503,"                            4-р баг, Шар булаг",Western,Увс,MN85,Завхан,MN8510,"4-р баг, Шар булаг","4-р баг, Шар булаг"
504,                    Зүүнговь,Western,Увс,MN85,Зүүнговь,MN8504,Зүүнговь,
505,"                            1-р баг, Баяннуур",Western,Увс,MN85,Зүүнговь,MN8504,"1-р баг, Баяннуур","1-р баг, Баяннуур"
506,"                            2-р баг, Өгөөмөр",Western,Увс,MN85,Зүүнговь,MN8504,"2-р баг, Өгөөмөр","2-р баг, Өгөөмөр"
507,"                            3-р баг, Суврага",Western,Увс,MN85,Зүүнговь,MN8504,"3-р баг, Суврага","3-р баг, Суврага"
508,"                            4-р баг, Тохой",Western,Увс,MN85,Зүүнговь,MN8504,"4-р баг, Тохой","4-р баг, Тохой"
509,"                            5-р баг, Зэлийн гол",Western,Увс,MN85,Зүүнговь,MN8504,"5-р баг, Зэлийн гол","5-р баг, Зэлийн гол"
510,                    Зүүнхангай,Western,Увс,MN85,Зүүнхангай,MN8501,Зүүнхангай,
511,"                            1-р баг, Даланбулаг",Western,Увс,MN85,Зүүнхангай,MN8501,"1-р баг, Даланбулаг","1-р баг, Даланбулаг"
512,"                            2-р баг, Баянгол",Western,Увс,MN85,Зүүнхангай,MN8501,"2-р баг, Баянгол","2-р баг, Баянгол"
513,"                            3-р баг, Жаргалант",Western,Увс,MN85,Зүүнхангай,MN8501,"3-р баг, Жаргалант","3-р баг, Жаргалант"
514,"                            4-р баг, Хайрхан",Western,Увс,MN85,Зүүнхангай,MN8501,"4-р баг, Хайрхан","4-р баг, Хайрхан"
515,                    Малчин,Western,Увс,MN85,Малчин,MN8509,Малчин,
516,"                            1-р баг, Баянмандал",Western,Увс,MN85,Малчин,MN8509,"1-р баг, Баянмандал","1-р баг, Баянмандал"
517,"                            2-р баг, Цалгар",Western,Увс,MN85,Малчин,MN8509,"2-р баг, Цалгар","2-р баг, Цалгар"
518,"                            3-р баг, Баянхайрхан",Western,Увс,MN85,Малчин,MN8509,"3-р баг, Баянхайрхан","3-р баг, Баянхайрхан"
519,"                            4-р баг, Баян-Эрдэнэ",Western,Увс,MN85,Малчин,MN8509,"4-р баг, Баян-Эрдэнэ","4-р баг, Баян-Эрдэнэ"
520,                    Наранбулаг,Western,Увс,MN85,Наранбулаг,MN8511,Наранбулаг,
521,"                            1-р баг, Гүн бүрд",Western,Увс,MN85,Наранбулаг,MN8511,"1-р баг, Гүн бүрд","1-р баг, Гүн бүрд"
522,"                            2-р баг, Алдар",Western,Увс,MN85,Наранбулаг,MN8511,"2-р баг, Алдар","2-р баг, Алдар"
523,"                            3-р баг, Хужирт",Western,Увс,MN85,Наранбулаг,MN8511,"3-р баг, Хужирт","3-р баг, Хужирт"
524,"                            4-р баг, Улаан-Үзүүр",Western,Увс,MN85,Наранбулаг,MN8511,"4-р баг, Улаан-Үзүүр","4-р баг, Улаан-Үзүүр"
525,                    Өлгий,Western,Увс,MN85,Өлгий,MN8515,Өлгий,
526,"                            1-р баг, Чаргат",Western,Увс,MN85,Өлгий,MN8515,"1-р баг, Чаргат","1-р баг, Чаргат"
527,"                            2-р баг, Өлгий нуур",Western,Увс,MN85,Өлгий,MN8515,"2-р баг, Өлгий нуур","2-р баг, Өлгий нуур"
528,"                            3-р баг, Хулст нуур",Western,Увс,MN85,Өлгий,MN8515,"3-р баг, Хулст нуур","3-р баг, Хулст нуур"
529,"                            4-р баг, Хөдөлмөр",Western,Увс,MN85,Өлгий,MN8515,"4-р баг, Хөдөлмөр","4-р баг, Хөдөлмөр"
530,                    Өмнөговь,Western,Увс,MN85,Өмнөговь,MN8521,Өмнөговь,
531,"                            1-р баг, Холбоо",Western,Увс,MN85,Өмнөговь,MN8521,"1-р баг, Холбоо","1-р баг, Холбоо"
532,"                            2-р баг, Улиаст",Western,Увс,MN85,Өмнөговь,MN8521,"2-р баг, Улиаст","2-р баг, Улиаст"
533,"                            3-р баг, Орлого",Western,Увс,MN85,Өмнөговь,MN8521,"3-р баг, Орлого","3-р баг, Орлого"
534,"                            4-р баг, Баянгол",Western,Увс,MN85,Өмнөговь,MN8521,"4-р баг, Баянгол","4-р баг, Баянгол"
535,"                            5-р баг, Намир",Western,Увс,MN85,Өмнөговь,MN8521,"5-р баг, Намир","5-р баг, Намир"
536,                    Өндөрхангай,Western,Увс,MN85,Өндөрхангай,MN8503,Өндөрхангай,
537,"                            1-р баг, Цалуу",Western,Увс,MN85,Өндөрхангай,MN8503,"1-р баг, Цалуу","1-р баг, Цалуу"
538,"                            2-р баг, Батсайхан",Western,Увс,MN85,Өндөрхангай,MN8503,"2-р баг, Батсайхан","2-р баг, Батсайхан"
539,"                            3-р баг, Цагааннуур",Western,Увс,MN85,Өндөрхангай,MN8503,"3-р баг, Цагааннуур","3-р баг, Цагааннуур"
540,"                            4-р баг, Жаргалант",Western,Увс,MN85,Өндөрхангай,MN8503,"4-р баг, Жаргалант","4-р баг, Жаргалант"
541,"                            5-р баг, Цэцэрлэг",Western,Увс,MN85,Өндөрхангай,MN8503,"5-р баг, Цэцэрлэг","5-р баг, Цэцэрлэг"
542,                    Сагил,Western,Увс,MN85,Сагил,MN8519,Сагил,
543,"                            1-р баг, Баянзүрх",Western,Увс,MN85,Сагил,MN8519,"1-р баг, Баянзүрх","1-р баг, Баянзүрх"
544,"                            2-р баг, Боршоо",Western,Увс,MN85,Сагил,MN8519,"2-р баг, Боршоо","2-р баг, Боршоо"
545,"                            3-р баг, Өндөр мод",Western,Увс,MN85,Сагил,MN8519,"3-р баг, Өндөр мод","3-р баг, Өндөр мод"
546,"                            4-р баг, Үүрэг нуур",Western,Увс,MN85,Сагил,MN8519,"4-р баг, Үүрэг нуур","4-р баг, Үүрэг нуур"
547,"                            5-р баг, Хар мод",Western,Увс,MN85,Сагил,MN8519,"5-р баг, Хар мод","5-р баг, Хар мод"
548,                Тариалан,Western,Увс,MN85,Тариалан,MN8513,Тариалан,
549,"                        1-р баг, Бургастай",Western,Увс,MN85,Тариалан,MN8513,"1-р баг, Бургастай","1-р баг, Бургастай"
550,"                        2-р баг, Тарвагатай",Western,Увс,MN85,Тариалан,MN8513,"2-р баг, Тарвагатай","2-р баг, Тарвагатай"
551,"                        3-р баг, Мянган",Western,Увс,MN85,Тариалан,MN8513,"3-р баг, Мянган","3-р баг, Мянган"
552,"                        4-р баг, Толь",Western,Увс,MN85,Тариалан,MN8513,"4-р баг, Толь","4-р баг, Толь"
553,"                        5-р баг, Хөхөө",Western,Увс,MN85,Тариалан,MN8513,"5-р баг, Хөхөө","5-р баг, Хөхөө"
554,"                        6-р баг, Хархираа",Western,Увс,MN85,Тариалан,MN8513,"6-р баг, Хархираа","6-р баг, Хархираа"
555,                    Түргэн,Western,Увс,MN85,Түргэн,MN8520,Түргэн,
556,"                            1-р баг, Баянхайрхан",Western,Увс,MN85,Түргэн,MN8520,"1-р баг, Баянхайрхан","1-р баг, Баянхайрхан"
557,"                            2-р баг, Аршаант",Western,Увс,MN85,Түргэн,MN8520,"2-р баг, Аршаант","2-р баг, Аршаант"
558,"                            3-р баг, Эрдэнэхайрхан",Western,Увс,MN85,Түргэн,MN8520,"3-р баг, Эрдэнэхайрхан","3-р баг, Эрдэнэхайрхан"
559,                    Тэс,Western,Увс,MN85,Тэс,MN8506,Тэс,
560,                            1-р баг,Western,Увс,MN85,Тэс,MN8506,1-р баг,1-р баг
561,                            2-р баг,Western,Увс,MN85,Тэс,MN8506,2-р баг,2-р баг
562,                            3-р баг,Western,Увс,MN85,Тэс,MN8506,3-р баг,3-р баг
563,                            4-р баг,Western,Увс,MN85,Тэс,MN8506,4-р баг,4-р баг
564,                            5-р баг,Western,Увс,MN85,Тэс,MN8506,5-р баг,5-р баг
565,                            6-р баг,Western,Увс,MN85,Тэс,MN8506,6-р баг,6-р баг
566,                            8-р баг,Western,Увс,MN85,Тэс,MN8506,8-р баг,8-р баг
567,                            9-р баг,Western,Увс,MN85,Тэс,MN8506,9-р баг,9-р баг
568,                            10-р баг,Western,Увс,MN85,Тэс,MN8506,10-р баг,10-р баг
569,                            11-р баг,Western,Увс,MN85,Тэс,MN8506,11-р баг,11-р баг
570,                    Ховд,Western,Увс,MN85,Ховд,MN8523,Ховд,
571,"                            1-р баг, Ховд",Western,Увс,MN85,Ховд,MN8523,"1-р баг, Ховд","1-р баг, Ховд"
572,"                            2-р баг, Шивэр",Western,Увс,MN85,Ховд,MN8523,"2-р баг, Шивэр","2-р баг, Шивэр"
573,"                            3-р баг, Ачит",Western,Увс,MN85,Ховд,MN8523,"3-р баг, Ачит","3-р баг, Ачит"
574,"                            4-р баг, Халиунбулаг",Western,Увс,MN85,Ховд,MN8523,"4-р баг, Халиунбулаг","4-р баг, Халиунбулаг"
575,                    Хяргас,Western,Увс,MN85,Хяргас,MN8508,Хяргас,
576,"                            1-р баг, Хангай",Western,Увс,MN85,Хяргас,MN8508,"1-р баг, Хангай","1-р баг, Хангай"
577,"                            2-р баг, Бугат",Western,Увс,MN85,Хяргас,MN8508,"2-р баг, Бугат","2-р баг, Бугат"
578,"                            3-р баг, Хайрхан",Western,Увс,MN85,Хяргас,MN8508,"3-р баг, Хайрхан","3-р баг, Хайрхан"
579,"                            4-р баг, Дэлгэр",Western,Увс,MN85,Хяргас,MN8508,"4-р баг, Дэлгэр","4-р баг, Дэлгэр"
580,                    Цагаанхайрхан,Western,Увс,MN85,Цагаанхайрхан,MN8505,Цагаанхайрхан,
581,"                            1-р баг, Хунт",Western,Увс,MN85,Цагаанхайрхан,MN8505,"1-р баг, Хунт","1-р баг, Хунт"
582,"                            2-р баг, Хулж",Western,Увс,MN85,Цагаанхайрхан,MN8505,"2-р баг, Хулж","2-р баг, Хулж"
583,"                            3-р баг, Арбулаг",Western,Увс,MN85,Цагаанхайрхан,MN8505,"3-р баг, Арбулаг","3-р баг, Арбулаг"
584,"                            4-р баг, Даланхуруу",Western,Увс,MN85,Цагаанхайрхан,MN8505,"4-р баг, Даланхуруу","4-р баг, Даланхуруу"
585,    Хангайн бүс,Northern,Northern,Northern,Хангайн бүс,,Хангайн бүс,
586,            Орхон,Northern,Орхон,MN61,Орхон,,Орхон,
587,                Баян-Өндөр,Northern,Орхон,MN61,Баян-Өндөр,MN6102,Баян-Өндөр,
588,"                        1-р баг, Зэст",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"1-р баг, Зэст","1-р баг, Зэст"
589,"                        2-р баг, Оюут",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"2-р баг, Оюут","2-р баг, Оюут"
590,"                        3-р баг, Уурхайчин",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"3-р баг, Уурхайчин","3-р баг, Уурхайчин"
591,"                        4-р баг, Хүрэнбулаг",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"4-р баг, Хүрэнбулаг","4-р баг, Хүрэнбулаг"
592,"                        5-р баг, Уртбулаг",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"5-р баг, Уртбулаг","5-р баг, Уртбулаг"
593,"                        6-р баг, Согоот",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"6-р баг, Согоот","6-р баг, Согоот"
594,"                        7-р баг, Дэнж",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"7-р баг, Дэнж","7-р баг, Дэнж"
595,"                        8-р баг, Бүрэнбүст",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"8-р баг, Бүрэнбүст","8-р баг, Бүрэнбүст"
596,"                        9-р баг, Шанд",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"9-р баг, Шанд","9-р баг, Шанд"
597,"                        10-р баг, Наран",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"10-р баг, Наран","10-р баг, Наран"
598,"                        11-р баг, Цагаанчулуут",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"11-р баг, Цагаанчулуут","11-р баг, Цагаанчулуут"
599,"                        12-р баг, Булаг",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"12-р баг, Булаг","12-р баг, Булаг"
600,"                        13-р баг, Баянцагаан",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"13-р баг, Баянцагаан","13-р баг, Баянцагаан"
601,"                        14-р баг, Говил",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"14-р баг, Говил","14-р баг, Говил"
602,"                        15-р баг, Рашаант",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"15-р баг, Рашаант","15-р баг, Рашаант"
603,"                        16-р баг, Малчин",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"16-р баг, Малчин","16-р баг, Малчин"
604,"                        17-р баг, Эрдэнэ",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"17-р баг, Эрдэнэ","17-р баг, Эрдэнэ"
605,"                        18-р баг, Баянбулаг",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"18-р баг, Баянбулаг","18-р баг, Баянбулаг"
606,"                        19-р баг, Их залуу",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"19-р баг, Их залуу","19-р баг, Их залуу"
607,"                        20-р баг, Яргуйт",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"20-р баг, Яргуйт","20-р баг, Яргуйт"
608,"                        21-р баг, Даваат",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"21-р баг, Даваат","21-р баг, Даваат"
609,"                        22-р баг, Уртынгол",Northern,Орхон,MN61,Баян-Өндөр,MN6102,"22-р баг, Уртынгол","22-р баг, Уртынгол"
610,                Жаргалант,Northern,Орхон,MN61,Жаргалант,MN6101,Жаргалант,
611,"                        1-р баг, Улаантолгой",Northern,Орхон,MN61,Жаргалант,MN6101,"1-р баг, Улаантолгой","1-р баг, Улаантолгой"
612,"                        2-р баг, Жаргалант",Northern,Орхон,MN61,Жаргалант,MN6101,"2-р баг, Жаргалант","2-р баг, Жаргалант"
613,"                        3-р баг, Дулаан-Уул",Northern,Орхон,MN61,Жаргалант,MN6101,"3-р баг, Дулаан-Уул","3-р баг, Дулаан-Уул"
614,"                        4-р баг, Малчин",Northern,Орхон,MN61,Жаргалант,MN6101,"4-р баг, Малчин","4-р баг, Малчин"
615,            Өвөрхангай,Northern,Өвөрхангай,MN62,Өвөрхангай,,Өвөрхангай,
616,                Арвайхээр,Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,Арвайхээр,
617,"                        1-р баг, Согоот",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"1-р баг, Согоот","1-р баг, Согоот"
618,"                        2-р баг, Эмт",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"2-р баг, Эмт","2-р баг, Эмт"
619,"                        3-р баг, Дэлгэрэх",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"3-р баг, Дэлгэрэх","3-р баг, Дэлгэрэх"
620,"                        4-р баг, Өлзийт",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"4-р баг, Өлзийт","4-р баг, Өлзийт"
621,"                        5-р баг, Арвайхээр",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"5-р баг, Арвайхээр","5-р баг, Арвайхээр"
622,"                        6-р баг, Ягаантолгой",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"6-р баг, Ягаантолгой","6-р баг, Ягаантолгой"
623,"                        7-р баг, Дэлгэрэхийн дэнж",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"7-р баг, Дэлгэрэхийн дэнж","7-р баг, Дэлгэрэхийн дэнж"
624,"                        8-р баг, Рашаант",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"8-р баг, Рашаант","8-р баг, Рашаант"
625,"                        9-р баг, Бурхи",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"9-р баг, Бурхи","9-р баг, Бурхи"
626,"                        10-р баг, Ноён",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"10-р баг, Ноён","10-р баг, Ноён"
627,                        11-р баг,Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,11-р баг,11-р баг
628,"                        12-р баг, Зүлэгт",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"12-р баг, Зүлэгт","12-р баг, Зүлэгт"
629,"                        13-р баг, Онги",Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,"13-р баг, Онги","13-р баг, Онги"
630,                Баруунбаян-Улаан,Northern,Өвөрхангай,MN62,Баруунбаян-Улаан,MN6227,Баруунбаян-Улаан,
631,"                        1-р баг, Өлзийт хошуу",Northern,Өвөрхангай,MN62,Баруунбаян-Улаан,MN6227,"1-р баг, Өлзийт хошуу","1-р баг, Өлзийт хошуу"
632,"                        2-р баг, Хүүхдийн-Ус",Northern,Өвөрхангай,MN62,Баруунбаян-Улаан,MN6227,"2-р баг, Хүүхдийн-Ус","2-р баг, Хүүхдийн-Ус"
633,"                        3-р баг, Цагаан-Овоо",Northern,Өвөрхангай,MN62,Баруунбаян-Улаан,MN6227,"3-р баг, Цагаан-Овоо","3-р баг, Цагаан-Овоо"
634,"                        4-р баг, Хөөвөр",Northern,Өвөрхангай,MN62,Баруунбаян-Улаан,MN6227,"4-р баг, Хөөвөр","4-р баг, Хөөвөр"
635,                Бат-Өлзий,Northern,Өвөрхангай,MN62,Бат-Өлзий,MN6221,Бат-Өлзий,
636,"                        1-р баг, Улаан-Ам",Northern,Өвөрхангай,MN62,Бат-Өлзий,MN6221,"1-р баг, Улаан-Ам","1-р баг, Улаан-Ам"
637,"                        2-р баг, Бүрэгтий",Northern,Өвөрхангай,MN62,Бат-Өлзий,MN6221,"2-р баг, Бүрэгтий","2-р баг, Бүрэгтий"
638,"                        3-р баг, Өвт",Northern,Өвөрхангай,MN62,Бат-Өлзий,MN6221,"3-р баг, Өвт","3-р баг, Өвт"
639,"                        4-р баг, Зөрүүлэг",Northern,Өвөрхангай,MN62,Бат-Өлзий,MN6221,"4-р баг, Зөрүүлэг","4-р баг, Зөрүүлэг"
640,"                        5-р баг, Хүйтэн булаг",Northern,Өвөрхангай,MN62,Бат-Өлзий,MN6221,"5-р баг, Хүйтэн булаг","5-р баг, Хүйтэн булаг"
641,                Баянгол,Northern,Өвөрхангай,MN62,Баянгол,MN6206,Баянгол,
642,"                        1-р баг, Өнц",Northern,Өвөрхангай,MN62,Баянгол,MN6206,"1-р баг, Өнц","1-р баг, Өнц"
643,"                        2-р баг, Эргэн дэнж",Northern,Өвөрхангай,MN62,Баянгол,MN6206,"2-р баг, Эргэн дэнж","2-р баг, Эргэн дэнж"
644,"                        3-р баг, Цагаан булан",Northern,Өвөрхангай,MN62,Баянгол,MN6206,"3-р баг, Цагаан булан","3-р баг, Цагаан булан"
645,"                        4-р баг, Хаяа",Northern,Өвөрхангай,MN62,Баянгол,MN6206,"4-р баг, Хаяа","4-р баг, Хаяа"
646,"                        5-р баг, Цавын-Ихэр",Northern,Өвөрхангай,MN62,Баянгол,MN6206,"5-р баг, Цавын-Ихэр","5-р баг, Цавын-Ихэр"
647,"                        6-р баг, Ширээ",Northern,Өвөрхангай,MN62,Баянгол,MN6206,"6-р баг, Ширээ","6-р баг, Ширээ"
648,                    Баян-Өндөр,Northern,Өвөрхангай,MN62,Баян-Өндөр,MN6201,Баян-Өндөр,
649,"                            1-р баг, Бөмбий",Northern,Өвөрхангай,MN62,Баян-Өндөр,MN6201,"1-р баг, Бөмбий","1-р баг, Бөмбий"
650,"                            2-р баг, Батхаан",Northern,Өвөрхангай,MN62,Баян-Өндөр,MN6201,"2-р баг, Батхаан","2-р баг, Батхаан"
651,"                            3-р баг, Өвөр зүлэгт",Northern,Өвөрхангай,MN62,Баян-Өндөр,MN6201,"3-р баг, Өвөр зүлэгт","3-р баг, Өвөр зүлэгт"
652,"                            4-р баг, Хар тойром",Northern,Өвөрхангай,MN62,Баян-Өндөр,MN6201,"4-р баг, Хар тойром","4-р баг, Хар тойром"
653,"                            5-р баг, Бумбат",Northern,Өвөрхангай,MN62,Баян-Өндөр,MN6201,"5-р баг, Бумбат","5-р баг, Бумбат"
654,                    Богд,Northern,Өвөрхангай,MN62,Богд,MN6219,Богд,
655,"                            1-р баг, Өлзийт хошуу",Northern,Өвөрхангай,MN62,Богд,MN6219,"1-р баг, Өлзийт хошуу","1-р баг, Өлзийт хошуу"
656,"                            2-р баг, Хөөвөр",Northern,Өвөрхангай,MN62,Богд,MN6219,"2-р баг, Хөөвөр","2-р баг, Хөөвөр"
657,"                            3-р баг, Баян төхөм",Northern,Өвөрхангай,MN62,Богд,MN6219,"3-р баг, Баян төхөм","3-р баг, Баян төхөм"
658,"                            4-р баг, Гүн-Ус",Northern,Өвөрхангай,MN62,Богд,MN6219,"4-р баг, Гүн-Ус","4-р баг, Гүн-Ус"
659,"                            5-р баг, Далан",Northern,Өвөрхангай,MN62,Богд,MN6219,"5-р баг, Далан","5-р баг, Далан"
660,"                            6-р баг, Ялаатай",Northern,Өвөрхангай,MN62,Богд,MN6219,"6-р баг, Ялаатай","6-р баг, Ялаатай"
661,"                            7-р баг, Ховд",Northern,Өвөрхангай,MN62,Богд,MN6219,"7-р баг, Ховд","7-р баг, Ховд"
662,                    Бүрд,Northern,Өвөрхангай,MN62,Бүрд,MN6202,Бүрд,
663,"                            1-р баг, Ар жаргалант",Northern,Өвөрхангай,MN62,Бүрд,MN6202,"1-р баг, Ар жаргалант","1-р баг, Ар жаргалант"
664,"                            2-р баг, Их боригдой",Northern,Өвөрхангай,MN62,Бүрд,MN6202,"2-р баг, Их боригдой","2-р баг, Их боригдой"
665,"                            3-р баг, Донгит",Northern,Өвөрхангай,MN62,Бүрд,MN6202,"3-р баг, Донгит","3-р баг, Донгит"
666,"                            4-р баг, Ар хөшөөт",Northern,Өвөрхангай,MN62,Бүрд,MN6202,"4-р баг, Ар хөшөөт","4-р баг, Ар хөшөөт"
667,"                            5-р баг, Онгон",Northern,Өвөрхангай,MN62,Бүрд,MN6202,"5-р баг, Онгон","5-р баг, Онгон"
668,                    Гучин-Ус,Northern,Өвөрхангай,MN62,Гучин-Ус,MN6218,Гучин-Ус,
669,"                            1-р баг, Хөөвөр",Northern,Өвөрхангай,MN62,Гучин-Ус,MN6218,"1-р баг, Хөөвөр","1-р баг, Хөөвөр"
670,"                            2-р баг, Гучин",Northern,Өвөрхангай,MN62,Гучин-Ус,MN6218,"2-р баг, Гучин","2-р баг, Гучин"
671,"                            3-р баг, Аргалант",Northern,Өвөрхангай,MN62,Гучин-Ус,MN6218,"3-р баг, Аргалант","3-р баг, Аргалант"
672,"                            4-р баг, Аргуйт",Northern,Өвөрхангай,MN62,Гучин-Ус,MN6218,"4-р баг, Аргуйт","4-р баг, Аргуйт"
673,                    Есөн зүйл,Northern,Өвөрхангай,MN62,Есөн зүйл,MN6203,Есөн зүйл,
674,"                            1-р баг, Тахилга",Northern,Өвөрхангай,MN62,Есөн зүйл,MN6203,"1-р баг, Тахилга","1-р баг, Тахилга"
675,"                            2-р баг, Мөнхбулаг",Northern,Өвөрхангай,MN62,Есөн зүйл,MN6203,"2-р баг, Мөнхбулаг","2-р баг, Мөнхбулаг"
