ID,ADM,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4
53,"                            4-р баг, Хонгор",Western,Завхан,MN81,Их-Уул,MN8101,"4-р баг, Хонгор","4-р баг, Хонгор"
54,"                            5-р баг, Цэцүүх",Western,Завхан,MN81,Их-Уул,MN8101,"5-р баг, Цэцүүх","5-р баг, Цэцүүх"
55,"                            6-р баг, Зарт",Western,Завхан,MN81,Их-Уул,MN8101,"6-р баг, Зарт","6-р баг, Зарт"
56,                    Нөмрөг,Western,Завхан,MN81,Нөмрөг,MN8111,Нөмрөг,
57,"                            1-р баг, Хөдрөг",Western,Завхан,MN81,Нөмрөг,MN8111,"1-р баг, Хөдрөг","1-р баг, Хөдрөг"
58,"                            2-р баг, Баянзүрх",Western,Завхан,MN81,Нөмрөг,MN8111,"2-р баг, Баянзүрх","2-р баг, Баянзүрх"
59,"                            3-р баг, Дархан-Уул",Western,Завхан,MN81,Нөмрөг,MN8111,"3-р баг, Дархан-Уул","3-р баг, Дархан-Уул"
60,"                            4-р баг, Нуур",Western,Завхан,MN81,Нөмрөг,MN8111,"4-р баг, Нуур","4-р баг, Нуур"
61,"                            5-р баг, Хайрхан",Western,Завхан,MN81,Нөмрөг,MN8111,"5-р баг, Хайрхан","5-р баг, Хайрхан"
62,                    Отгон,Western,Завхан,MN81,Отгон,MN8107,Отгон,
63,"                            1-р баг, Буянт",Western,Завхан,MN81,Отгон,MN8107,"1-р баг, Буянт","1-р баг, Буянт"
64,"                            2-р баг, Баянбулаг",Western,Завхан,MN81,Отгон,MN8107,"2-р баг, Баянбулаг","2-р баг, Баянбулаг"
65,"                            3-р баг, Бадрал",Western,Завхан,MN81,Отгон,MN8107,"3-р баг, Бадрал","3-р баг, Бадрал"
66,"                            4-р баг, Соёл",Western,Завхан,MN81,Отгон,MN8107,"4-р баг, Соёл","4-р баг, Соёл"
67,"                            5-р баг, Онц",Western,Завхан,MN81,Отгон,MN8107,"5-р баг, Онц","5-р баг, Онц"
68,"                            6-р баг, Хужирт",Western,Завхан,MN81,Отгон,MN8107,"6-р баг, Хужирт","6-р баг, Хужирт"
69,                    Сантмаргац,Western,Завхан,MN81,Сантмаргац,MN8126,Сантмаргац,
70,"                            1-р баг, Баян-Улаан",Western,Завхан,MN81,Сантмаргац,MN8126,"1-р баг, Баян-Улаан","1-р баг, Баян-Улаан"
71,"                            2-р баг, Баяннуур",Western,Завхан,MN81,Сантмаргац,MN8126,"2-р баг, Баяннуур","2-р баг, Баяннуур"
72,"                            3-р баг, Баяндавс",Western,Завхан,MN81,Сантмаргац,MN8126,"3-р баг, Баяндавс","3-р баг, Баяндавс"
