CID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
C487,National,Western,Увс,MN85,Баруунтуруун,MN8502,"2-р баг, Зүүн туруун","2-р баг, Зүүн туруун",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,1.47,1.72,1.99,2.09,2.32,2.46,2.74,2.95
C488,National,Western,Увс,MN85,Баруунтуруун,MN8502,"3-р баг, Туруун","3-р баг, Туруун",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.77,0.85,1.11,1.15,1.25,1.41,1.65,1.93
C489,National,Western,Увс,MN85,Баруунтуруун,MN8502,"4-р баг, Баян-Айраг","4-р баг, Баян-Айраг",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,2.01,2.52,2.73,2.83,3.24,3.32,3.58,4.13
C490,National,Western,Увс,MN85,Бөхмөрөн,MN8522,Бөхмөрөн,,,Үхэр,4.47,4.61,4.44,4.29,4.72,4.49,4.72,4.75,4.89,4.62,4.37,4.36,4.54,4.58,4.46,4.66,4.59,5.07,5.08,5.04,5.15,5.14,4.95,4.76,5.75,6.31,5.99,6.15,5.86,5.52,4.31,4.23,3.35,3.88,4.21,3.73,4,4.36,4.5,4.18,3.91,4.12,4.27,4.71,5.43,5.69,5.98,6.86,7.18,7.22,7.94
C491,National,Western,Увс,MN85,Бөхмөрөн,MN8522,"1-р баг, Гурван жигэртэй","1-р баг, Гурван жигэртэй",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,1.34,1.62,1.71,1.66,1.86,2.08,2.18,2.34
C492,National,Western,Увс,MN85,Бөхмөрөн,MN8522,"2-р баг, Хар алтад","2-р баг, Хар алтад",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,2.11,2.43,2.52,2.56,2.95,2.96,3.03,3.47
C493,National,Western,Увс,MN85,Бөхмөрөн,MN8522,"3-р баг, Байшинт","3-р баг, Байшинт",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,1.26,1.38,1.46,1.76,2.05,2.14,2.01,2.13
C494,National,Western,Увс,MN85,Давст,MN8512,Давст,,,Үхэр,4.38,4.58,4.41,4.51,8.12,7.91,7.31,7.24,6.79,6.78,7.05,6.44,5.84,5.84,5.94,6.38,6.78,7.04,7.22,7.54,7.45,4.8,4.18,4.22,4.72,5.11,4.89,4.62,4.49,4.13,3.43,3.28,3.22,3.52,3.59,3.92,4.27,4.28,3.53,3.39,3.46,3.5,3.74,4.18,5,5.23,5.07,5.86,6.55,7.25,7.86
C495,National,Western,Увс,MN85,Давст,MN8512,"1-р баг, Торхилог","1-р баг, Торхилог",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,2.08,2.36,2.47,2.45,2.86,3.2,3.7,3.95
C496,National,Western,Увс,MN85,Давст,MN8512,"2-р баг, Зүүнхөвөө","2-р баг, Зүүнхөвөө",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.34,,0.61,0.53,0.56,0.68,0.67,0.78
C497,National,Western,Увс,MN85,Давст,MN8512,"3-р баг, Хандгайт","3-р баг, Хандгайт",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,1.77,2.63,2.15,2.1,2.44,2.68,2.89,3.13
C498,National,Western,Увс,MN85,Завхан,MN8510,Завхан,,,Үхэр,1.44,1.6,1.39,1.45,1.38,1.37,1.3,1.28,1.15,1.24,1.21,1.24,1.25,1.16,1,1.11,1.24,1.38,1.45,1.49,1.61,1.85,2.03,2.45,2.98,3.19,2.5,2.27,2.28,1.59,0.57,0.47,0.33,0.49,0.74,0.88,1.02,1.21,1.21,0.88,0.43,0.54,0.7,0.89,10.77,1.11,1.25,1.53,1.61,1.49,1.63
C499,National,Western,Увс,MN85,Завхан,MN8510,"1-р баг, Айраг нуур","1-р баг, Айраг нуур",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.21,,0.26,0.31,0.38,0.44,0.43,0.43
C500,National,Western,Увс,MN85,Завхан,MN8510,"2-р баг, Хармагт","2-р баг, Хармагт",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.09,,0.1,0.16,0.22,0.19,0.18,0.19
C501,National,Western,Увс,MN85,Завхан,MN8510,"3-р баг, Хяргас нуур","3-р баг, Хяргас нуур",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.13,0.58,0.11,0.09,0.09,0.1,0.08,0.09
C502,National,Western,Увс,MN85,Завхан,MN8510,"4-р баг, Шар булаг","4-р баг, Шар булаг",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.45,,0.65,0.69,0.84,0.87,0.8,0.93
C503,National,Western,Увс,MN85,Зүүнговь,MN8504,Зүүнговь,,,Үхэр,9.26,9.87,9.36,9.38,9.81,9.16,7.76,7.31,7.28,7.21,6.98,6.78,7.09,7.29,7.25,7.67,7.96,8.07,8.44,8.98,9.27,9.15,9.11,9.36,9.99,9.76,10.81,11.65,12.59,10.69,8.72,7.25,6.8,5.83,6.62,8.11,8.91,9.37,8.53,6.96,4.75,5.8,6.85,8.3,,10.81,10.05,10.88,12.07,13.13,14.4
C504,National,Western,Увс,MN85,Зүүнговь,MN8504,"1-р баг, Баяннуур","1-р баг, Баяннуур",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,1.18,1.41,1.63,1.51,1.63,1.76,2.02,2.17
C505,National,Western,Увс,MN85,Зүүнговь,MN8504,"2-р баг, Өгөөмөр","2-р баг, Өгөөмөр",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.5,1.95,2.22,2.15,2.24,2.44,2.76,3.06
C506,National,Western,Увс,MN85,Зүүнговь,MN8504,"3-р баг, Суврага","3-р баг, Суврага",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,1.91,2.13,2.22,1.79,1.97,2.16,2.41,2.52
C507,National,Western,Увс,MN85,Зүүнговь,MN8504,"4-р баг, Тохой","4-р баг, Тохой",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.79,3.19,3.56,3.4,3.73,4.31,4.54,5.06
C508,National,Western,Увс,MN85,Зүүнговь,MN8504,"5-р баг, Зэлийн гол","5-р баг, Зэлийн гол",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.92,1.04,1.18,1.19,1.31,1.4,1.4,1.59
C509,National,Western,Увс,MN85,Зүүнхангай,MN8501,Зүүнхангай,,,Үхэр,7.32,8.09,7.25,7.31,7.76,6.84,6.57,6.91,7.19,7.38,6.97,6.02,5.83,6.01,6.35,6.77,7.37,7.85,8.24,9.05,9.4,8.46,7.87,8.83,10.75,12.44,12.83,13.24,12.41,12.6,5.26,3.27,3.19,3.45,4.28,4.86,5.8,6.89,7.07,5.56,3.61,3.82,4.87,5.63,6.85,7.75,7.93,8.89,9.14,10.36,11.56
C510,National,Western,Увс,MN85,Зүүнхангай,MN8501,"1-р баг, Даланбулаг","1-р баг, Даланбулаг",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.65,1.96,2.03,1.97,2.42,2.59,2.96,3.27
C511,National,Western,Увс,MN85,Зүүнхангай,MN8501,"2-р баг, Баянгол","2-р баг, Баянгол",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.77,2.13,2.29,2.41,2.86,3,3.52,3.97
C512,National,Western,Увс,MN85,Зүүнхангай,MN8501,"3-р баг, Жаргалант","3-р баг, Жаргалант",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,1.58,1.98,1.76,1.72,2.4,2.46,2.63,2.96
C513,National,Western,Увс,MN85,Зүүнхангай,MN8501,"4-р баг, Хайрхан","4-р баг, Хайрхан",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.63,0.78,1.68,1.84,1.2,1.08,1.25,1.36
C514,National,Western,Увс,MN85,Малчин,MN8509,Малчин,,,Үхэр,6.7,7.44,7.67,7.82,7.41,6.12,4.52,4.63,4.33,4.46,4.85,5.07,5.21,5.24,5.57,5.97,6.07,6.45,6.83,7.24,7.47,7.49,7.25,7.96,9.22,10.15,10.61,11.38,11.46,8.53,4.11,3.35,3.69,3.72,4.36,4.87,5.07,5.02,3.72,3.53,3.6,4.14,4.62,5.39,6.22,6.54,6.81,7.01,6.72,7.27,7.99
C515,National,Western,Увс,MN85,Малчин,MN8509,"1-р баг, Баянмандал","1-р баг, Баянмандал",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,1.52,1.65,1.82,1.87,1.95,1.94,1.97,2.15
C516,National,Western,Увс,MN85,Малчин,MN8509,"2-р баг, Цалгар","2-р баг, Цалгар",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.95,1.13,1.08,1.27,1.35,1.26,1.43,1.57
C517,National,Western,Увс,MN85,Малчин,MN8509,"3-р баг, Баянхайрхан","3-р баг, Баянхайрхан",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,1.27,1.5,1.67,1.76,1.85,1.75,1.92,2.14
C518,National,Western,Увс,MN85,Малчин,MN8509,"4-р баг, Баян-Эрдэнэ","4-р баг, Баян-Эрдэнэ",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,1.66,1.94,1.98,1.91,1.87,1.77,1.96,2.14
C519,National,Western,Увс,MN85,Наранбулаг,MN8511,Наранбулаг,,,Үхэр,4.88,5.09,4.48,4.52,4.5,3.56,2.94,3.27,3.31,3.38,3.59,3.95,4.09,4.3,4.78,5.08,5.64,6.24,6.59,6.83,6.62,6.23,5.42,5.68,6.31,7.09,7.09,6.37,6.93,5.42,2.56,2.81,3.14,3.44,4.18,4.49,4.59,4.74,3.85,3.41,2.76,3.31,4.04,4.88,5.77,6.23,6.65,7.09,6.92,6.64,7.62
C520,National,Western,Увс,MN85,Наранбулаг,MN8511,"1-р баг, Гүн бүрд","1-р баг, Гүн бүрд",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.92,1.07,1.1,1.19,1.26,1.27,1.27,1.46
C521,National,Western,Увс,MN85,Наранбулаг,MN8511,"2-р баг, Алдар","2-р баг, Алдар",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.3,1.58,1.8,2.04,2.25,2.14,2.05,2.43
C522,National,Western,Увс,MN85,Наранбулаг,MN8511,"3-р баг, Хужирт","3-р баг, Хужирт",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,1.45,1.67,1.76,1.85,1.86,1.68,1.63,1.86
C523,National,Western,Увс,MN85,Наранбулаг,MN8511,"4-р баг, Улаан-Үзүүр","4-р баг, Улаан-Үзүүр",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.21,1.45,1.56,1.57,1.71,1.83,1.69,1.86
C524,National,Western,Увс,MN85,Өлгий,MN8515,Өлгий,,,Үхэр,3.5,3.37,2.89,2.79,2.63,2.32,2.06,2.37,2.59,2.61,2.61,2.72,2.74,2.82,3.06,3.47,3.83,4.21,4.43,4.41,4.33,4.22,3.96,4.15,4.95,5.79,5.71,4.48,4.45,3.71,1.4,1.39,1.07,1.42,1.97,2.18,2.46,2.62,1.86,1.22,0.91,1.09,1.35,1.81,2.32,2.44,2.54,3.01,2.88,2.79,3.28
C525,National,Western,Увс,MN85,Өлгий,MN8515,"1-р баг, Чаргат","1-р баг, Чаргат",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.71,0.92,0.94,0.99,1.16,1.12,1.15,1.34
C526,National,Western,Увс,MN85,Өлгий,MN8515,"2-р баг, Өлгий нуур","2-р баг, Өлгий нуур",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.55,0.69,0.73,0.71,0.83,0.8,0.74,0.94
C527,National,Western,Увс,MN85,Өлгий,MN8515,"3-р баг, Хулст нуур","3-р баг, Хулст нуур",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.35,0.45,0.49,0.49,0.58,0.51,0.48,0.5
C528,National,Western,Увс,MN85,Өлгий,MN8515,"4-р баг, Хөдөлмөр","4-р баг, Хөдөлмөр",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.19,0.27,0.28,0.34,0.45,0.45,0.42,0.49
C529,National,Western,Увс,MN85,Өмнөговь,MN8521,Өмнөговь,,,Үхэр,6.6,6.72,5.97,5.88,5.99,5.53,5.14,5.55,5.81,5.6,5.98,6.33,6.41,6.06,6.2,6.67,7.07,7.63,8.03,8.27,8.22,7.15,6.83,6.81,8.05,9.69,9.54,8.97,7.66,6.81,3.12,3.31,3.14,3.74,4.96,5.11,5.76,6.02,5.17,3.69,2.64,3.24,4.09,5.38,6.78,7.43,7.9,8.88,8.84,8.56,9.28
C530,National,Western,Увс,MN85,Өмнөговь,MN8521,"1-р баг, Холбоо","1-р баг, Холбоо",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.73,0.95,0.99,0.99,1.09,1.15,1.06,1.18
C531,National,Western,Увс,MN85,Өмнөговь,MN8521,"2-р баг, Улиаст","2-р баг, Улиаст",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.73,2.16,2.52,2.56,2.97,2.87,2.75,3.01
C532,National,Western,Увс,MN85,Өмнөговь,MN8521,"3-р баг, Орлого","3-р баг, Орлого",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.42,1.77,1.89,1.99,2.21,2.15,2.04,2.18
C533,National,Western,Увс,MN85,Өмнөговь,MN8521,"4-р баг, Баянгол","4-р баг, Баянгол",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.71,0.98,1.12,1.23,1.31,1.33,1.26,1.47
C534,National,Western,Увс,MN85,Өмнөговь,MN8521,"5-р баг, Намир","5-р баг, Намир",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.79,0.91,0.92,1.13,1.31,1.35,1.44,1.44
C535,National,Western,Увс,MN85,Өндөрхангай,MN8503,Өндөрхангай,,,Үхэр,7.14,7.88,8.19,8.41,9.04,9.01,8.74,8.92,9.05,9.2,9.04,8.22,8.28,8.63,8.79,9.14,9.65,10.41,10.45,10.48,10.83,10.02,9.78,9.9,11.41,12.34,13.3,14.66,15.43,16.46,6.36,4.61,4.24,5.12,6.16,6.82,7.94,9.49,8.94,6.97,5.2,5.87,6.79,7.92,9.67,11.1,11.04,12.74,12.64,14.21,15.63
C536,National,Western,Увс,MN85,Өндөрхангай,MN8503,"1-р баг, Цалуу","1-р баг, Цалуу",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.66,1.89,2.17,2.32,2.62,2.79,3.09,3.51
C537,National,Western,Увс,MN85,Өндөрхангай,MN8503,"2-р баг, Батсайхан","2-р баг, Батсайхан",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,1.34,1.63,1.86,1.71,1.89,2.15,2.41,2.58
C538,National,Western,Увс,MN85,Өндөрхангай,MN8503,"3-р баг, Цагааннуур","3-р баг, Цагааннуур",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.17,2.66,3.1,2.82,3.08,3.09,3.56,3.72
C539,National,Western,Увс,MN85,Өндөрхангай,MN8503,"4-р баг, Жаргалант","4-р баг, Жаргалант",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,1.49,1.89,2.19,2.28,2.98,2.59,3.02,3.52
C540,National,Western,Увс,MN85,Өндөрхангай,MN8503,"5-р баг, Цэцэрлэг","5-р баг, Цэцэрлэг",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,1.26,1.59,1.78,1.9,2.17,2.01,2.14,2.31
C541,National,Western,Увс,MN85,Сагил,MN8519,Сагил,,,Үхэр,5.62,5.97,5.42,5.31,5.62,5.64,5.28,5.38,5.44,5.61,5.84,5.65,5.67,6.12,6.03,6.22,6.4,6.66,6.98,7.32,7.24,6.65,6.62,7.27,8.34,8.9,8.76,10.45,8.57,6.63,5.27,4.92,4.48,5.05,5.48,5.84,6.58,7.02,6.46,6.14,4.93,5.57,5.96,7.14,8.78,10.35,9.71,11.18,11.97,12.46,13.3
C542,National,Western,Увс,MN85,Сагил,MN8519,"1-р баг, Баянзүрх","1-р баг, Баянзүрх",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.17,1.47,1.47,1.36,1.61,1.78,1.97,2.06
C543,National,Western,Увс,MN85,Сагил,MN8519,"2-р баг, Боршоо","2-р баг, Боршоо",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,1.29,1.51,1.41,1.19,1.43,1.52,1.65,1.79
C544,National,Western,Увс,MN85,Сагил,MN8519,"3-р баг, Өндөр мод","3-р баг, Өндөр мод",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.96,3.82,5.11,4.79,5.35,5.57,5.78,6.16
C545,National,Western,Увс,MN85,Сагил,MN8519,"4-р баг, Үүрэг нуур","4-р баг, Үүрэг нуур",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.2,1.42,1.53,1.6,1.92,2.13,2.02,2.17
C546,National,Western,Увс,MN85,Сагил,MN8519,"5-р баг, Хар мод","5-р баг, Хар мод",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.52,0.56,0.83,0.78,0.87,0.97,1.04,1.12
C547,National,Western,Увс,MN85,Тариалан,MN8513,Тариалан,,,Үхэр,8.39,8.99,8.52,8.25,10.82,9.28,7.38,7.91,8.72,9.39,9.89,9.35,9.44,9.67,9.78,9.61,9.95,10.68,10.83,10.85,11.19,8.17,7.28,6.49,7.46,9.12,9.69,8.85,9.75,9.11,4.72,4.04,3.8,4.4,4.86,4.88,4.73,4.7,3.91,3.1,1.98,2.29,2.82,3.37,4.51,4.95,5.01,5.94,6.15,6.15,6.81
C548,National,Western,Увс,MN85,Тариалан,MN8513,"1-р баг, Бургастай","1-р баг, Бургастай",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.36,0.53,0.58,0.63,0.73,0.8,0.78,0.83
C549,National,Western,Увс,MN85,Тариалан,MN8513,"2-р баг, Тарвагатай","2-р баг, Тарвагатай",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.39,0.62,0.69,0.78,0.93,0.92,0.98,1.1
C550,National,Western,Увс,MN85,Тариалан,MN8513,"3-р баг, Мянган","3-р баг, Мянган",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.61,0.95,0.99,1.07,1.17,1.34,1.39,1.58
C551,National,Western,Увс,MN85,Тариалан,MN8513,"4-р баг, Толь","4-р баг, Толь",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.17,0.19,0.18,0.27,0.34,0.36,0.36,0.4
C552,National,Western,Увс,MN85,Тариалан,MN8513,"5-р баг, Хөхөө","5-р баг, Хөхөө",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.96,1.15,1.17,1.28,1.56,1.57,1.64,1.78
C553,National,Western,Увс,MN85,Тариалан,MN8513,"6-р баг, Хархираа","6-р баг, Хархираа",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.9,1.07,1.34,0.98,1.22,1.17,1,1.11
C554,National,Western,Увс,MN85,Түргэн,MN8520,Түргэн,,,Үхэр,6.62,7.18,6.46,6.21,6.23,5.93,5.28,5.26,5.18,5.06,5.18,4.97,5.09,5.1,5.4,5.79,5.97,6.25,6.56,6.95,7.2,7.07,6.93,5.96,6.71,7.29,7.44,7.2,7.36,5.89,4.57,4.09,2.94,3.17,3.41,3.64,3.86,3.97,4.02,3.31,2.15,2.51,2.67,3.12,3.72,6.48,7.02,7.19,7.83,7.89,7.61
C555,National,Western,Увс,MN85,Түргэн,MN8520,"1-р баг, Баянхайрхан","1-р баг, Баянхайрхан",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.69,1.92,2.11,2.66,2.59,2.75,2.84,3
C556,National,Western,Увс,MN85,Түргэн,MN8520,"2-р баг, Аршаант","2-р баг, Аршаант",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.97,1.2,3.69,3.65,3.84,4.29,4.25,3.83
C557,National,Western,Увс,MN85,Түргэн,MN8520,"3-р баг, Эрдэнэхайрхан","3-р баг, Эрдэнэхайрхан",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.46,0.6,0.68,0.71,0.76,0.8,0.8,0.79
C558,National,Western,Увс,MN85,Тэс,MN8506,Тэс,,,Үхэр,15.84,17.02,15.38,15.67,15.95,16.01,14.02,14.07,13.73,14.11,13.97,14.29,15.04,15.25,16.02,16.56,17.16,18.39,18.72,19.11,19.84,20.53,21.82,22.17,21.99,22.54,22.34,23.28,24.63,25.01,22.51,20.03,19.69,18.55,19.43,21.13,22.66,24.41,21.34,19.97,19.37,21.4,23.28,24.62,27.06,27.24,27.1,28.53,29.1,32.23,33.34
C559,National,Western,Увс,MN85,Тэс,MN8506,1-р баг,1-р баг,,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2.41,2.59,2.54,2.34,2.45,2.34,2.47,2.44
C560,National,Western,Увс,MN85,Тэс,MN8506,2-р баг,2-р баг,,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,2.96,3.53,3.44,3.4,3.48,3.55,3.91,4.04
C561,National,Western,Увс,MN85,Тэс,MN8506,3-р баг,3-р баг,,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,2.27,2.51,2.42,2.46,2.76,2.74,3.14,3.44
C562,National,Western,Увс,MN85,Тэс,MN8506,4-р баг,4-р баг,,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,3.21,2.54,2.61,2.42,2.58,2.63,2.74,3.04
C563,National,Western,Увс,MN85,Тэс,MN8506,5-р баг,5-р баг,,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,2.46,2.59,2.68,2.49,2.62,2.68,2.94,3.31
C564,National,Western,Увс,MN85,Тэс,MN8506,6-р баг,6-р баг,,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,2.23,2.72,2.52,2.55,2.73,2.84,3.17,2.95
C565,National,Western,Увс,MN85,Тэс,MN8506,8-р баг,8-р баг,,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.39,2.35,2.51,2.51,2.54,2.63,2.91,3.13
C566,National,Western,Увс,MN85,Тэс,MN8506,9-р баг,9-р баг,,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,2.38,2.32,2.38,2.56,2.84,2.96,3.45,3.43
C567,National,Western,Увс,MN85,Тэс,MN8506,10-р баг,10-р баг,,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.16,2.71,2.87,3.02,3.03,3.04,3.56,3.4
C568,National,Western,Увс,MN85,Тэс,MN8506,11-р баг,11-р баг,,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,2.16,3.2,3.26,3.35,3.49,3.68,3.95,4.17
C569,National,Western,Увс,MN85,Ховд,MN8523,Ховд,,,Үхэр,5.4,5.69,5.65,5.68,6.26,6.29,5.87,6.04,6.1,6.22,6.23,6.16,6.4,6.53,6.83,7.11,7.43,7.69,7.94,8.26,8.13,6.72,6.36,5.91,6.43,7.23,6.78,7.38,7.34,6.59,4.39,3.88,2.74,3.38,3.93,4.16,4.68,5.11,5.42,4.54,3.44,3.9,4.16,4.83,5.59,6.52,6.96,7.96,8.45,8.97,9.6
C570,National,Western,Увс,MN85,Ховд,MN8523,"1-р баг, Ховд","1-р баг, Ховд",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,1.3,1.64,1.78,1.95,2.26,2.47,2.74,2.97
C571,National,Western,Увс,MN85,Ховд,MN8523,"2-р баг, Шивэр","2-р баг, Шивэр",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.84,0.98,1.24,1.29,1.58,1.6,1.75,1.88
C572,National,Western,Увс,MN85,Ховд,MN8523,"3-р баг, Ачит","3-р баг, Ачит",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.54,1.65,1.89,1.91,2.12,2.17,2.14,2.25
C573,National,Western,Увс,MN85,Ховд,MN8523,"4-р баг, Халиунбулаг","4-р баг, Халиунбулаг",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1.15,1.31,1.61,1.81,2.01,2.21,2.34,2.49
