CID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
C18,National,Western,Завхан,MN81,Асгат,MN8117,Асгат,,,Үхэр,,,,,,,,,,,,,,,,,1.1,1.27,1.4,1.77,2.24,2.46,2.83,3.06,3.6,3.53,2.9,2.55,2.46,1.86,1.53,0.83,0.68,0.68,0.85,1.05,1.29,1.77,1.82,1.69,1.38,1.55,1.8,2.3,2.69,2.85,3.16,3.65,3.87,4.42,3.83
C19,National,Western,Завхан,MN81,Асгат,MN8117,"1-р баг, Аргалант","1-р баг, Аргалант",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,1.74,2.01,2.15,2.31,2.57,2.88,1.76,1.47
C20,National,Western,Завхан,MN81,Асгат,MN8117,"2-р баг, Суварга","2-р баг, Суварга",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.56,0.69,0.7,0.85,1.08,0.99,0.97,0.93
C21,National,Western,Завхан,MN81,Асгат,MN8117,"3-р баг, Хайрхан","3-р баг, Хайрхан",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.43
C22,National,Western,Завхан,MN81,Баянтэс,MN8116,Баянтэс,,,Үхэр,6.09,6.35,5.9,8.32,6.9,6.84,6.65,6.53,6.45,6.3,6.46,5.94,5.37,5.68,6.24,6.75,7.28,8.13,8.58,8.78,9.76,7.18,6.79,6.71,7.84,8.29,7.51,6.46,6.02,3.68,2.74,2.26,2.21,2.3,2.39,2.89,3.43,3.81,3.98,3.17,2.72,3.2,3.97,4.77,5.91,7.06,7.57,8.77,9.51,10.73,9.48
C23,National,Western,Завхан,MN81,Баянтэс,MN8116,"1-р баг, Бужир","1-р баг, Бужир",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,2.15,2.52,2.79,2.85,3.12,3.49,3.74,3.13
C24,National,Western,Завхан,MN81,Баянтэс,MN8116,"2-р баг, Жавхлан","2-р баг, Жавхлан",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.94,1.14,1.51,1.62,1.87,2.1,2.48,2.26
C25,National,Western,Завхан,MN81,Баянтэс,MN8116,"3-р баг, Зайгал","3-р баг, Зайгал",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.84,1.2,1.5,1.65,2.06,2.1,2.32,2.02
C26,National,Western,Завхан,MN81,Баянтэс,MN8116,"4-р баг, Хачиг","4-р баг, Хачиг",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.83,1.05,1.26,1.46,1.72,1.83,2.2,2.06
C27,National,Western,Завхан,MN81,Баянхайрхан,MN8118,Баянхайрхан,,,Үхэр,5.45,5.91,5.36,5.17,4.82,4.53,4.51,4.42,4.38,4.35,4.42,3.91,3.69,4.05,4.5,5.39,4.89,5.27,5.52,5.84,6.4,6.51,6.25,6.31,7.14,8.4,8.21,8.29,7.33,5.67,3.09,1.75,1.65,2.09,2.51,2.93,3.42,4.01,4.11,4.3,3.67,4.03,4.41,5.02,5.88,6.65,6.12,6.55,7.34,8.16,7.68
