GID,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G340,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,Goat,19.76,20.62,20.33,23.66,22.99,22.28,23.16,21.65,21.55,23.16,24.29,24.23,24.84,23.29,25.04,24.4,24.38,23.95,22.13,23,23.04,19.73,17.64,18.77,24.82,31.56,36.19,43.44,39.97,43.18,40.9,42.22,43.71,51.35,55.12,54.77,64.48,73.2,78.71,61.14,52.42,59.35,62.28,65.43,74.67,78.32,80.5,79.21,77.07,78.42,81.57
G352,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,Goat,36.95,37.65,36.21,41.22,36.67,39.08,40.03,34.86,36,39.41,40.48,37.06,40.02,42.05,41.23,40.94,42.92,40.04,33.48,37.05,36.75,33.05,31.79,34.71,46.64,56.9,64.16,74.32,72.71,73.29,74.05,70.67,69.98,74.89,75.54,72.5,83.98,96.62,100.99,90.68,79.36,97.24,98.2,112.19,132.11,138.77,142.32,134.89,135.4,137.71,143.5
G363,Western,Ховд,MN84,Жаргалант,MN8414,Goat,1.27,1.06,1.28,1.45,1.63,1.81,2.56,2.38,1.91,1.48,1.6,1.64,2.09,2.17,2.41,3.6,3.49,3.98,4.65,5.18,10.5,14.22,22.3,32.68,40.81,43.83,35.95,39.08,32.1,23.4,22.12,11.87,15.79,22.32,28.85,33.08,38.96,37.09,53.05,46.53,29.22,33.49,40.79,48.19,57.9,56.4,60.53,58.64,50.66,47.93,58.8
G376,Western,Ховд,MN84,Алтай,MN8408,Goat,24.55,26.64,24.54,25.76,26.87,25.48,26.36,23.78,27.17,27.68,25.83,25.06,26.8,22.28,23.61,26.46,25.74,24.86,23.68,27.16,27.73,27.61,32.06,34.62,37.27,45.09,43.14,33.75,40.46,44.68,48.57,38.22,48.51,55.52,63.39,69.6,83.81,94.47,99.26,92.26,33.79,41.03,46.13,46.19,59.02,69.31,84.72,99.95,111.57,122.02,125.73
G381,Western,Ховд,MN84,Булган,MN8421,Goat,35.35,39.2,39.48,40.96,38.92,31.17,32.33,32.86,36.09,36.51,37,38.75,40.49,40.09,38.98,45.66,47.97,48.4,40.81,46.72,51.04,49.44,56.26,53.56,59.9,70.31,69.96,49.95,58.07,64.95,74.62,69.84,90.67,106.16,115.44,125.35,140.73,165.78,179.14,170.63,78.74,98,0,0,120.44,134.59,143.74,158.36,177.61,195.56,191.53
G388,Western,Ховд,MN84,Буянт,MN8409,Goat,18.89,18.33,19.84,21.43,21.03,20.44,21.39,19.65,20.35,19.79,19.33,20.57,19.57,18.76,15.12,17.49,17.15,16.73,17.95,18.08,17.89,18.14,17.85,21.03,26.05,32.83,34.68,36.82,37.02,38.71,36.35,36.97,30.5,39.63,48.28,52.93,67.61,78.61,77.22,64.07,54.21,68.83,71.63,71.58,84.93,95.1,103.74,114.6,103.28,95.13,109.83
G394,Western,Ховд,MN84,Дарви,MN8401,Goat,21.27,22.48,22.63,22.74,23.04,21.78,20.73,16.24,18.25,18.58,17.63,17.97,18.09,14.89,12.29,14.5,14.6,15.23,15.36,16.59,18.39,17.54,18.07,21.73,28.68,34.37,34.34,36.57,38.08,39.66,39.44,28.41,23.44,34.62,44.05,47.79,55.25,63.24,67.78,58.93,41.7,48.37,55.47,65.55,74.62,81.35,94.78,92.52,77.99,81.54,91.51
G400,Western,Ховд,MN84,Дөргөн,MN8402,Goat,39.72,38.04,38.56,43.5,44.02,44.51,44.97,43.38,44.68,45.24,29.08,29.23,30.6,25.48,24.34,26.86,26.95,27.55,29.48,25.21,28.63,29.52,30.15,39.04,46.2,51.37,45.25,53.08,55.72,56.79,44.07,43.05,28.18,40.91,53.46,53.85,65.51,73.25,73.29,63.6,42.96,55.27,60.26,67.85,74.2,86,85.88,101.17,82.64,89.17,109.69
G405,Western,Ховд,MN84,Дуут,MN8420,Goat,16.72,18.45,18.58,19.74,19.17,16.39,17.75,18.57,0,27.26,20.6,21.24,20.91,20.18,17.89,20.45,20.22,20.61,23.86,23.68,21.76,21.25,22.82,27.78,30.15,34.23,32.07,31.85,25.91,28.21,29.48,25.54,25.24,31.19,38.49,46.99,54.67,65.21,61.82,34.98,33.65,37.15,43.7,49.49,57.95,66.17,75.29,78.43,66.04,63.11,68.64
G410,Western,Ховд,MN84,Зэрэг,MN8406,Goat,29.4,31.47,31.49,32.49,29.28,29.75,30.09,23.59,20.15,20.33,28.34,30.73,31.54,30.9,24.38,28.55,29.65,31.1,33.72,32.55,31.44,29.09,30.66,35.59,39.53,45.33,43.04,45.87,46,46.84,48.29,34.85,28.32,40.03,48.58,58.31,70.69,80.9,78.16,82.82,68.32,58.9,65.84,68.94,78.01,88.91,100.94,103.62,83.93,82.85,101.71
G416,Western,Ховд,MN84,Манхан,MN8411,Goat,42.35,44.68,44.89,48.97,44.48,42.18,42.68,39.96,27.85,28.92,43.79,44.41,41.73,39.73,33.45,40.23,44.85,49.11,54.68,54.39,56.78,57.84,62.11,69,82.41,94,91.86,98.23,88.25,91.01,88.62,71.11,54.48,73.62,94.35,106.46,123.41,133.11,119.44,106.59,103.98,98.06,108.84,114.47,128.7,141.96,161.58,159.48,133.11,126.55,157.11
G423,Western,Ховд,MN84,Мөнххайрхан,MN8419,Goat,18.3,16.2,16.58,17.36,16.59,16.7,16.71,14.51,16.85,17.85,17.88,17.9,18.32,18.23,17.32,19.84,19.67,19.26,20.55,19.3,19.99,19.35,22.4,23.97,27.38,32.94,33.09,35.28,28.74,31.56,34.16,28.69,28.01,27.37,31.94,34.44,40.93,48.73,43.76,38.2,39.1,33.89,36.7,40.1,45.13,49.07,55.31,59.7,54.28,48.67,49.41
G428,Western,Ховд,MN84,Мөст,MN8407,Goat,26.11,29.55,30.04,31.2,29.13,26.13,26.47,25.16,26.11,27.22,25.8,26.96,24.94,23.17,18.21,21.83,22.74,23.48,26.07,25.96,26.26,26.84,29.81,33.95,37.8,44.15,42.6,42.83,34.61,36.04,39.74,30.95,31.58,39.82,46.18,53.51,62.53,74.85,76.94,71.95,58.74,47.62,52.91,58.3,67.76,75.3,91.37,99.07,91.94,86.06,92.11
G434,Western,Ховд,MN84,Мянгад,MN8410,Goat,0,0,0,0,0,0,0,0,40.08,16.98,17.98,19.52,21.64,22.08,21.09,23.38,22.98,23.82,24.53,23.66,25.21,24.7,26.56,33.65,41.24,47.63,47.21,50.72,45.76,43.74,38.7,41.92,37.64,49.08,59.09,63.25,78.88,90.56,91.15,83.04,64.47,78.88,81.86,96.1,106.34,117.85,124.23,132.04,116.94,117.58,125.81
G440,Western,Ховд,MN84,Үенч,MN8413,Goat,23.13,27.64,28.73,30.79,29.27,28.53,28.62,27.04,30.17,30.98,26.34,27.34,27.94,27.1,23.43,27.96,28.69,28.16,23.74,27.06,28.14,29.22,35.64,36.22,39.92,46.23,46.38,40.32,42.51,47.19,50.86,41.55,45.82,50.97,56.37,57.4,66.98,75.83,86.74,80.16,36.75,43.2,47.93,49.02,59.81,67.13,72.84,75.77,86.67,87.98,91.35
G446,Western,Ховд,MN84,Ховд,MN8417,Goat,36.87,36.52,38.28,42.52,41.52,41.24,42.45,37.17,40.03,40.17,41.89,45.34,47,46.02,43.08,48.61,47.41,48.32,52.31,50.56,51.77,48.43,34.93,38.58,45.18,55.49,56.08,67.05,63.61,61.74,64.45,55.55,59.03,66.4,78.67,73.93,85.7,91.52,77.69,59.44,47.96,64.08,70.11,81.01,95.37,101.12,116.04,117.15,110.15,112.28,141.22
G452,Western,Ховд,MN84,Цэцэг,MN8405,Goat,28.85,30.45,28.71,30.59,27.77,26.47,27.54,24.97,26.32,26.93,23.09,22.62,24.08,21.66,16.23,18.87,19.32,19.38,22.17,22.59,22.45,22.23,23.68,26.45,29.07,34.54,35.63,35.11,31.68,34.72,37.76,34.43,36.1,39.6,47.84,52.04,57.33,66.59,68.99,70.9,46.16,40.28,42.49,47.67,54.85,61.87,73.08,87.72,87.43,83.25,84.43
G458,Western,Ховд,MN84,Чандмань,MN8403,Goat,27.58,27.68,28.92,32.81,31.77,31.27,31.99,25.15,25.99,27.53,28.01,30.69,29.55,24.54,20.81,23.44,24.25,23.89,24.91,23.84,26.23,28.91,31.98,39.13,44.53,49.82,50.62,56.71,58.96,64.44,56.83,52.37,36.63,53.73,71.49,80.77,100.4,109.58,84.91,80.48,59.03,78.53,94.25,102.16,124.08,136.37,139.74,127.94,106.92,115.04,135.82
G465,Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,Goat,28.13,29.47,29.16,32.6,31.15,27.9,28.68,26.35,28.84,27.97,29.44,31.48,32.56,32.07,28.96,30.65,30.55,29.75,33.36,32.8,31.98,31.55,31.93,38.24,44.31,52.53,46.93,51.81,43.42,42.27,40.24,43.84,38.69,50.38,59.86,62.11,73.6,82.27,66.97,59.03,44.08,58.12,67.96,76.13,86.39,92.49,102.08,98.62,83.46,76.63,87.26
G472,Western,Увс,MN85,Улаангом,MN8516,Goat,1.06,0.91,0.7,0.9,0,2.46,2.58,2.81,2.26,2.33,2.51,2.72,2.76,2.81,2.92,3.24,2.8,2.55,1.04,1.25,1.48,1.89,2,2.4,2.53,2.29,1.66,22.48,2.06,0,0,0,0,0,0,0,0,0,0,67,44.47,49.9,49.16,46.43,59.19,55.05,58.74,64.65,69.88,74.88,79.6
G485,Western,Увс,MN85,Баруунтуруун,MN8502,Goat,0.63,0.61,0.62,0.7,0.81,0.76,0.85,0.89,1.03,0.92,1.13,1.08,1.11,0.96,0.97,1.07,1.01,0.8,0.91,1.1,1.37,1.73,2.16,3,4.54,6.36,7.46,8.02,9.75,11.08,8.84,6.23,8.19,8.76,11.62,14.49,19.22,23.96,25.79,27.82,13.26,14.16,17.27,17.61,21.14,24.88,25.04,28.71,31.09,33.94,38.15
G490,Western,Увс,MN85,Бөхмөрөн,MN8522,Goat,17.26,16.8,16.65,16.94,17.9,16.06,17,16.7,17.33,18.21,17.97,12.53,13.89,13.68,14.15,14.05,13.41,12.96,13.41,13.52,13.67,13.01,14.28,15.95,20.04,23.17,23.62,26.61,27.69,27.63,26.12,28.24,26.23,35.02,39.37,33.76,41.31,46.55,54.01,49.25,39.98,46.14,46.91,50.97,53.91,55.8,56.77,63.29,66.58,66.39,70.23
G494,Western,Увс,MN85,Давст,MN8512,Goat,11.09,10.97,11.09,12,14.8,12.1,10.72,9.07,8.81,9.54,9.35,9.19,9.88,10.84,11.88,12.82,12.92,12.72,13.4,13.7,12.38,9.77,9.94,10.02,12.49,14.59,15.35,15.48,16.4,15.64,15.25,17.76,19.9,23.94,29.1,32.82,38.05,39.38,31.61,34.42,29.57,29.46,29.75,29.63,48.29,34.57,31.26,35.97,39.14,42.96,41.19
G498,Western,Увс,MN85,Завхан,MN8510,Goat,13.77,14.15,14.2,16.17,15.37,17.69,15.2,16.01,14.07,16.19,17.09,15.07,16.19,12.65,13.05,15.34,16.58,17.29,16.69,16.05,17.36,19.74,21.91,28.32,34.85,41.81,42.31,50.74,56.25,50.48,34.55,37.99,19.53,29.64,41.5,41.56,48.36,51.43,50.36,44.87,27.27,37.99,41.8,48.87,84.59,58.4,57.6,69.88,66.66,70.43,81.26
G503,Western,Увс,MN85,Зүүнговь,MN8504,Goat,4.47,4.54,4.64,5.07,5.09,4.77,4.5,3.37,4.2,4.69,4.67,5.28,5.64,6.24,5.99,6.37,6.55,5.9,6.4,7.03,7.6,7.31,7.76,8.17,9.33,9.18,11.05,12.72,16.12,15.52,15.67,16.13,19.2,18.55,24.36,28.84,36.35,40.01,38.59,34.87,15.19,20.63,25.29,27.76,0,37.7,34.51,37.24,39.97,45.23,48.82
G509,Western,Увс,MN85,Зүүнхангай,MN8501,Goat,9.83,10.34,8.92,9.23,9.1,8.56,8.66,8.61,9.38,9.92,9.83,8.96,9.61,9.6,9.39,10.21,10.94,11.26,12.3,14.23,15.14,13.4,13.93,17.04,20.79,23.25,24.93,28.82,28.23,28.94,24.71,24.91,28.45,32.53,38.78,39.52,48.74,56.06,57.41,46.55,31.64,36.28,41.02,43.63,48.54,53.31,53.72,57.72,54.91,62.72,67.39
G514,Western,Увс,MN85,Малчин,MN8509,Goat,14.49,14.81,15.05,16.33,15.26,14.95,11.18,11.1,12.69,14.76,15.62,15.47,16.3,16.28,15.34,15.23,15.69,15.6,16.44,17.24,17.06,15.4,14.13,17.79,20.86,24.41,28.36,32.25,34.96,33.95,29.93,29.2,35.08,40.56,48.73,42.26,51.01,54.78,43.28,46.32,33.67,38.44,39.94,40.17,43.49,45.75,45.98,48.8,50.02,52.61,55.09
G519,Western,Увс,MN85,Наранбулаг,MN8511,Goat,21.88,22.08,22.22,24.8,25.22,23.47,19.65,21.19,22.33,24.56,26,25.93,28.2,24.35,23.93,26.14,26.7,27.5,29.26,29.23,29.03,31.29,29.94,34.41,37.87,40.84,44.19,46.61,52.61,52.44,42.66,51.72,51.5,64.96,76.32,65.84,78.79,87.45,74.33,71.47,46.77,58.85,64.74,72.49,80.96,88.97,87.82,99.56,101.13,94.24,104.86
G524,Western,Увс,MN85,Өлгий,MN8515,Goat,25.72,23.82,22.92,24.06,25.38,25.82,22.29,25.54,25.45,25.75,26.99,26.56,27.11,24.41,26.29,28.66,30.25,31.16,30.95,29.97,28.95,28.17,29.24,34.87,38.76,45.32,46.15,48.15,51.33,50.73,35.94,42.08,28.64,40.57,50.07,45.1,56,60.99,54.88,46.9,30.14,38.79,42.65,51.23,57.96,64,63.1,74.16,71.93,64.98,78.14
G529,Western,Увс,MN85,Өмнөговь,MN8521,Goat,26.39,25.04,23.29,26.26,29.7,28.11,21.2,23.39,24.22,25.01,26.17,25.67,26.36,22.29,22.39,23.38,24.47,26.13,27.44,28.36,28.53,25.02,26.23,29.47,33.66,41.03,40.95,43.89,44.04,42.39,31.54,37.13,35.21,51.54,61.87,58.71,72.16,79.21,73.57,61.59,42.56,54,62.39,73.43,86.11,90.17,88.12,102.36,102.52,94.26,111.04
G535,Western,Увс,MN85,Өндөрхангай,MN8503,Goat,17.79,17.72,16.93,15.28,15.65,16.62,15.2,15.53,16.21,16.48,16.71,11.01,12.06,12.2,11.07,11.13,11.82,12.29,13.19,14.53,13.64,13.52,15.02,17.62,21.43,25.04,28.19,32.7,38.17,39.43,31.7,34.22,34.89,45.85,57.13,55.42,69.81,84.76,75.4,66.05,44.93,53.61,57.59,62.47,72.1,80.79,73.31,90.56,84.11,100.47,105.05
G541,Western,Увс,MN85,Сагил,MN8519,Goat,19.16,17.17,16.17,17.06,17.69,17.91,16.68,14.14,15.3,15.58,15.41,13.82,14.83,13.35,12.81,13.66,13.95,13.73,14.74,14.88,15.06,15.31,16.85,18.56,21.68,24.8,25.18,29.54,29.15,26.17,26.88,30.9,36.94,45.66,52.32,53.07,65.4,67.94,71.24,65.73,43.86,47.45,46.56,50.69,56.46,58.86,60.49,66.54,72.88,77.19,77.91
G547,Western,Увс,MN85,Тариалан,MN8513,Goat,14.77,14.44,14.9,16.36,20.81,19.31,14.79,16.23,17.22,18.47,18.77,19.23,19.38,17.69,18.2,18.69,19.88,20.83,21.51,21.82,22.49,19.89,20.32,19.97,21.68,26.45,31.07,32.59,39.19,38.57,30.34,33.03,34.13,43.25,47.42,48.7,51.63,53.97,44.98,38.92,25.51,32.1,37.42,41.66,49.56,49.94,52.82,58.1,59.54,53.48,57.12
G554,Western,Увс,MN85,Түргэн,MN8520,Goat,12.76,11.63,10.81,10.55,10.34,10.07,8.93,8.03,8.31,8.39,9.15,8.42,9.39,8.25,8.64,8.95,8.87,8.96,9.64,10.07,10.26,10.24,10.58,10.69,12.39,14.7,16.6,18.42,20.23,20.88,22.05,23.52,21.86,25.47,29.51,32.1,37.16,41.12,43.47,37.05,25.89,29.36,28.27,32.08,36.65,42.27,47.84,50.35,54.01,53.38,50.91
G558,Western,Увс,MN85,Тэс,MN8506,Goat,6.92,7.16,7.3,7.97,8.2,8.23,7.3,7.46,7.66,8.33,9.25,10.71,11.4,11.7,12.12,12.7,13.14,11.05,12.21,12.83,13.19,12.49,13.12,14.24,16.47,18.25,19.96,22.46,28.27,28.68,30.87,32.87,38.38,38.9,47.05,49.89,62.12,73.34,62.99,60.67,55.23,63.42,62.12,62.49,69.74,67.27,63.12,69.38,67.58,78.5,78.41
G569,Western,Увс,MN85,Ховд,MN8523,Goat,19.94,21.13,20.89,22.82,23.7,21.08,20.12,21.25,21.57,22.1,22,18.24,18.98,18.54,20.59,23.02,23.71,24.4,22.76,23.2,22.25,20.4,22,24.63,29.58,34.09,34.17,38.94,40.17,38.73,32.99,35.14,28.49,38.98,46.21,47.81,59.21,67.08,72.09,64.92,49.76,60.21,61.77,67.77,73.26,80.49,82.85,92.84,96.39,96.55,101.19
G574,Western,Увс,MN85,Хяргас,MN8508,Goat,20.98,21.32,22.1,23.26,22.2,21.56,19.62,17.14,18.46,18.8,19.12,17.88,17.27,16.08,15.32,15.97,16.78,16.97,18.28,19.63,20.2,17.4,16.62,17.03,19.87,22.99,24.23,26.6,27.91,27.1,25.19,27.78,33.11,37.44,43.81,47.23,57.26,65.29,62.57,56.96,40.35,44.7,50.32,52.27,57.61,59.62,63.44,65.68,65.61,71.72,72.82
G579,Western,Увс,MN85,Цагаанхайрхан,MN8505,Goat,15.32,15.63,15.73,16.15,14.86,14.2,13.06,12.26,12.51,13.25,13.3,10.35,10.72,10.28,10.23,10.03,10.46,10.93,11.52,12.43,12.82,12.6,14.05,15.91,21.35,23.53,27.31,30.24,34.49,35.97,34.24,33.06,27.79,39.03,47.33,50.34,61.65,70.16,58.42,57.91,43.74,49.81,54.36,54.76,63.06,68.88,72.51,82.13,81.52,88.89,91.1
G586,Northern,Орхон,MN61,Баян-Өндөр,MN6102,Goat,0,0,0,0,0,0,0.4,0.4,0.6,7.5,0.51,0.76,1.04,1.12,1.27,1.33,1.33,1.41,1.71,2.25,3.16,2.46,4.33,6.72,14,15.63,18.09,20.1,24.66,33.68,38.12,42.18,43.26,35.08,36.01,44.34,57.61,64.93,87.38,73.95,48.15,47.81,49.21,43.34,13.02,14.21,16.11,14.89,14.85,17.21,23.08
G609,Northern,Орхон,MN61,Жаргалант,MN6101,Goat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,2.01,2.9,3.48,6.09,5.77,7.32,9.28,10.89,12.18,13.62,10.37,10.25,12.81,16.04,20.22,28.53,37.93,37,19.3,21.14,22.61,22.41,31.58,29.09,32.46,25.6,23.14,27.84,29.46
G615,Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,Goat,0.66,0.6,0.81,0.97,0.91,0.93,0.82,1.11,0.54,0.46,0.45,0.7,0.7,1.06,1.7,2.2,2.3,3.11,3.95,6.98,10.78,8.72,10.18,13.5,15.86,16.14,10.26,14.06,12.88,9.47,10.64,8.06,10.14,14.78,17.96,19.32,26.06,41.18,56.16,52.35,25.16,37.8,58.63,72.66,91.14,90.43,110.33,115.44,103.57,106.8,104.34
G629,Northern,Өвөрхангай,MN62,Баруунбаян-Улаан,MN6227,Goat,17.99,17.73,19.22,18.74,19.67,21.41,22.2,22.54,25.8,25.99,26.16,26.23,29.97,29.98,26.98,24.55,26.66,25.76,24.39,27.55,27.65,31.37,33.12,39.68,46.21,55.42,57.98,61.65,67,66.35,62.99,41.86,27.87,39.25,48.1,53.42,62.66,78.93,90.85,98.08,65.31,74.33,84.5,93.56,101.85,105.06,116.47,121.14,103.36,109.01,70.1
G634,Northern,Өвөрхангай,MN62,Бат-Өлзий,MN6221,Goat,5.48,5.64,5.93,5.72,5.48,6.03,6.01,6.18,6.91,7.16,6.85,8.19,9.05,7.35,6.16,5.38,5.11,5.26,5.35,5.72,6.12,6.2,6.01,6.3,7.94,10.42,11.31,13.23,16.17,19.69,18.65,17.41,18.63,26.4,26.69,28.78,33.93,40.41,51.31,55.42,35.31,45.16,54.63,65,72.9,76.33,86.65,95.28,100.07,109.37,77.86
G640,Northern,Өвөрхангай,MN62,Баянгол,MN6206,Goat,21.27,21.87,24.95,26.14,25.65,26.97,28.07,28.43,28.61,28.67,30.08,28.9,32.53,27.19,26.14,26.58,29.71,27.57,28.46,34.76,37.52,41.56,43.38,47.97,53.24,63.29,59.53,73.57,83.57,68.24,43.39,52.73,63.45,74.64,86.38,79.23,90.21,109.06,120.76,109.05,36.36,52.65,69.57,90.9,114.75,132.98,152.55,170.39,160.14,149.37,119.92
G647,Northern,Өвөрхангай,MN62,Баян-Өндөр,MN6201,Goat,19.7,18.89,19,19.33,20.73,20.59,18.94,18.08,19.97,20.6,21.32,20.53,22.38,18.73,20.03,19.94,20.51,19.91,21.5,24.6,26.15,23.64,24.19,25.74,31.01,37.61,41.98,47.37,53.63,52.36,30.39,34.54,32.82,42.09,49.71,59,68.78,84.87,81.78,84.43,57.03,71.12,88.93,99.14,112.87,115.88,125.88,136.31,121.85,116.59,104.24
G653,Northern,Өвөрхангай,MN62,Богд,MN6219,Goat,62.59,58.42,61.86,61.12,68.42,69.39,70.12,65.61,73.69,69.13,63.44,62.57,67.96,68.52,66.47,57.02,66.72,67.68,74.84,83.47,72.7,79.7,84.2,102.96,120.81,142.84,139.97,160.15,164.73,171.85,151.55,155.27,107.56,123.89,135.39,127.38,129.91,156.59,178.6,205.42,125.05,156.82,172.88,201.99,230.69,241.87,278.99,315.16,326.18,354.61,210.85
G661,Northern,Өвөрхангай,MN62,Бүрд,MN6202,Goat,12.27,13.52,14.97,15.33,16.36,17.13,17.83,15.37,17.41,18.01,17.81,18.02,18.07,14.19,14.17,13.75,12.78,13.01,13.38,14.33,14.84,15.55,16.66,20.6,23.58,27.42,27.52,27.93,30.97,31.52,23.65,22.36,21.17,29.13,37.33,43.78,52.98,64.79,68.41,73.93,59.96,66,79.82,87.63,95.98,100.27,106.34,110.55,94.63,98.94,92.18
G667,Northern,Өвөрхангай,MN62,Гучин-Ус,MN6218,Goat,19.46,19.48,22.21,22.32,22.95,22.18,22.73,23.51,24.68,24.59,23.64,24.03,26.49,24.4,21.45,17.96,23.01,22.73,22.58,28.04,29.29,29.96,27.5,32.53,37.06,44.62,45.28,51.4,58.27,55.61,43.6,42.82,35.9,42.26,50.47,49.97,54.66,70.29,76.43,70.82,41.47,51.07,62.93,74.81,85.62,98.06,108.14,112.6,107.4,112.46,73.83
G672,Northern,Өвөрхангай,MN62,Есөн зүйл,MN6203,Goat,11.5,10.81,11.22,10.58,12.82,13.31,13.6,13.04,14.4,14.54,12.93,12.98,14.31,11.21,12.62,10.92,11.4,11.38,12.55,15.94,16.34,14.44,15.05,16.46,20.42,24.36,25.68,29.6,33.57,33.2,21.4,24.8,26.55,30.27,35.97,41.15,48.15,58.78,48.32,53.3,34.82,43.53,47.55,53.22,62.08,68.59,75.77,82.99,69.59,68.15,58.42
G677,Northern,Өвөрхангай,MN62,Зүүнбаян-Улаан,MN6212,Goat,7.84,8.04,8.23,8.99,8.91,9.61,10.19,10.45,11.22,11.01,9.23,8.65,8.3,5.8,6.55,7.22,8,8.62,8.93,9.87,11.26,10.68,13.27,12.72,15.87,19.26,19.77,22.57,25.04,23.97,20.37,18.17,18.31,23.75,24.29,26.33,31.09,39.56,45.21,51.76,26.86,34.77,44.07,51.38,62.11,69.93,82.4,93.3,94.89,100.13,77.88
G684,Northern,Өвөрхангай,MN62,Нарийнтээл,MN6226,Goat,13.97,13.71,12.69,12.91,12.89,12.79,13.3,13.95,15.49,15.72,16.26,16.49,17.61,16.58,14.15,14.66,16,16.91,18.29,20.59,23.4,25.5,30.6,33.94,39.77,50.44,56.17,62.32,67.34,70.9,67.61,49.2,41.16,52.9,60.41,67.92,78.1,98.91,112.55,105.33,87.55,91.79,98.55,107.18,119.32,118.83,122.82,119.68,105.3,116.96,96
G689,Northern,Өвөрхангай,MN62,Өлзийт,MN6205,Goat,11.06,10.39,10.81,11.78,12.7,12.69,13.39,14.01,14.77,14.91,10.7,9.82,10.44,7.11,8.59,8.01,9.45,9.63,9.23,11.59,13.64,12.15,12.15,12.3,15.09,19.23,21.11,23.58,26.45,24.26,17.63,18.45,19.69,24.48,29.86,34.12,39.18,47.66,46.23,48.01,28.53,34.09,44.75,49.02,59.15,63.67,70.28,77.15,70.08,64.14,56.47
G694,Northern,Өвөрхангай,MN62,Сант,MN6204,Goat,20.43,21.14,23.45,25.16,26.13,26.63,27.05,26.32,28.84,28.7,26.99,23.09,27.25,26.04,24.58,26.17,29.51,27.83,28.75,32.97,36.78,34.88,38.09,38.02,46.85,56.24,58.43,69.08,76.21,60.25,36.13,47.73,54.33,64.59,74.63,77.07,84.49,99.7,107.63,96.18,32.95,46.61,61.3,77.99,99.58,112.88,127.56,149.89,134.92,128.24,109.66
G700,Northern,Өвөрхангай,MN62,Тарагт,MN6214,Goat,7.95,7.48,8.56,9.51,8.7,8.83,9.01,9.3,9.72,9.09,7.62,7.91,7.54,5.83,6.74,6.74,7.48,8.01,8.07,9.03,9.48,10.32,13.92,14.45,17.9,22.12,24.99,28.55,33.47,29.47,17.9,16.08,19.43,27.31,32.73,33.58,40.49,48.65,57.56,54.83,21.9,36.24,48.63,61.26,77.61,89.77,103.17,109.71,103.46,96.24,81.24
G707,Northern,Өвөрхангай,MN62,Төгрөг,MN6208,Goat,18.31,16.73,19.39,20.04,20.24,20.85,23.73,24.7,27.26,27.45,27.22,29.66,33.47,29.83,26.81,22.36,25.46,24.44,26.07,27.65,28.63,31.09,30.78,34.46,37.78,43.96,40.53,48.39,54.86,52.84,33.74,31.58,36.77,43.25,49.35,43.81,50.07,63.69,74.02,69.07,17.23,25.87,36.01,48.5,62.44,75.23,94.02,109.32,112.25,118.54,82.19
G713,Northern,Өвөрхангай,MN62,Уянга,MN6222,Goat,5.08,5.43,5.6,5.76,5.56,5.3,5.57,5.89,6.4,6.22,4.96,4.08,3.65,3.89,4.19,4.37,5.05,5.77,5.87,6.91,7.55,8.59,10.51,12.32,15.53,20.1,23.17,26.11,28.19,31.09,31.56,28.73,29.04,42.71,50.62,55.28,64.47,78.81,92.4,93.43,55.86,72.43,84.37,95.73,106.06,108.64,121.41,117.05,114.73,132.33,103.41
G722,Northern,Өвөрхангай,MN62,Хайрхандулаан,MN6224,Goat,13.72,13.43,12.81,13.92,14.2,14.39,14.44,15.45,16.14,16.47,15.83,15.97,16.51,15.02,12.66,12.96,13.82,14.63,15.39,17.25,18.26,19.46,23.5,26.89,31.57,38.77,42.02,48.31,55.75,54.69,43.89,36.47,35.58,48.4,56.14,59.56,70.59,87.23,102.02,95,65.07,79.57,95.64,111.22,131.46,134.88,150.75,152.37,141.23,149.68,114.59
G729,Northern,Өвөрхангай,MN62,Хархорин,MN6209,Goat,4.89,5.25,5.51,6.12,6.12,6.42,7.19,7.33,7.19,6.71,3.84,4.06,4.85,5.04,5.72,5.65,5.78,5.95,5.49,6.34,7.19,9.05,11.69,14.37,18.58,21.43,22.24,26.89,31.94,37.52,25.11,26.5,29.48,31.74,40.41,50.86,61.37,78.87,80.86,96.52,57.21,62.56,72.68,75.3,85.95,92.39,105.18,111.15,100.28,121.29,95.86
G738,Northern,Өвөрхангай,MN62,Хужирт,MN6211,Goat,10.81,11.46,12.26,12.8,13.36,14.84,13.59,13.49,14.56,14.18,13.95,13.37,12.97,10.45,11.52,11.03,11.59,11.3,9.96,11.09,12.38,12.06,10.37,12.15,17.5,22.79,23.57,26.93,32.57,37.08,30.46,30.29,27.81,34.56,39.55,41.71,47.26,58.15,67.6,76.16,35.58,43.96,51.72,57.69,66.75,72.62,81.84,89.75,81.92,91.78,76.57
