GID,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G79,Western,Завхан,MN81,Тосонцэнгэл,MN8103,Goat,0.55,0.64,0.27,0.24,0.23,0.3,0.36,0.42,0.67,0.7,0.82,0.93,0.87,0.86,0.84,1.06,1.08,0.97,0.97,1.64,2.16,2.7,0,0,0,0,0,0,0,0,26.73,13.24,16.67,22.28,29.29,38.4,49.22,61.99,67.04,61.08,37.47,43.36,44.37,47.16,54.46,59.28,61.71,57.55,60.13,63.97,52.14
G87,Western,Завхан,MN81,Түдэвтэй,MN8121,Goat,5.4,5.53,6.22,6.5,6.72,6.51,7.11,6.11,6.88,7.1,6.46,5.97,5.44,5.42,4.4,3.64,3.82,4.08,4.39,5,4.65,4.11,4.41,5.19,7.05,9.23,11.1,13.14,13.75,13.67,11.42,7.95,10.62,14.44,18.69,24.43,32.36,40.78,40.1,31.39,16.46,20.15,22.62,24.24,27.63,30.65,31.55,32.4,35.7,37.52,31.83
G93,Western,Завхан,MN81,Тэлмэн,MN8105,Goat,5.28,5.6,5.68,5.65,5.79,6.2,6.39,6.34,6.91,7.29,7.43,7.16,7.54,7.5,8.02,7.38,7.86,8.23,8.25,9.04,9.39,8.48,8.68,8.63,11.86,15.44,19.19,23.56,27.23,25.09,22.84,11.28,15.45,19.6,25.18,30.89,37.74,44.24,47.06,35.21,24.31,28,31.21,33.34,35.84,38.72,40.19,36.44,36.69,38.48,34.66
G100,Western,Завхан,MN81,Тэс,MN8125,Goat,14.66,15.64,15.92,0,0.31,2.53,2.72,2.78,2.78,2.85,3.24,2.56,2.51,2.57,2.55,2.6,2.83,2.98,3.25,3.58,5.2,14.94,15.45,19.5,23.75,27.91,27.39,29.66,30.36,24.55,22.98,23.21,26.45,23.53,32.72,35.13,42.31,46.57,40.79,38.44,31.7,34.04,36.7,37.64,41.18,45.91,35.79,39.12,40.54,45.13,49.92
G105,Western,Завхан,MN81,Ургамал,MN8129,Goat,18.98,19.92,20.62,20.77,20.53,20.81,20.22,18.13,20.18,18.32,19.56,18.33,20.19,20.78,16.34,19.7,21,21.82,23.63,24.65,25.8,24.75,25.53,30.48,36.71,43.27,43.73,47.63,49.87,42.01,31.14,38.52,28.05,40.03,48.1,47.85,53.1,60.94,52.89,41.52,32.99,38.58,43.16,48.08,52.61,58.17,60.53,51.68,38.06,46.29,49.89
G111,Western,Завхан,MN81,Цагаанхайрхан,MN8112,Goat,10.02,10.28,10.04,10.3,9.74,10.44,10.69,9.16,9.6,9.09,7.98,7.16,7.21,6.68,6.5,6.48,6.63,6.55,6.65,7.5,7.68,7.1,7.7,9.25,12.37,16.38,18.51,19.65,21.07,20.57,20.51,19.39,19.82,23.11,25.77,28.52,34.56,39.85,40.24,38.62,19.21,23.25,26.92,29.62,33.49,37.12,41.07,46.43,47.56,46.38,41.09
G116,Western,Завхан,MN81,Цагаанчулуут,MN8115,Goat,12.08,12.81,12.5,12.92,12.99,13.49,12.79,11,12.06,11.36,10.8,10.49,12.73,12.05,11.45,11.9,12.37,11.65,11.99,13.06,14.19,14.38,15.41,16.04,20.85,25.55,27.83,28.74,29.83,28.91,27.41,27.01,24.85,27.61,31.82,34.75,41.02,46.86,43.34,38.64,16.01,20.29,23.87,27.11,31.4,35.04,40.26,44.84,45.37,47.69,43
G121,Western,Завхан,MN81,Цэцэн-Уул,MN8122,Goat,19.29,20.76,21.81,22.69,22.09,21.88,21.91,20.42,20.08,17.64,15.69,14.14,15.59,15.48,13.62,13.71,14.62,14.47,15.63,17.86,18.16,15.91,15.75,17.98,23.2,26.55,29.15,29.34,31.77,31.38,21.99,20.51,22.7,29.7,34.58,37.49,44.16,48.41,50.25,43.88,33.03,39.86,42.52,45.53,48.54,49.99,51.35,50.42,45.38,54.16,55.66
G127,Western,Завхан,MN81,Шилүүстэй,MN8114,Goat,8.63,9.07,11.09,11.72,11.09,11.69,11.74,11.35,11.57,11.38,11.34,10.32,11.44,12.45,9.23,9.37,10.26,10.73,9.34,10.91,12.09,12.99,13.58,11.71,16.21,21,24.38,25.98,27.95,26.47,22.58,23.44,19.6,24.35,27.15,31.68,38.05,44.37,47.2,41.37,18.9,26.25,33.21,38.09,43.72,48.74,52.77,61.12,64.33,65.76,57.6
G132,Western,Завхан,MN81,Эрдэнэхайрхан,MN8124,Goat,13.61,14.07,14.16,15.04,15.98,16.99,18.44,15.2,16.73,17.05,16.07,15.47,17.68,16.13,15.79,16.56,17,17.94,19.59,20.83,21.37,20.28,19.24,20.37,28.33,32.59,33.13,33.2,33.43,30.16,19.54,17.7,20.07,26.76,30.08,30.11,40.24,47.76,51.39,48.27,29.8,42.34,46.98,51.27,56.66,59.97,65.05,67.32,59.15,64.28,63.16
