Статистик үзүүлэлт,Засаг захиргааны нэгж,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Даатгалд хамрагдсан өрх,            Цагааннуур,8.,46.,52.,80.,106.,54.,52.,25.,92.,90.
Даатгалд хамрагдсан өрх,            Шаамар,5.,42.,75.,30.,27.,,1.,,6.,3.
Даатгалд хамрагдсан өрх,    Дорноговь,0.,378.,570.,804.,727.,450.,"1,346.","1,218.","1,294.","1,303."
Даатгалд хамрагдсан өрх,        Сайншанд,,8.,2.,9.,7.,4.,56.,74.,84.,62.
Даатгалд хамрагдсан өрх,        Айраг,,31.,71.,79.,94.,81.,157.,137.,128.,119.
Даатгалд хамрагдсан өрх,        Алтанширээ,,12.,38.,99.,71.,56.,116.,68.,90.,103.
Даатгалд хамрагдсан өрх,        Даланжаргалан,,15.,20.,45.,39.,18.,75.,99.,98.,105.
Даатгалд хамрагдсан өрх,            Дэлгэрэх,,88.,113.,115.,111.,32.,116.,146.,184.,163.
Даатгалд хамрагдсан өрх,            Замын-Үүд,,4.,,10.,8.,5.,1.,3.,4.,4.
Даатгалд хамрагдсан өрх,            Иххэт,,40.,59.,63.,51.,27.,102.,42.,102.,123.
Даатгалд хамрагдсан өрх,            Мандах,,36.,28.,54.,46.,17.,99.,117.,79.,105.
Даатгалд хамрагдсан өрх,            Өргөн,,12.,31.,42.,29.,26.,76.,85.,72.,92.
Даатгалд хамрагдсан өрх,            Сайхандулаан,,53.,80.,92.,118.,85.,126.,111.,143.,113.
Даатгалд хамрагдсан өрх,            Улаанбадрах,,12.,6.,42.,45.,28.,65.,74.,72.,74.
Даатгалд хамрагдсан өрх,            Хатанбулаг,,5.,13.,38.,36.,15.,124.,126.,101.,120.
Даатгалд хамрагдсан өрх,            Хөвсгөл,,11.,10.,42.,23.,13.,122.,57.,65.,46.
Даатгалд хамрагдсан өрх,        Эрдэнэ,,51.,99.,74.,49.,43.,111.,79.,72.,74.
Даатгалд хамрагдсан өрх,    Дархан-Уул,112.,60.,104.,60.,8.,32.,123.,59.,46.,79.
Даатгалд хамрагдсан өрх,        Дархан,55.,10.,26.,8.,1.,4.,59.,22.,20.,23.
Даатгалд хамрагдсан өрх,        Орхон,16.,24.,30.,5.,1.,,6.,1.,2.,20.
Даатгалд хамрагдсан өрх,        Хонгор,14.,9.,22.,14.,2.,24.,27.,31.,4.,16.
Даатгалд хамрагдсан өрх,        Шарын гол,27.,17.,26.,33.,4.,4.,31.,5.,20.,20.
Даатгалд хамрагдсан өрх,    Өмнөговь,0.,0.,183.,664.,378.,121.,180.,641.,832.,844.
Даатгалд хамрагдсан өрх,        Даланзадгад,,,12.,12.,29.,6.,32.,45.,74.,27.
Даатгалд хамрагдсан өрх,        Баяндалай,,,4.,18.,12.,,,58.,60.,73.
Даатгалд хамрагдсан өрх,        Баян-Овоо,,,9.,8.,11.,4.,5.,23.,36.,57.
Даатгалд хамрагдсан өрх,        Булган,,,62.,76.,76.,14.,14.,60.,68.,41.
Даатгалд хамрагдсан өрх,            Гурвантэс,,,10.,37.,14.,1.,,27.,23.,43.
Даатгалд хамрагдсан өрх,            Мандал-Овоо,,,14.,9.,13.,,,44.,63.,88.
Даатгалд хамрагдсан өрх,            Манлай,,,1.,26.,12.,12.,40.,56.,70.,90.
Даатгалд хамрагдсан өрх,            Ноён,,,2.,283.,0.,,6.,37.,23.,29.
Даатгалд хамрагдсан өрх,            Номгон,,,1.,44.,27.,3.,2.,63.,87.,92.
Даатгалд хамрагдсан өрх,            Сэврэй,,,12.,35.,35.,27.,37.,54.,68.,85.
Даатгалд хамрагдсан өрх,            Ханбогд,,,8.,24.,26.,,,33.,36.,28.
Даатгалд хамрагдсан өрх,            Ханхонгор,,,18.,18.,5.,2.,11.,14.,21.,62.
Даатгалд хамрагдсан өрх,            Хүрмэн,,,21.,21.,48.,27.,16.,78.,74.,20.
Даатгалд хамрагдсан өрх,        Цогт-Овоо,,,9.,4.,3.,1.,2.,7.,49.,65.
Даатгалд хамрагдсан өрх,            Цогтцэций,,,,49.,67.,24.,15.,42.,80.,44.
Даатгалд хамрагдсан өрх,    Дундговь,0.,135.,269.,353.,348.,478.,387.,"1,255.","2,378.","2,051."
Даатгалд хамрагдсан өрх,        Сайнцагаан,,12.,20.,13.,20.,104.,21.,101.,280.,114.
Даатгалд хамрагдсан өрх,        Адаацаг,,,14.,14.,48.,44.,33.,186.,293.,273.
Даатгалд хамрагдсан өрх,        Баянжаргалан,,18.,19.,17.,17.,31.,11.,46.,97.,79.
Даатгалд хамрагдсан өрх,        Говь-Угтаал,,10.,19.,35.,27.,16.,15.,50.,68.,84.
Даатгалд хамрагдсан өрх,            Гурвансайхан,,4.,15.,58.,20.,35.,52.,68.,103.,119.
Даатгалд хамрагдсан өрх,            Дэлгэрхангай,,5.,10.,7.,11.,6.,11.,52.,161.,163.
Даатгалд хамрагдсан өрх,            Дэлгэрцогт,,2.,24.,28.,16.,11.,14.,44.,77.,73.
Даатгалд хамрагдсан өрх,            Дэрэн,,3.,7.,21.,13.,17.,21.,122.,122.,102.
Даатгалд хамрагдсан өрх,            Луус,,14.,45.,32.,21.,17.,15.,59.,141.,124.
Даатгалд хамрагдсан өрх,            Өлзийт,,28.,33.,27.,53.,57.,57.,79.,241.,227.
Даатгалд хамрагдсан өрх,            Өндөршил,,17.,7.,28.,24.,17.,25.,38.,106.,115.
Даатгалд хамрагдсан өрх,            Сайхан-Овоо,,7.,17.,19.,10.,12.,11.,42.,170.,106.
Даатгалд хамрагдсан өрх,            Хулд,,1.,7.,20.,27.,33.,39.,94.,236.,161.
Даатгалд хамрагдсан өрх,        Цагаандэлгэр,,5.,14.,8.,11.,6.,15.,50.,88.,80.
Даатгалд хамрагдсан өрх,            Эрдэнэдалай,,9.,18.,26.,30.,72.,47.,224.,195.,231.
Даатгалд хамрагдсан өрх,Зүүн бүс,"1,571.","1,807.","1,657.","2,014.","1,478.","1,491.","1,708.","3,060.","4,229.","4,463."
Даатгалд хамрагдсан өрх,    Дорнод,0.,269.,443.,571.,438.,184.,343.,662.,"1,052.","1,207."
Даатгалд хамрагдсан өрх,        Хэрлэн,,42.,51.,32.,43.,2.,21.,31.,99.,83.
Даатгалд хамрагдсан өрх,        Баяндун,,,19.,4.,22.,,12.,40.,80.,118.
Даатгалд хамрагдсан өрх,        Баянтүмэн,,20.,13.,81.,15.,14.,15.,39.,78.,106.
Даатгалд хамрагдсан өрх,        Баян-Уул,,15.,14.,29.,0.,1.,1.,21.,72.,91.
Даатгалд хамрагдсан өрх,            Булган,,25.,43.,25.,16.,12.,35.,29.,59.,86.
Даатгалд хамрагдсан өрх,            Гурванзагал,,17.,53.,33.,25.,1.,15.,44.,55.,52.
Даатгалд хамрагдсан өрх,            Дашбалбар,,21.,70.,37.,38.,6.,4.,104.,118.,127.
Даатгалд хамрагдсан өрх,            Матад,,24.,3.,88.,46.,56.,54.,92.,116.,137.
Даатгалд хамрагдсан өрх,            Сэргэлэн,,19.,49.,59.,67.,52.,42.,31.,35.,53.
Даатгалд хамрагдсан өрх,            Халхгол,,14.,40.,35.,57.,6.,22.,40.,41.,37.
Даатгалд хамрагдсан өрх,            Хөлөнбуйр,,32.,30.,43.,37.,1.,37.,32.,28.,59.
Даатгалд хамрагдсан өрх,            Цагаан-Овоо,,19.,16.,49.,10.,20.,17.,40.,99.,104.
Даатгалд хамрагдсан өрх,            Чойбалсан,,20.,24.,40.,46.,13.,50.,72.,98.,90.
Даатгалд хамрагдсан өрх,        Чулуунхороот,,1.,18.,16.,16.,,18.,47.,74.,64.
Даатгалд хамрагдсан өрх,    Сүхбаатар,648.,853.,590.,635.,536.,362.,463.,"1,096.","1,313.","1,578."
Даатгалд хамрагдсан өрх,        Баруун-Урт,18.,9.,8.,9.,19.,11.,37.,65.,70.,182.
Даатгалд хамрагдсан өрх,        Асгат,36.,40.,19.,11.,15.,25.,28.,80.,98.,94.
Даатгалд хамрагдсан өрх,        Баяндэлгэр,49.,115.,86.,103.,84.,46.,89.,162.,175.,209.
Даатгалд хамрагдсан өрх,        Дарьганга,33.,27.,8.,29.,8.,,4.,52.,65.,52.
Даатгалд хамрагдсан өрх,            Мөнххаан,59.,66.,72.,92.,92.,71.,34.,141.,148.,196.
Даатгалд хамрагдсан өрх,            Наран,35.,60.,37.,33.,35.,14.,23.,58.,65.,54.
Даатгалд хамрагдсан өрх,            Онгон,28.,87.,42.,73.,38.,27.,33.,88.,139.,117.
Даатгалд хамрагдсан өрх,            Сүхбаатар,29.,17.,1.,26.,28.,18.,40.,127.,154.,119.
Даатгалд хамрагдсан өрх,            Түвшинширээ,73.,133.,147.,99.,104.,58.,60.,100.,107.,164.
Даатгалд хамрагдсан өрх,            Түмэнцогт,116.,99.,53.,32.,8.,29.,28.,25.,32.,42.
Даатгалд хамрагдсан өрх,            Уулбаян,49.,60.,31.,33.,27.,34.,27.,57.,116.,176.
Даатгалд хамрагдсан өрх,            Халзан,54.,80.,58.,60.,53.,10.,17.,54.,62.,67.
Даатгалд хамрагдсан өрх,            Эрдэнэцагаан,69.,60.,28.,35.,25.,19.,43.,87.,82.,106.
Даатгалд хамрагдсан өрх,    Хэнтий,923.,685.,624.,808.,504.,945.,902.,"1,302.","1,864.","1,678."
Даатгалд хамрагдсан өрх,        Хэрлэн,82.,80.,65.,42.,28.,57.,70.,139.,171.,117.
Даатгалд хамрагдсан өрх,        Батноров,150.,104.,96.,66.,35.,57.,40.,92.,174.,156.
Даатгалд хамрагдсан өрх,        Батширээт,43.,13.,14.,21.,8.,5.,3.,19.,56.,23.
Даатгалд хамрагдсан өрх,        Баян-Адарга,47.,33.,19.,38.,1.,48.,28.,70.,63.,77.
Даатгалд хамрагдсан өрх,            Баянмөнх,8.,16.,13.,44.,14.,69.,26.,49.,71.,75.
Даатгалд хамрагдсан өрх,            Баян-Овоо,137.,95.,95.,90.,51.,137.,105.,119.,110.,156.
Даатгалд хамрагдсан өрх,            Баянхутаг,50.,61.,32.,45.,34.,65.,25.,95.,108.,141.
Даатгалд хамрагдсан өрх,            Биндэр,8.,6.,2.,18.,8.,14.,19.,101.,105.,87.
Даатгалд хамрагдсан өрх,            Галшир,48.,20.,55.,93.,80.,121.,145.,82.,130.,141.
Даатгалд хамрагдсан өрх,            Дадал,8.,7.,2.,6.,6.,1.,1.,16.,27.,15.
Даатгалд хамрагдсан өрх,            Дархан,29.,21.,4.,20.,21.,12.,4.,34.,104.,93.
Даатгалд хамрагдсан өрх,            Дэлгэрхаан,100.,73.,84.,84.,63.,132.,117.,84.,105.,54.
Даатгалд хамрагдсан өрх,            Жаргалтхаан,80.,39.,37.,36.,14.,59.,41.,34.,47.,28.
Даатгалд хамрагдсан өрх,        Мөрөн,21.,9.,2.,9.,2.,16.,17.,30.,66.,38.
Даатгалд хамрагдсан өрх,            Норовлин,16.,26.,16.,25.,27.,40.,50.,32.,117.,87.
Даатгалд хамрагдсан өрх,            Өмнөдэлгэр,68.,69.,61.,130.,74.,64.,181.,242.,298.,280.
Даатгалд хамрагдсан өрх,            Цэнхэрмандал,28.,13.,27.,32.,35.,45.,27.,40.,69.,81.
Даатгалд хамрагдсан өрх,            Бор-Өндөр,,,,9.,3.,3.,3.,24.,43.,29.
Даатгалд хамрагдсан өрх,Улаанбаатар,0.,0.,0.,3.,1.,0.,62.,30.,59.,55.
Даатгалд хамрагдсан өрх,    Улаанбаатар,0.,0.,0.,3.,1.,,,,37.,43.
Даатгалд хамрагдсан өрх,        Багануур,,,,,,,,,18.,6.
Даатгалд хамрагдсан өрх,        Багахангай,,,,3.,,,,,2.,3.
Даатгалд хамрагдсан өрх,            Налайх,,,,,,,,,2.,3.
Даатгуулсан малын тоо,Улсын дүн,"1,037,302.","1,553,854.","2,461,702.","3,486,970.","3,257,695.","2,657,923.","4,185,234.","5,686,424.","7,835,256.","7,462,731."
Даатгуулсан малын тоо,Баруун бүс,"444,299.","654,765.","827,752.","1,103,001.","905,585.","752,035.","1,398,740.","1,533,646.","2,248,653.","2,341,856."
Даатгуулсан малын тоо,    Завхан,"94,850.","160,241.","242,918.","328,411.","313,050.","221,472.","287,716.","409,169.","528,519.","527,436."
Даатгуулсан малын тоо,        Улиастай,419.,"2,289.","3,004.","3,545.","3,822.","1,474.",237.,"4,703.","9,435.","9,457."
Даатгуулсан малын тоо,        Алдархаан,"2,436.",655.,"1,818.","27,242.","17,509.","20,308.","32,391.","37,352.","48,066.","46,512."
Даатгуулсан малын тоо,        Асгат,"1,786.","2,536.","4,555.","5,049.","1,505.","1,500.",0.,"2,829.","4,157.","7,403."
Даатгуулсан малын тоо,        Баянтэс,586.,"7,640.","3,073.","9,623.","6,304.","1,198.","7,543.","13,847.","21,429.","11,908."
Даатгуулсан малын тоо,            Баянхайрхан,"1,506.","4,017.","4,668.",882.,"8,639.",,"2,380.","10,085.","12,981.","20,822."
Даатгуулсан малын тоо,            Дөрвөлжин,"29,838.","31,224.","56,219.","35,297.","46,540.","33,231.","63,409.","41,119.","56,164.","32,547."
Даатгуулсан малын тоо,            Завханмандал,"12,829.","24,263.","28,714.","35,750.","25,235.","28,648.","17,744.","17,626.","32,230.","25,021."
Даатгуулсан малын тоо,            Идэр,"1,459.","3,765.",743.,"1,603.","3,182.","7,294.","14,854.","15,365.","5,728.","10,460."
Даатгуулсан малын тоо,            Их-Уул,"3,902.",518.,"4,059.","2,899.","2,377.","2,738.","1,460.","9,826.","8,677.","19,096."
Даатгуулсан малын тоо,            Нөмрөг,662.,871.,"6,951.","11,648.","3,310.","2,175.","3,259.","12,103.","15,762.","14,517."
Даатгуулсан малын тоо,            Отгон,"1,052.",705.,"2,746.","2,929.","23,192.","2,760.",839.,"1,441.","17,846.","23,299."
Даатгуулсан малын тоо,            Сантмаргац,"7,121.","15,752.","21,492.","30,071.","26,749.","15,858.","23,743.","28,575.","31,278.","34,650."
Даатгуулсан малын тоо,            Сонгино,"1,635.","5,776.","6,671.","4,690.","1,119.","1,211.","5,062.","20,963.","20,619.","18,764."
Даатгуулсан малын тоо,        Тосонцэнгэл,"1,746.","3,050.","1,326.",532.,860.,715.,"2,028.","5,231.","6,417.","12,591."
Даатгуулсан малын тоо,            Түдэвтэй,"2,261.","6,312.","9,702.","9,603.","6,723.","9,171.","10,942.","19,685.","21,016.","21,241."
Даатгуулсан малын тоо,            Тэлмэн,467.,340.,534.,648.,193.,"1,143.",784.,"2,091.","3,886.","3,834."
Даатгуулсан малын тоо,            Тэс,252.,"1,378.","1,874.","7,446.","11,437.","3,886.","11,157.","9,102.","10,858.","12,896."
Даатгуулсан малын тоо,            Ургамал,"13,817.","21,374.","23,365.","31,322.","29,797.","23,852.","32,981.","48,147.","44,837.","26,797."
Даатгуулсан малын тоо,            Цагаанхайрхан,978.,"1,620.","5,220.","16,966.","15,406.","3,911.","8,432.","7,529.","8,865.","16,419."
Даатгуулсан малын тоо,            Цагаанчулуут,796.,526.,661.,"2,380.","3,093.",186.,190.,"5,376.","9,569.","10,177."
Даатгуулсан малын тоо,            Цэцэн-Уул,"5,648.","8,484.","18,063.","31,923.","22,985.","24,219.","18,640.","31,879.","34,498.","33,074."
Даатгуулсан малын тоо,            Шилүүстэй,904.,"1,461.","1,476.","3,719.","13,947.","3,398.",288.,"4,561.","7,749.","7,297."
Даатгуулсан малын тоо,            Эрдэнэхайрхан,"2,545.","10,586.","28,567.","22,325.","30,541.","19,118.","14,554.","49,230.","61,162.","54,997."
Даатгуулсан малын тоо,        Яруу,205.,"5,099.","7,417.","30,319.","8,585.","13,478.","14,799.","10,504.","35,290.","53,657."
Даатгуулсан малын тоо,    Говь-Алтай,"112,052.","127,749.","167,317.","221,480.","145,909.","95,710.","111,846.","288,587.","485,488.","536,041."
Даатгуулсан малын тоо,        Есөнбулаг,"1,615.","1,688.","2,117.","3,303.","2,643.",858.,"15,507.","7,944.","20,014.","29,383."
Даатгуулсан малын тоо,        Алтай,"3,302.","3,214.","1,498.",293.,5.,117.,0.,"6,274.","15,072.","23,464."
Даатгуулсан малын тоо,        Баян-Уул,"4,310.","6,378.","7,881.","3,273.","4,682.","6,471.","2,700.","16,567.","12,352.","14,756."
Даатгуулсан малын тоо,        Бигэр,"3,631.","10,760.","10,975.","17,574.",876.,"2,490.","1,167.","9,986.","20,489.","14,068."
Даатгуулсан малын тоо,            Бугат,"10,368.","14,579.","18,342.","16,663.","10,436.","4,125.","15,058.","8,855.","50,889.","45,165."
Даатгуулсан малын тоо,            Дарви,"1,541.","3,063.","6,808.","4,012.","14,617.","9,792.","16,245.","28,462.","21,405.","20,509."
Даатгуулсан малын тоо,            Дэлгэр,"8,565.","2,088.","11,446.","13,285.","9,220.","18,617.","15,645.","27,198.","53,378.","60,656."
Даатгуулсан малын тоо,            Жаргалан,"7,997.","6,938.","5,798.","5,386.","3,721.","6,176.","3,790.","15,216.","21,100.","27,108."
Даатгуулсан малын тоо,            Тайшир,"1,105.","2,576.","1,282.","7,760.",627.,"1,212.","2,276.","17,129.","7,094.","16,227."
Даатгуулсан малын тоо,            Тонхил,"21,047.","23,604.","34,164.","13,340.","2,381.","1,380.",700.,"15,876.","21,176.","12,923."
Даатгуулсан малын тоо,            Төгрөг,"2,315.","7,208.","1,450.","5,429.","1,229.","2,451.",70.,"13,973.","19,416.","14,763."
Даатгуулсан малын тоо,            Халиун,"5,171.","5,987.","6,504.","2,439.","3,075.",20.,61.,"5,171.","20,494.","24,532."
Даатгуулсан малын тоо,            Хөхморьт,"4,685.","4,364.","1,207.","1,296.",385.,374.,750.,"8,738.","6,542.","20,503."
Даатгуулсан малын тоо,        Цогт,"6,816.","3,700.",202.,"8,737.","7,066.",300.,"3,715.","14,775.","19,917.","22,800."
Даатгуулсан малын тоо,            Цээл,"10,741.","2,733.","8,530.","10,616.","14,271.","3,766.","2,934.","22,231.","27,653.","43,538."
Даатгуулсан малын тоо,            Чандмань,"8,469.","17,490.","32,897.","44,971.","43,890.","26,864.","20,857.","19,043.","45,903.","47,084."
Даатгуулсан малын тоо,            Шарга,"6,068.","2,097.","1,909.","8,215.","6,398.","4,119.","2,321.","23,786.","27,307.","31,973."
Даатгуулсан малын тоо,            Эрдэнэ,"4,306.","9,282.","14,307.","54,888.","20,387.","6,578.","8,050.","27,363.","75,287.","66,589."
Даатгуулсан малын тоо,    Баян-Өлгий,0.,0.,"26,771.","73,064.","82,893.","59,075.","68,974.","132,527.","209,467.","215,662."
Даатгуулсан малын тоо,        Өлгий,,,,22.,498.,,370.,415.,"1,527.",658.
Даатгуулсан малын тоо,        Алтай,,,"2,419.","2,250.","3,391.","1,126.","1,536.","4,074.","7,539.","14,719."
Даатгуулсан малын тоо,        Алтанцөгц,,,"1,736.","2,060.",0.,273.,971.,"8,221.","7,116.","9,505."
Даатгуулсан малын тоо,        Баяннуур,,,642.,922.,"2,530.","1,098.","5,419.","2,081.","6,610.","11,082."
Даатгуулсан малын тоо,            Бугат,,,84.,"3,164.","4,255.",657.,"2,685.","6,320.","13,571.","20,388."
Даатгуулсан малын тоо,            Булган,,,"6,494.","5,035.","1,196.","1,972.","3,056.","4,506.","5,068.","7,321."
Даатгуулсан малын тоо,            Буянт,,,"1,770.","18,120.","35,054.","32,769.","23,175.","23,975.","52,406.","48,205."
Даатгуулсан малын тоо,            Дэлүүн,,,"6,020.","6,475.","5,697.","1,929.","2,272.","15,516.","13,418.","17,936."
Даатгуулсан малын тоо,            Ногооннуур,,,"1,214.","1,491.",0.,,"3,214.","2,567.","11,523.","9,322."
Даатгуулсан малын тоо,            Сагсай,,,"1,837.","2,303.","2,983.","3,368.","6,968.","16,406.","12,248.","18,130."
Даатгуулсан малын тоо,            Толбо,,,"1,265.","20,464.","8,041.","5,302.","2,037.","8,823.","13,469.","12,652."
Даатгуулсан малын тоо,            Улаанхус,,,683.,599.,523.,"2,512.","5,320.","8,105.","6,079.","14,377."
Даатгуулсан малын тоо,        Цэнгэл,,,"2,607.","10,159.","18,725.","8,069.","11,951.","31,518.","58,893.","31,367."
Даатгуулсан малын тоо,    Ховд,0.,"44,015.","59,817.","80,564.","70,125.","65,300.","299,622.","252,131.","442,823.","477,121."
Даатгуулсан малын тоо,        Жаргалант,,,573.,"1,487.",679.,,"6,471.","3,501.","11,744.","4,767."
Даатгуулсан малын тоо,        Алтай,,,"4,430.","4,161.","4,127.","8,068.","22,854.","15,280.","32,159.","24,221."
Даатгуулсан малын тоо,        Булган,,"2,845.","1,956.","4,707.",0.,,"7,582.","4,753.","10,858.","15,416."
Даатгуулсан малын тоо,        Буянт,,"6,507.","7,871.","1,863.",989.,371.,"7,976.","7,300.","25,774.","23,638."
Даатгуулсан малын тоо,            Дарви,,"2,280.","3,274.","2,505.","1,105.","1,582.","6,985.","12,779.","30,244.","41,738."
Даатгуулсан малын тоо,            Дөргөн,,"1,869.","3,373.","6,426.","8,935.","13,078.","30,613.","21,246.","35,051.","27,706."
Даатгуулсан малын тоо,            Дуут,,,390.,"1,418.","2,971.","1,000.","25,938.","20,812.","25,086.","22,141."
Даатгуулсан малын тоо,            Зэрэг,,"2,781.","6,861.","17,237.","3,852.",402.,"8,200.","6,227.","29,988.","26,114."
Даатгуулсан малын тоо,            Манхан,,"10,382.","8,728.","10,774.","11,609.","9,026.","49,544.","37,386.","45,876.","45,225."
Даатгуулсан малын тоо,            Мөнххайрхан,,399.,"1,497.",200.,"3,968.","2,457.","11,706.","9,169.","23,558.","23,121."
Даатгуулсан малын тоо,            Мөст,,"3,702.","1,622.","1,046.",125.,"1,080.","24,360.","10,946.","16,970.","21,071."
Даатгуулсан малын тоо,            Мянгад,,"3,264.","5,404.","4,274.","1,300.","1,544.","16,755.","7,645.","29,962.","35,917."
Даатгуулсан малын тоо,            Үенч,,"1,500.","2,224.","1,315.","1,150.",320.,"3,940.","3,436.","7,660.","17,462."
Даатгуулсан малын тоо,        Ховд,,"4,394.","1,566.","1,884.","7,190.","1,555.","5,494.","12,510.","25,288.","26,536."
Даатгуулсан малын тоо,            Цэцэг,,15.,"1,488.","2,445.",800.,947.,"9,558.","21,360.","25,629.","21,163."
Даатгуулсан малын тоо,            Чандмань,,"3,627.","7,460.","17,832.","16,936.","16,241.","44,320.","43,703.","44,018.","81,085."
Даатгуулсан малын тоо,            Эрдэнэбүрэн,,450.,"1,100.",990.,"4,389.","7,629.","17,326.","14,078.","22,958.","19,800."
Даатгуулсан малын тоо,    Увс,"237,397.","322,760.","330,929.","399,482.","293,608.","310,478.","630,582.","451,232.","582,356.","585,596."
Даатгуулсан малын тоо,        Улаангом,"2,857.","2,759.","5,677.",794.,710.,293.,"10,426.","21,852.","12,643.","7,497."
Даатгуулсан малын тоо,        Баруунтуруун,"5,187.","4,258.","15,635.","16,305.","25,907.","23,275.","28,730.","15,216.","14,497.","18,452."
Даатгуулсан малын тоо,        Бөхмөрөн,"29,171.","27,140.","18,971.","22,570.","6,920.","9,930.","34,405.","31,354.","23,507.","25,805."
Даатгуулсан малын тоо,        Давст,"14,824.","24,433.","24,055.","24,256.","7,810.","8,356.","25,446.","15,272.","23,118.","23,042."
Даатгуулсан малын тоо,            Завхан,"2,838.","3,908.","5,222.","16,789.","5,970.","8,274.","13,726.","24,800.","27,531.","31,824."
Даатгуулсан малын тоо,            Зүүнговь,"2,466.","5,555.","3,459.","4,661.","9,078.","6,624.","15,199.","9,281.","13,615.","14,336."
Даатгуулсан малын тоо,            Зүүнхангай,"1,793.","1,902.","1,831.","1,318.","11,087.","6,507.","5,311.","3,710.","8,898.","8,994."
Даатгуулсан малын тоо,            Малчин,"7,830.","2,676.","3,944.","4,917.",917.,785.,"8,786.","16,536.","13,479.","8,682."
Даатгуулсан малын тоо,            Наранбулаг,"18,423.","31,502.","34,769.","44,253.","53,272.","65,957.","125,035.","99,081.","97,687.","93,134."
Даатгуулсан малын тоо,            Өлгий,"7,680.","1,566.",991.,"3,420.","4,284.","7,306.","21,608.","18,107.","25,095.","47,573."
Даатгуулсан малын тоо,            Өмнөговь,"16,645.","14,364.","12,990.","30,602.","6,501.","13,262.","49,772.","30,706.","59,738.","63,009."
Даатгуулсан малын тоо,            Өндөрхангай,"61,676.","81,139.","92,058.","100,539.","82,650.","92,347.","120,409.","12,198.","32,759.","20,771."
Даатгуулсан малын тоо,            Сагил,"9,623.","28,839.","32,103.","38,441.","8,792.","7,065.","37,990.","32,938.","36,670.","30,836."
Даатгуулсан малын тоо,        Тариалан,"14,131.","25,636.","23,290.","12,574.","9,683.","2,955.","25,443.","19,849.","36,672.","34,407."
Даатгуулсан малын тоо,            Түргэн,"15,380.","41,254.","26,846.","16,199.","8,890.","25,467.","33,016.","30,492.","45,045.","48,295."
Даатгуулсан малын тоо,            Тэс,"4,410.","6,295.","6,325.","3,278.",837.,,"7,451.","19,687.","33,347.","28,239."
Даатгуулсан малын тоо,            Ховд,"9,499.","9,463.","3,513.","4,454.","2,124.","2,926.","12,446.","23,993.","27,034.","30,327."
Даатгуулсан малын тоо,            Хяргас,564.,664.,"1,130.","10,119.","16,225.","2,245.","5,359.","4,002.","16,803.","16,532."
Даатгуулсан малын тоо,            Цагаанхайрхан,"12,400.","9,407.","18,120.","43,993.","31,951.","26,904.","50,024.","22,158.","34,218.","33,841."
Даатгуулсан малын тоо,Хангайн бүс,"307,742.","440,396.","1,067,183.","1,362,883.","1,473,732.","1,030,513.","1,515,541.","2,439,363.","2,988,003.","2,373,589."
Даатгуулсан малын тоо,    Орхон,0.,0.,"5,348.","12,194.","4,321.","2,138.","1,376.","3,227.","3,183.","2,571."
Даатгуулсан малын тоо,        Баян-Өндөр,,,"4,402.","11,830.","4,121.","1,215.","1,332.","2,677.","1,574.","1,934."
Даатгуулсан малын тоо,        Жаргалант,,,946.,364.,200.,923.,44.,550.,"1,609.",637.
Даатгуулсан малын тоо,    Өвөрхангай,0.,"12,467.","86,041.","110,597.","121,283.","86,908.","175,001.","268,311.","473,884.","339,155."
Даатгуулсан малын тоо,        Арвайхээр,,429.,427.,815.,"2,908.","2,005.","10,473.","6,227.","19,198.","9,480."
Даатгуулсан малын тоо,        Баруунбаян-Улаан,,"1,130.","17,718.","23,163.","14,166.","15,426.","31,151.","22,656.","35,372.","19,294."
Даатгуулсан малын тоо,        Бат-Өлзий,,"1,387.","3,200.","2,216.","4,104.","1,024.","8,783.","6,835.","25,613.","14,247."
Даатгуулсан малын тоо,        Баянгол,,786.,"1,475.","1,769.",602.,840.,"6,414.","3,881.","3,804.",980.
Даатгуулсан малын тоо,            Баян-Өндөр,,68.,"1,958.","4,024.","19,227.","10,395.","4,249.","10,725.","14,417.","9,519."
Даатгуулсан малын тоо,            Богд,,608.,"3,689.","8,445.","3,483.",905.,"2,232.","39,279.","71,067.","90,123."
Даатгуулсан малын тоо,            Бүрд,,691.,,"9,850.","9,910.","8,958.","14,525.","52,174.","51,368.","41,869."
Даатгуулсан малын тоо,            Гучин-Ус,,465.,"18,966.","15,154.","19,794.","8,720.","23,145.","21,057.","26,051.","31,237."
Даатгуулсан малын тоо,            Есөн зүйл,,"1,721.","4,688.","1,214.",140.,"1,176.","4,242.","3,905.","7,329.","5,383."
Даатгуулсан малын тоо,            Зүүнбаян-Улаан,,"1,046.","3,684.",169.,38.,"1,137.","3,021.","5,377.","4,256.","7,794."
Даатгуулсан малын тоо,            Нарийнтээл,,275.,608.,"2,857.","4,544.","4,606.","9,209.","29,824.","32,870.","11,940."
Даатгуулсан малын тоо,            Өлзийт,,"1,519.","14,377.","22,851.","15,952.","21,249.","17,285.","20,977.","112,470.","21,454."
Даатгуулсан малын тоо,            Сант,,20.,"4,202.","3,738.",880.,409.,"5,658.","8,383.","19,762.","43,568."
Даатгуулсан малын тоо,        Тарагт,,"1,392.","4,027.","3,562.","2,763.","2,755.","4,959.","5,587.","7,771.","5,824."
