Index,Bag,ProvinceName,Sumd,StockType,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
94,          Сонгино,Завхан,Сонгино,Хонь,70.19,73.41,69.89,67.07,60.88,68.37,74.48,73.82,79.4,74.8,73.9,63.41,69.39,67.22,53.16,54.77,57.97,62.54,65.38,71.11,77.82,75.59,71.2,73.34,70.35,68.17,66.62,70.57,64.04,59.73,51.75,33.8,37.62,41.86,51.6,57.58,69.26,72.45,77.96,76.71,24.82,29.98,34.21,37.19,41.2,47.61,52.01,54.8,57.57
100,        Тосонцэнгэл,Завхан,Тосонцэнгэл,Хонь,0.73,0.85,0.28,0.23,0.26,0.41,0.41,0.37,0.24,0.29,0.33,0.42,0.48,1.42,1.95,4.06,4.56,3.65,5.32,8.13,15.6,15.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.47,20.25,19.38,22.68,28.84,36.45,46.13,60.41,65.07,67.88,46.05,52.43,56.96,60.21,72.34,76.49,86.4,83.73,87.38
106,          Түдэвтэй,Завхан,Түдэвтэй,Хонь,46.54,47.97,52.19,54.59,52.57,51.37,54.12,49.65,55.1,59.15,52.37,44.59,48.09,47.61,42.28,40.59,42.66,44.08,45.56,48.83,53.8,50.12,54.56,48.45,49.74,45.75,47.89,49.08,47.27,45.48,35.56,18.2,19.51,23.02,30.01,37.13,47.6,55.53,65.08,63.73,35.24,39.63,45.62,48.18,52.29,57.73,64.76,65.85,72.85
112,          Тэлмэн,Завхан,Тэлмэн,Хонь,53.6,57.72,59.16,58.74,58.46,61.74,60.29,59.88,66.98,70.01,75.73,70.64,74.41,66.85,66.62,67.32,69.05,74.91,76.13,83.76,86.03,72.24,65.3,53.72,59.22,63,68.5,74.71,80.94,77.7,64.87,28.82,29.32,32.85,39.98,49.42,60.2,67.8,76.76,72.56,53.36,58.09,67.67,74.39,83.63,90.1,98.31,96.89,97.84
118,          Тэс,Завхан,Тэс,Хонь,39.33,42.09,44.31,NaN,1,6.55,7.14,7.96,8.08,8.42,8.11,7.15,7.68,8.57,9.12,10.1,10.9,11.34,12.3,13.96,18.86,47.64,48.13,53.89,51.86,46.64,37.69,35.92,37.14,28.49,28.12,28.5,29.79,25.33,32.69,35.62,42.03,43.15,38.14,41.22,31.35,33.83,41.42,44.05,52.72,54.2,47.12,50.12,53.29
124,          Ургамал,Завхан,Ургамал,Хонь,48.4,51.52,54.77,51.87,49.29,50.73,51.5,46.77,48.3,42.62,47.08,45.97,49.22,50.63,43.04,46.93,46.51,50.12,51.46,52.52,51.69,48.84,49,52.02,51.34,51.63,48.3,50.67,52.46,45.25,36.83,43.77,26.92,32.46,38.26,41.49,47.47,54.89,50.7,37.93,31.13,35.6,41,47.02,51.62,55.43,61.94,59.5,44.3
130,          Цагаанхайрхан,Завхан,Цагаанхайрхан,Хонь,39.24,40.18,40.11,41.69,40.42,42.6,43.44,42.31,46.61,48.6,50.27,45.89,49.33,47.31,39.78,36.27,36.53,37.52,38.52,42.44,44.62,44.95,41.64,38.09,38.93,39.42,36.94,37.26,36.68,37.2,37.05,26.9,23.43,23.52,25.3,28.43,33.88,38.16,37.82,37.01,15.85,18.36,22.08,25.82,29.65,33.83,39.54,48.11,51.27
136,          Цагаанчулуут,Завхан,Цагаанчулуут,Хонь,54.71,57.7,57.76,59.15,58.12,60.48,60.31,53.05,56.64,58.14,58.62,56.3,61.17,56.01,49.99,48.66,44.64,46.4,48.35,52.55,55.92,56.89,56.84,49.44,51.01,51.02,50.5,50.68,50.11,49.38,44.81,37.07,30.38,30.41,34.14,40.14,47.26,52.16,49.49,47.66,16.57,19.84,23.02,25.89,30.65,34.72,42.15,48.99,51.4
142,          Цэцэн-Уул,Завхан,Цэцэн-Уул,Хонь,44.17,46.91,49.17,51.59,50.74,52.37,54.58,55.39,58.82,54.85,59.16,58.22,62.29,60.81,54.86,58.58,59.41,60.15,63.33,71.17,79.22,80.56,73.17,72.59,75.76,76.4,74.46,69.4,70.45,66.01,43.97,31.72,34.09,37.44,43.63,50.43,60.02,69.27,68.9,65.49,41.59,48.5,60.65,65.55,72.85,75.26,82.53,85.85,87.03
148,          Шилүүстэй,Завхан,Шилүүстэй,Хонь,34.34,35.48,43.64,45.03,43.88,44.97,46.33,46.73,46.29,47.04,54.29,54.77,57.65,59.86,39.71,35.69,39.26,40.74,36.9,42.22,47.58,50.26,53.56,35.76,42.92,46.17,48.26,49.93,49.95,48.82,43.9,38.61,28.86,31.47,32.27,39.07,46.44,53.71,55.46,49.44,19.2,22.11,28.67,32.95,38.16,42.36,48.66,55.31,57.15
154,          Эрдэнэхайрхан,Завхан,Эрдэнэхайрхан,Хонь,73.86,78.52,80.51,85.52,89.12,91.49,100,73.65,76.6,76.84,79.47,71.6,75.6,65.32,63.46,64.44,63.56,64.48,67.66,71.27,74.98,72.3,70.08,65.38,75.88,81.31,80.37,76.72,79.78,75.17,54.57,38.48,38.97,43.74,48.86,57.65,71.13,86.99,94.78,98.09,52.5,63.89,77.38,87.23,101.01,106.51,121.76,136.12,133.34
160,        Яруу,Завхан,Яруу,Хонь,79.77,85.18,89.25,90.1,95.3,97.03,91.06,69.63,72.99,83.33,86.6,84.22,90.8,87.38,83.83,83.34,84.19,82.2,82.5,89.19,93.63,95.49,89.71,77.88,86.65,86.8,89.93,91.58,93.01,80.71,55.17,25.16,25.84,33.26,35.9,40.95,52.11,67.92,88.29,86.24,42.25,53.57,71.24,80.23,88.52,96.04,108.46,129.53,130.27
166,      Говь-Алтай,Говь-Алтай,Говь-Алтай,Хонь,723.71,763.76,746.25,787.29,780.85,813.83,831.96,861.78,881.87,888.9,894.83,899.15,889.07,862.87,759,844.54,855.1,889.79,899.01,923.65,978.29,957.53,994.32,946.62,975.13,959.6,909.6,893.07,857.14,867.08,847.65,692.68,357.63,401.91,482.54,587.74,702.89,775.08,769.14,694.12,396.25,461.66,578.08,679.05,798.25,909.31,1107.11,1194.6,1057.67
172,        Есөнбулаг,Говь-Алтай,Есөнбулаг,Хонь,NaN,6.23,1.23,1.51,5.01,1.6,2.98,5.07,1.53,1.39,1.41,1.5,4.35,4.29,4.3,5.09,6.1,7.1,7.68,11.4,18.77,20.23,23.74,30.48,38.21,36.43,56.51,56.17,56.36,59.1,37.16,39.74,13.53,16.36,18.54,23.17,31.14,35.4,38.84,30.79,18.43,23.43,28.79,38.34,47.19,53.71,71.83,74.22,70.71
