Index,Bag,Aimag,Soumd,ProvinceName,StockType,StockTypeE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
143,          Цэцэн-Уул,Завхан,Цэцэн-Уул,Tsetsen-Uul,Ямаа,goats,19.29,20.76,21.81,22.69,22.09,21.88,21.91,20.42,20.08,17.64,15.69,14.14,15.59,15.48,13.62,13.71,14.62,14.47,15.63,17.86,18.16,15.91,15.75,17.98,23.2,26.55,29.15,29.34,31.77,31.38,21.99,20.51,22.7,29.7,34.58,37.49,44.16,48.41,50.25,43.88,33.03,39.86,42.52,45.53,48.54,49.99,51.35,50.42,45.38
149,          Шилүүстэй,Завхан,Шилүүстэй,Shiluustei,Ямаа,goats,8.63,9.07,11.09,11.72,11.09,11.69,11.74,11.35,11.57,11.38,11.34,10.32,11.44,12.45,9.23,9.37,10.26,10.73,9.34,10.91,12.09,12.99,13.58,11.71,16.21,21,24.38,25.98,27.95,26.47,22.58,23.44,19.6,24.35,27.15,31.68,38.05,44.37,47.2,41.37,18.9,26.25,33.21,38.09,43.72,48.74,52.77,61.12,64.33
155,          Эрдэнэхайрхан,Завхан,Эрдэнэхайрхан,Erdenehairhan,Ямаа,goats,13.61,14.07,14.16,15.04,15.98,16.99,18.44,15.2,16.73,17.05,16.07,15.47,17.68,16.13,15.79,16.56,17,17.94,19.59,20.83,21.37,20.28,19.24,20.37,28.33,32.59,33.13,33.2,33.43,30.16,19.54,17.7,20.07,26.76,30.08,30.11,40.24,47.76,51.39,48.27,29.8,42.34,46.98,51.27,56.66,59.97,65.05,67.32,59.15
161,        Яруу,Завхан,Яруу,Yaruu,Ямаа,goats,7.27,7.71,7.75,8.21,8.3,8.28,8.65,6.7,7.15,8.19,8.13,7.95,7.81,8.4,8.39,8.11,8.78,9.29,8.36,9.26,9.19,9.62,10.17,11.2,15.44,19.11,21.11,22.79,24.06,21.5,13.74,10.27,12.82,19.42,22.51,26.82,32.62,44.28,50.35,42.71,22.07,30.37,34.19,37.49,41.54,44.81,48.9,54.48,54.97
167,      Говь-Алтай,Говь-Алтай,Говь-Алтай,Govi-Altai,Ямаа,goats,417.88,436.16,423.31,435.25,429.61,443.48,446.8,454.3,462.57,450.22,442.94,433,433.14,426.46,374.79,420.06,427.44,449.52,454.1,495.63,501.9,527.69,580.09,633.17,785.63,904.59,935.49,992.54,1029.04,1029.05,1003.75,878.78,579,775.08,960.55,1136.54,1370.07,1570.22,1594.01,1348.52,837.8,1057.81,1220.26,1409.05,1621.02,1831.33,2173.94,2356.01,2196.8
173,        Есөнбулаг,Говь-Алтай,Есөнбулаг,Esonbulag,Ямаа,goats,NaN,0.74,0.4,0.48,0.48,0.35,0.5,0.79,0.67,0.69,0.74,1.09,1.69,1.87,2.13,2.71,3.4,4.36,4.6,5.72,8.66,12.04,15.75,18.77,24.61,29.19,45.48,49.32,66.79,86.12,59.35,44.67,26.14,40.35,46.53,56.39,77.2,85.23,93.65,66.15,38.92,52.45,56.27,70.75,90.92,99.62,123.9,132.69,130.1
179,        Алтай,Говь-Алтай,Алтай,Altai,Ямаа,goats,22.49,22.91,22.59,23.2,22.82,23.84,25.33,27.48,27.64,27.34,26.17,25.28,24.93,24.95,22.9,22.46,18.99,19.44,21.23,23.3,25.15,25.2,28.03,31.7,36.94,41.1,43.35,48.62,52.23,51.5,54.45,48.83,40.21,50,54.09,58.03,65.25,73.04,72.42,52.32,29.2,35.84,40.73,49.48,57.57,65.34,80.81,102.44,111.48
185,        Баян-Уул,Говь-Алтай,Баян-Уул,Bayan-Uul,Ямаа,goats,34.38,34.92,34.03,33.42,31.96,34.53,29.5,29.32,30.11,31.05,31.93,30.88,32.1,32.03,33.09,33.05,31.86,35.22,36.67,38.93,40.37,37.85,40.57,43.89,53.36,60.16,62.92,64.67,64.17,71.98,65.3,60.04,35.55,52.66,68.13,76.29,90.93,101.04,105.31,87.42,44.64,65.29,78.09,92.31,105.18,114.69,139.09,127.9,104.94
191,        Бигэр,Говь-Алтай,Бигэр,Biger,Ямаа,goats,23.87,24.72,25.26,25.75,23.98,25.61,26.58,28.11,28.22,24.42,26.02,28.1,28.5,27.59,23.89,25.61,26.4,28.34,26.5,30.66,29.36,30.78,34.2,40.56,49.42,53.84,51.33,52.84,57.49,43.37,43.53,43.99,30.03,37.49,44.69,51.83,59.01,63.58,62.19,59.01,48.6,60.78,71.09,78.83,89.22,100.74,116.44,129.96,118.68
197,          Бугат,Говь-Алтай,Бугат,Bugat,Ямаа,goats,24.99,26.3,25.04,24.76,25.15,24.76,19.61,16.53,17.16,15.36,13.66,12.42,13.81,14.13,12.23,14.33,15.27,16.74,17.43,20,21.98,25.09,30.07,33.82,40.95,48.98,51.64,49.41,51.29,51.45,55.95,45.21,47.74,54.28,64.31,67.64,73.97,80.69,83.14,66.64,35.89,44.08,49,51.98,63.98,77.17,96.23,112.73,121.79
203,          Дарив,Говь-Алтай,Дарив,Dariv,Ямаа,goats,24.49,26.43,24.71,26.51,25.61,26.2,23.45,20.31,21.59,22.4,20.83,21.16,21.78,20.6,16.37,22.49,23.95,26.17,28.94,31.96,30.96,31.52,35.77,40.36,48.66,54.91,53.91,54.1,50.39,55.83,52.18,45.73,35.68,50.2,66.66,77.82,91.58,91.04,92.56,86.34,50.48,58.62,68.38,76.8,82.83,90.86,105.53,90,64.57
209,          Дэлгэр,Говь-Алтай,Дэлгэр,Delger,Ямаа,goats,20.45,21.98,23.18,25.73,26.24,27.39,28.15,29.79,30.85,31.31,33.02,39.05,37.01,37.87,25.51,30.31,32.02,33.35,27.64,33.05,32.81,32.54,39.6,39.8,50.39,60.76,63.81,71.03,68.66,63.07,67.79,50.1,25.22,36,45.9,62.87,80.01,93.97,106.41,95.72,57.35,75.74,90.51,110.43,128.73,142.64,155.95,170.09,168.25
215,          Жаргалан,Говь-Алтай,Жаргалан,Jargalan,Ямаа,goats,14.76,15.52,16.43,15.81,16.97,17.17,22.13,21.81,23.02,23.59,21.74,19.9,20.34,17.73,19.94,21.22,20.81,21.37,22.45,24.74,26.29,26.65,29.11,30.54,35.55,41.97,44.77,47.44,49.26,51.55,45.39,48.4,38.85,43.79,53.34,58.56,74.76,86.76,87.88,67.38,28.1,39.86,48.03,59.29,74.39,84.22,98.13,113.31,108.36
221,          Тайшир,Говь-Алтай,Тайшир,Taishir,Ямаа,goats,20.15,21.47,21.92,22.73,23.68,24.51,24.87,26.24,26.64,23.17,21.36,15.78,14.82,15.02,12.79,14.87,15.9,16.83,17.57,19.91,18.77,19.44,20.83,22.51,28.65,35.55,21.4,24.24,25.92,27.27,26.32,27.15,15.07,21.48,25.32,31.99,40.13,49.76,49.42,33.84,19.22,27.26,34.61,43.35,50.23,56.45,66.92,74.49,74.07
227,          Тонхил,Говь-Алтай,Тонхил,Tonhil,Ямаа,goats,27.33,28.57,26.84,26.83,27.91,28.46,29.6,31.38,31.2,30.8,26.89,26.19,21.93,21.39,18.62,21.47,21.78,23.5,25.05,24.17,23,25.34,28.91,33.18,40.19,48.79,52.71,52.47,56.02,48.85,51.82,45.16,46.36,53.83,65.93,78.44,91.01,100.13,92.4,91.48,51.44,58.19,64.17,68.5,80.8,95.43,112.67,126.87,106.4
233,          Төгрөг,Говь-Алтай,Төгрөг,Togrog,Ямаа,goats,20.05,20.94,18.85,19.34,20.65,20.79,21.66,22.65,22.77,22.14,20.54,19.54,21.48,21.23,13.89,19.73,21.85,24.1,25.36,26.2,27.65,30.11,33.52,36.44,43.93,49.39,51.54,55.62,50.16,45.38,44.77,41.23,25.53,32.95,41.35,51.41,62.29,75.38,73.94,72.08,43.83,52.48,56.91,59.86,66.08,75.27,87.38,96.44,73.89
239,          Халиун,Говь-Алтай,Халиун,Haliun ,Ямаа,goats,23.12,24.77,22.94,24.8,25.03,24.9,25.35,26.43,26.76,25.15,22.87,22.32,20.76,22.23,18.2,20.91,21.56,22.37,23.22,26.64,26.11,28.56,32.56,37.55,47.81,53.27,53.38,54.17,59.4,62.58,62.15,59.24,34.16,49.59,60.68,74.88,88.77,105.19,111.91,96.81,68.78,86.06,90.33,99.9,115.72,128.78,149.42,154.3,144.98
245,          Хөхморьт,Говь-Алтай,Хөхморьт,Hohmorit,Ямаа,goats,17.46,18.41,16.65,16.53,17.86,19.81,19.26,16.92,17.77,16.38,16.64,13.41,14.99,11.94,12.37,14.3,14.47,15.5,17.52,18.3,17.01,18.64,18.18,22.53,26.66,31.66,34.12,33.9,42.45,32.37,31.72,24.65,10.56,19.06,28.43,33.07,43.97,58.21,61.46,51.25,24.06,31.55,40.22,48.72,58.8,67.5,84.84,86.93,83.78
251,        Цогт,Говь-Алтай,Цогт,Tsogt,Ямаа,goats,46.14,48.03,47.23,46.87,46.38,46.44,47.28,49.75,50.78,49.56,52.06,49.3,50.58,52.18,45.3,48.91,47,50,47.5,51.45,52.67,57.72,62.56,63.3,79.11,89.37,91.06,100.26,99.95,101.08,95.11,86.27,43.11,60.09,73.27,88.64,106,123.18,120.05,108.65,84.89,101.83,121.66,133.16,143.14,155.95,193.24,213.47,200.36
257,          Цээл,Говь-Алтай,Цээл,Tseel,Ямаа,goats,32.42,33.77,30.57,31.31,30.59,33.82,36.54,37.84,38.05,36.2,36.33,36.55,36.6,35.18,30.39,35.52,36.45,34.96,36.53,36.9,37.72,38.99,43.84,49.1,60.71,66.62,67.67,71.55,69.82,73.86,79.06,61.55,43.96,58.36,74.68,92.1,107.78,120.14,97.86,76.5,52.8,67.89,79.59,92.22,103.21,117.93,134.88,150.11,152.48
263,          Чандмань,Говь-Алтай,Чандмань,Chandmani,Ямаа,goats,16.48,16.75,17.67,18.8,17.05,17.24,18.41,18.74,17.48,17.71,18.15,17.68,17.77,18.45,16.19,16.71,18.48,19.26,17.84,19.83,18.29,21,21.5,20.09,31.86,36.86,39.06,44.16,44.27,40.04,43.51,35.98,15.9,23.58,32.24,40.11,51.2,65.25,71.13,57.69,40.23,54.7,64.52,76.05,85.77,101.33,121.73,137.91,134.83
269,          Шарга,Говь-Алтай,Шарга,Sharga,Ямаа,goats,21.05,21.79,21.11,23.59,23.17,23.34,23.42,23.06,24.66,25.02,24.16,24.48,24.97,21.08,20.22,23.69,24.95,26.51,29.38,31.86,30.41,30.11,32.47,36.28,43.19,48.47,51.17,54.69,53.37,60.75,64.74,60.17,33.52,46.61,56.59,65.67,80.03,91.67,95.17,70.63,43.47,59.49,66.37,75.52,87.07,96.15,112.07,119.37,106.74
275,          Эрдэнэ,Говь-Алтай,Эрдэнэ,Erdene,Ямаа,goats,27.76,27.85,27.19,27.98,23.2,23.27,24.11,26.1,26.78,27.41,29.39,29.42,28.31,30.08,30.02,30.6,30.69,29.54,26.98,29.89,31.68,31.44,32.63,32.76,43.66,53.71,56.18,64.03,67.4,62.02,60.62,50.43,31.41,44.76,58.41,70.8,86.2,105.96,117.12,108.61,75.9,85.7,99.8,121.9,137.39,161.26,194.71,217.01,191.1
281,      Баян-Өлгий,Баян-Өлгий,Баян-Өлгий,Bayan-Ulgii,Ямаа,goats,279.51,290.8,289.96,317.55,308.25,298.49,308.77,286.32,285.1,297.84,296.27,291.87,302.51,296.57,296.45,304.69,308.35,305.04,292.65,308.3,309.86,277.05,268.5,294.62,366.43,451.42,483.27,543.64,492.21,516.32,521.25,546.86,542.83,614.25,640.79,620.59,712.35,791.56,778.7,651.6,553.76,662.54,693.14,773.39,882.07,943.66,983.31,971.22,930.4
287,        Өлгий,Баян-Өлгий,Өлгий,Ulgii,Ямаа,goats,3.08,4.51,2.67,3.14,3.35,3.53,4.2,4.3,2.13,2.58,2.59,2.38,2.68,2.96,3.52,3.33,3.48,4.77,4.86,9.1,11.32,7.44,5.51,1.64,4.74,5.6,4.99,5.3,5.25,4.94,4.61,5.85,5.91,6.74,7.46,7.32,7.21,9.8,11.81,9.56,9.18,9.44,10.49,12.15,13.21,12.23,13.44,13.14,11.96
293,        Алтай,Баян-Өлгий,Алтай,Altai,Ямаа,goats,11.15,11.95,11.89,12.9,11.74,11.83,11.72,10.38,11.11,11.69,12.42,13.02,13.22,12.64,13.27,14.41,14.46,13.62,11.64,11.25,11.14,11.62,11.31,11.6,15.56,19.34,22.48,25.56,22.09,23.71,25.62,25.31,27.88,27.76,29.35,27.78,33.49,39.89,40.57,40.63,40.75,43.79,47.32,46.83,51.48,53.79,50.09,50.92,47.87
299,        Алтанцөгц,Баян-Өлгий,Алтанцөгц,Altantsogts,Ямаа,goats,16.45,17.04,16.04,18.22,19.45,18.8,18.17,16.23,16.4,16.51,17.39,16.99,18.1,17.08,17.43,16.55,16.07,16.32,17.77,16.42,16.61,14.37,15.35,15.6,20.98,27.51,28.19,34.54,31.8,31.01,28.45,33.99,33.31,38.97,41.14,36.81,45.86,49.91,48.42,27.07,23.85,31.36,35.3,42.54,50.14,53.91,58.71,62.42,60.55
305,        Баяннуур,Баян-Өлгий,Баяннуур,Bayannuur,Ямаа,goats,32.2,34.1,34.1,39.36,42.02,38.94,40.78,36.8,34.89,38.9,40.9,42.28,42.92,41.13,42.76,41.64,41.23,43.31,50.09,52.02,50.87,39.81,37.34,38.23,44.51,53.71,56.37,63.91,57.37,55.18,55.65,61.09,60.74,71.49,73.17,70.27,76.77,86.2,86.5,63.86,52.08,63.77,68.84,73.71,89.05,94.54,92.86,99.53,95.9
311,          Бугат,Баян-Өлгий,Бугат,Bugat,Ямаа,goats,13.53,13.75,14.25,15.1,15.58,13.54,12.04,11.33,10.9,10.46,11.52,11.52,12.65,12.14,12.84,12.6,12.37,11.68,13.12,12.6,11.01,9.5,9.83,15.26,19.05,23,23.07,27.99,23.26,25.72,23.68,27.28,26.54,33.23,34.3,32.13,40.27,45.74,44.84,28.32,23.49,30.79,31.36,39.19,42.8,45.85,51.78,53.96,49.07
317,          Булган,Баян-Өлгий,Булган,Bulgan,Ямаа,goats,32.92,35.33,39.01,41.32,39.4,41.12,45.09,42.07,42.98,42.53,33.41,33.1,33.83,34.9,31.6,36.89,38.04,36.07,27.79,32.12,36.21,37.91,37.49,36.69,39.09,47.17,47.93,43.59,46.77,50.97,55.21,52.85,62.59,63.09,65.07,67.2,71.91,79.4,81.45,81.19,35.94,47.65,50.29,55.82,63.05,73.51,81.62,77.63,86.69
323,          Буянт,Баян-Өлгий,Буянт,Buyant ,Ямаа,goats,12.27,12.09,12.49,13.78,13.97,11.46,11.91,10.38,10.7,11.42,12.12,12.42,12.4,12.04,12.29,12.6,12.11,11.88,12.57,12.06,10.76,9.47,10.01,11.78,14.94,18.61,19.38,22.61,17.97,20.01,21.97,22.19,19.66,23.53,24.51,24.85,29.04,34.29,30.94,24.3,25.19,27.67,29.4,34.66,37.75,40.76,43.25,43.46,37.12
329,          Дэлүүн,Баян-Өлгий,Дэлүүн,Deluun,Ямаа,goats,42.81,44.88,46.66,48.76,43.03,43.08,45.57,45.41,47.91,47.24,43.47,40.44,40.19,39.17,34.24,39.9,42.21,42.16,36.75,40.93,40.84,39.2,37.29,45.75,57.61,69.74,75.46,82.4,71.23,77.16,83.77,83.35,73,82.38,86.38,80.92,91.92,96.17,77.77,77.36,77.12,89.54,93.23,105.11,115.59,126.4,132.57,115.77,101.25
335,          Ногооннуур,Баян-Өлгий,Ногооннуур,Nogoonnuur,Ямаа,goats,21.94,22.35,21.35,22.21,23.3,22.04,22.33,22.04,19.69,20.6,21.95,21.45,23.03,22.41,23.31,22.96,22.98,24.04,23.58,24.67,26.59,24.31,24.54,29.59,33.99,41.27,43.16,48.99,47.29,50.27,46.43,53.92,55.5,64.8,68.2,67.32,75.87,80.16,85.77,70.73,60.16,70.65,74.77,86.14,99.91,105.38,113.31,119.26,119.53
341,          Сагсай,Баян-Өлгий,Сагсай,Sarsai,Ямаа,goats,12.04,11.19,11.19,13.02,11.58,11.97,12.21,12.07,12.63,14,15,15.78,16.92,15.84,17.34,16.72,16.92,16.45,17.77,15.96,14.5,12.91,14.18,16.08,20.3,25.93,28.17,33.62,26.7,29.74,30.75,36.13,30.73,37.39,41.3,40.17,47.91,53.18,48.59,38,32.97,39.88,43.09,47.27,53.34,59.37,62.09,61.95,55.22
347,          Толбо,Баян-Өлгий,Толбо,Tolbo,Ямаа,goats,22.5,22.4,22.16,23.35,23.52,19.2,20.05,17.37,17.67,18.94,20.01,20.5,20.71,19.58,19.53,19.55,18.77,18.3,18.35,18.05,16.74,15.12,13.71,15.75,20.63,26.39,28.65,32.04,25.37,26.96,26.81,28.46,29.15,33.03,33.47,33.66,37.21,40.04,34.03,32.93,36.62,45.73,48.58,52.33,58.97,60.84,60.78,59.09,52.79
353,          Улаанхус,Баян-Өлгий,Улаанхус,Ulaanhus,Ямаа,goats,19.76,20.62,20.33,23.66,22.99,22.28,23.16,21.65,21.55,23.16,24.29,24.23,24.84,23.29,25.04,24.4,24.38,23.95,22.13,23,23.04,19.73,17.64,18.77,24.82,31.56,36.19,43.44,39.97,43.18,40.9,42.22,43.71,51.35,55.12,54.77,64.48,73.2,78.71,61.14,52.42,59.35,62.28,65.43,74.67,78.32,80.5,79.21,77.07
