"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
"                        6-р баг, Идэр","1,282.","1,318.","1,382.","1,401.","1,439.","1,431."
"                        7-р баг, Оргих","1,155.","1,174.","1,174.","1,206.","1,214.","1,210."
                    Түдэвтэй,"1,834.","1,856.","1,845.","1,862.","1,908.","1,886."
"                            1-р баг, Баянцагаан",336.,323.,338.,337.,341.,345.
"                            2-р баг, Аргалант",331.,325.,331.,325.,328.,330.
"                            3-р баг, Цорго",554.,569.,545.,566.,585.,549.
"                            4-р баг, Ойгон",305.,322.,324.,325.,345.,351.
"                            5-р баг, Шарнуруу",308.,317.,307.,309.,309.,311.
                    Тэлмэн,"2,710.","2,675.","2,732.","2,766.","2,816.","2,822."
"                            1-р баг, Өгөөмөр",446.,435.,438.,444.,452.,453.
"                            2-р баг, Шургах",494.,488.,504.,517.,533.,529.
"                            3-р баг, Нуур",383.,378.,388.,369.,391.,386.
"                            4-р баг, Баянтэгш",485.,489.,498.,509.,518.,510.
"                            5-р баг, Өвөгдий",450.,432.,430.,437.,425.,425.
"                            6-р баг, Баян-Айраг",452.,453.,474.,490.,497.,519.
                    Тэс,"2,919.","2,803.","2,875.","2,937.","2,905.","2,866."
"                            1-р баг, Дооно",601.,603.,627.,684.,707.,734.
"                            2-р баг, Нисэг",645.,639.,665.,685.,692.,672.
"                            3-р баг, Баян-Уул",481.,461.,475.,515.,504.,485.
"                            4-р баг, Зүр","1,192.","1,100.","1,108.","1,053.","1,002.",975.
                    Ургамал,"1,213.","1,210.","1,264.","1,293.","1,318.","1,302."
"                            1-р баг, Тосгуур",298.,294.,300.,309.,323.,314.
"                            2-р баг, Хульж",199.,207.,223.,235.,239.,239.
"                            3-р баг, Нуур зөөхий",168.,171.,184.,187.,194.,199.
"                            4-р баг, Хүнгий",309.,290.,303.,315.,312.,301.
"                            5-р баг, Баян-Улаан",239.,248.,254.,247.,250.,249.
                    Цагаанхайрхан,"1,254.","1,232.","1,274.","1,288.","1,305.","1,298."
"                            1-р баг, Цэцэрлэг",357.,350.,355.,349.,353.,353.
"                            2-р баг, Онц",301.,307.,328.,330.,353.,352.
"                            3-р баг, Баянбулаг",302.,297.,295.,302.,298.,300.
"                            4-р баг, Агьт",294.,278.,296.,307.,301.,293.
                    Цагаанчулуут,"1,234.","1,247.","1,204.","1,219.","1,289.","1,280."
"                            1-р баг, Арц",352.,351.,312.,331.,331.,328.
"                            2-р баг, Жавцаг",242.,240.,239.,252.,272.,264.
"                            3-р баг, Дэлгэр",385.,384.,377.,380.,407.,409.
"                            4-р баг, Баянхайрхан",255.,272.,276.,256.,279.,279.
                    Цэцэн-Уул,"1,703.","1,680.","1,694.","1,692.","1,667.","1,617."
"                            1-р баг, Оройн товгор",337.,338.,333.,334.,325.,314.
"                            2-р баг, Жаргалант",347.,338.,352.,348.,354.,344.
"                            3-р баг, Сангийн далай",385.,382.,389.,390.,376.,372.
"                            4-р баг, Шотой",260.,253.,264.,269.,264.,268.
"                            5-р баг, Батсуурь",374.,369.,356.,351.,348.,319.
                    Шилүүстэй,"1,757.","1,736.","1,818.","1,790.","1,781.","1,781."
"                            1-р баг, Чандмань",648.,649.,668.,652.,649.,316.
"                            2-р баг, Баян-Улаан",277.,275.,294.,312.,305.,652.
"                            3-р баг, Хөгжил",312.,306.,327.,319.,320.,318.
"                            4-р баг, Сайхан",520.,506.,529.,507.,507.,495.
                    Эрдэнэхайрхан,"1,524.","1,521.","1,635.","1,683.","1,700.","1,692."
"                            1-р баг, Багануур",243.,263.,254.,273.,276.,271.
"                            2-р баг, Баянзүрх",342.,321.,335.,347.,345.,367.
"                            3-р баг, Алтан",329.,333.,365.,396.,407.,408.
"                            4-р баг, Мөсөн",299.,302.,326.,336.,359.,347.
"                            5-р баг, Хайрхан",311.,302.,355.,331.,313.,299.
                Яруу,"1,918.","1,907.","2,021.","2,012.","2,011.","1,994."
"                        1-р баг, Зүйл",304.,310.,343.,338.,346.,351.
"                        2-р баг, Жаргалант",385.,388.,422.,444.,436.,430.
"                        3-р баг, Өргөн",423.,419.,442.,412.,411.,400.
"                        4-р баг, Хэц-Улаан",421.,419.,418.,416.,422.,426.
"                        5-р баг, Чандмань",385.,371.,396.,402.,396.,387.
            Говь-Алтай,"56,698.","56,018.","56,694.","57,440.","58,280.","57,479."
                Есөнбулаг,"18,678.","17,802.","18,108.","18,469.","18,931.","18,444."
"                        1-р баг, Баянхайрхан","5,207.","2,175.","2,206.","2,180.","2,236.","2,169."
"                        2-р баг, Баяншанд","3,605.","2,263.","2,270.","2,299.","2,399.","2,268."
"                        3-р баг, Жаргалант","3,782.","1,883.","1,927.","1,996.","2,084.","2,056."
"                        4-р баг, Харзат","5,050.","2,052.","2,067.","2,042.","2,046.","1,971."
"                        5-р баг, Рашаант",602.,623.,647.,677.,700.,709.
"                        6-р баг, Наран",432.,469.,491.,512.,522.,541.
"                        7-р баг, Жинст",,"1,821.","1,948.","2,033.","2,144.","2,170."
"                        8-р баг, Индэрт",,"2,124.","2,112.","2,161.","2,167.","2,108."
"                        9-р баг, Түмэн",,"2,084.","2,081.","2,124.","2,109.","1,989."
"                        10-р баг, Оргил",,"2,308.","2,359.","2,445.","2,524.","2,463."
                Алтай,"2,022.","2,102.","2,082.","2,063.","2,056.","2,056."
"                        1-р баг, Бадрал",384.,369.,386.,400.,397.,415.
"                        2-р баг, Баянцагаан",309.,299.,299.,301.,313.,310.
"                        3-р баг, Урт",342.,350.,350.,351.,364.,382.
"                        4-р баг, Баян-Овоо",987.,"1,084.","1,047.","1,011.",982.,949.
                Баян-Уул,"3,062.","2,984.","3,000.","3,002.","3,026.","3,006."
"                        1-р баг, Баян богд",442.,433.,437.,421.,429.,408.
"                        2-р баг, Чандмань хайрхан",459.,445.,448.,446.,450.,455.
"                        3-р баг, Баянхайрхан",556.,530.,537.,541.,537.,545.
"                        4-р баг, Хүйсийн говь",388.,363.,370.,390.,391.,394.
"                        5-р баг, Баянговь",623.,625.,625.,611.,629.,626.
"                        6-р баг, Алтангадас",594.,588.,583.,593.,590.,578.
                Бигэр,"2,148.","2,113.","2,139.","2,211.","2,243.","2,243."
"                        1-р баг, Мянгай",532.,513.,521.,550.,564.,553.
"                        2-р баг, Урт",458.,460.,459.,463.,470.,479.
"                        3-р баг, Их булаг",363.,347.,363.,379.,391.,393.
"                        4-р баг, Буудай",314.,328.,308.,318.,325.,332.
"                        5-р баг, Хүрэмт",481.,465.,488.,501.,493.,486.
                    Бугат,"2,195.","2,186.","2,191.","2,168.","2,210.","2,156."
"                            1-р баг, Биж",460.,488.,474.,453.,473.,445.
"                            2-р баг, Ферм",327.,316.,326.,324.,341.,357.
"                            3-р баг, Гаханч",509.,475.,480.,481.,498.,498.
"                            4-р баг, Сүж",509.,518.,510.,519.,522.,500.
"                            5-р баг, Баянгол",390.,389.,401.,391.,376.,356.
                    Дарви,"1,814.","1,819.","1,852.","1,844.","1,860.","1,772."
"                            1-р баг, Ихэс",558.,561.,569.,589.,598.,550.
"                            2-р баг, Хужирт",443.,461.,464.,451.,424.,392.
"                            3-р баг, Жавхлант",462.,464.,474.,473.,493.,493.
"                            4-р баг, Үйлдвэр",351.,333.,345.,331.,345.,337.
                    Дэлгэр,"3,022.","3,023.","3,060.","3,127.","3,146.","3,139."
"                            1-р баг, Баян-Өндөр",817.,804.,818.,833.,844.,842.
"                            2-р баг, Баянхонгор",408.,402.,385.,400.,410.,409.
"                            3-р баг, Баянбуурал",592.,608.,627.,644.,651.,670.
"                            4-р баг, Баянсан",510.,494.,498.,514.,504.,500.
"                            5-р баг, Гуулин",695.,715.,732.,736.,737.,718.
                    Жаргалан,"1,736.","1,752.","1,785.","1,802.","1,826.","1,805."
"                            1-р баг, Бүрэн",685.,740.,736.,737.,781.,781.
"                            2-р баг, Тээл",543.,547.,557.,564.,550.,536.
"                            3-р баг, Завхан гол",508.,465.,492.,501.,495.,488.
                    Тайшир,"1,426.","1,470.","1,550.","1,606.","1,599.","1,619."
"                            1-р баг, Хуримт",578.,601.,634.,667.,676.,662.
"                            2-р баг, Галуут",438.,450.,464.,473.,465.,483.
"                            3-р баг, Далан",410.,419.,452.,466.,458.,474.
                    Тонхил,"2,204.","2,142.","2,152.","2,197.","2,222.","2,232."
"                            1-р баг, Бүс-Уул",414.,416.,422.,437.,452.,467.
"                            2-р баг, Тамч",529.,520.,529.,528.,530.,523.
"                            3-р баг, Зүйл",376.,368.,373.,373.,375.,358.
"                            4-р баг, Алтансоёмбо",376.,352.,360.,370.,370.,382.
"                            5-р баг, Алтайн-Оргил",509.,486.,468.,489.,495.,502.
                    Төгрөг,"1,972.","2,014.","2,054.","2,054.","2,034.","2,050."
"                            1-р баг, Хүрэн гол",487.,494.,507.,508.,491.,494.
"                            2-р баг, Төгрөгийн эх",518.,521.,543.,541.,544.,551.
"                            3-р баг, Мааньт",338.,333.,341.,352.,346.,335.
"                            4-р баг, Цагаан хайрхан",308.,332.,330.,334.,336.,349.
"                            5-р баг, Тунгалаг",321.,334.,333.,319.,317.,321.
                    Халиун,"2,311.","2,367.","2,388.","2,407.","2,458.","2,420."
"                            1-р баг, Сүүж",653.,690.,703.,695.,698.,700.
"                            2-р баг, Гүү бариач",592.,594.,595.,602.,631.,615.
