"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
"                            1-р баг, Баянхайрхан",724.,609.,624.,648.,620.,610.
"                            2-р баг, Рашаант",557.,844.,826.,825.,820.,804.
"                            3-р баг, Эрдэнэхайрхан",737.,676.,671.,677.,670.,665.
                    Тэс,"5,056.","5,218.","5,203.","5,273.","5,238.","5,223."
                            1-р баг,416.,414.,391.,393.,411.,507.
                            2-р баг,534.,542.,547.,519.,523.,502.
                            3-р баг,489.,497.,483.,561.,553.,522.
                            4-р баг,461.,468.,469.,446.,438.,438.
                            5-р баг,632.,665.,679.,688.,673.,644.
                            6-р баг,890.,897.,908.,886.,856.,859.
                            8-р баг,415.,446.,435.,437.,445.,428.
                            9-р баг,423.,476.,470.,492.,479.,461.
                            10-р баг,416.,417.,427.,432.,429.,421.
                            11-р баг,380.,396.,394.,419.,431.,441.
                    Ховд,"2,237.","2,391.","2,398.","2,456.","2,485.","2,450."
"                            1-р баг, Ховд",838.,865.,873.,938.,937.,919.
"                            2-р баг, Шивэр",505.,548.,557.,546.,548.,542.
"                            3-р баг, Ачит",450.,484.,483.,482.,497.,487.
"                            4-р баг, Халиунбулаг",444.,494.,485.,490.,503.,502.
                    Хяргас,"2,314.","2,474.","2,513.","2,585.","2,591.","2,552."
"                            1-р баг, Хангай",341.,363.,368.,409.,402.,405.
"                            2-р баг, Бугат",559.,602.,615.,618.,623.,609.
"                            3-р баг, Хайрхан",623.,673.,672.,702.,702.,692.
"                            4-р баг, Дэлгэр",791.,836.,858.,856.,864.,846.
                    Цагаанхайрхан,"2,011.","2,003.","2,003.","2,061.","2,095.","2,060."
"                            1-р баг, Хунт",608.,507.,512.,528.,543.,550.
"                            2-р баг, Хулж",450.,309.,310.,322.,354.,349.
"                            3-р баг, Арбулаг",597.,937.,911.,918.,888.,852.
"                            4-р баг, Даланхуруу",356.,250.,270.,293.,310.,309.
    Хангайн бүс,"567,429.","573,095.","585,749.","593,675.","600,380.","597,763."
            Орхон,"92,705.","98,750.","101,891.","101,652.","103,217.","104,032."
                Баян-Өндөр,"88,670.","94,976.","98,050.","97,814.","99,490.","100,639."
"                        1-р баг, Зэст","4,282.","4,888.","4,516.","4,640.","5,022.","5,166."
"                        2-р баг, Оюут","5,101.","5,512.","5,546.","5,381.","5,631.","6,047."
"                        3-р баг, Уурхайчин","5,511.","5,450.","5,703.","5,628.","5,810.","6,115."
"                        4-р баг, Хүрэнбулаг","4,980.","5,086.","5,340.","5,321.","5,632.","5,628."
"                        5-р баг, Уртбулаг","3,927.","4,363.","4,656.","4,761.","4,909.","4,808."
"                        6-р баг, Согоот","5,158.","4,973.","5,273.","5,302.","5,461.","5,716."
"                        7-р баг, Дэнж","5,423.","5,806.","5,894.","5,619.","5,907.","6,119."
"                        8-р баг, Бүрэнбүст","3,659.","3,880.","4,135.","4,182.","4,308.","4,485."
"                        9-р баг, Шанд","2,446.","2,517.","2,534.","2,593.","2,443.","2,433."
"                        10-р баг, Наран","3,848.","3,895.","4,075.","3,952.","3,867.","3,740."
"                        11-р баг, Цагаанчулуут","4,078.","4,439.","4,845.","5,018.","5,075.","5,305."
"                        12-р баг, Булаг","3,476.","3,301.","3,454.","3,341.","3,199.","2,933."
"                        13-р баг, Баянцагаан","5,219.","5,521.","5,651.","5,612.","5,472.","5,350."
"                        14-р баг, Говил","3,436.","3,540.","3,702.","3,684.","3,557.","3,468."
"                        15-р баг, Рашаант","4,661.","4,685.","4,861.","4,714.","4,631.","4,336."
"                        16-р баг, Малчин",0.,,,0.,,456.
"                        17-р баг, Эрдэнэ","5,677.","6,556.","6,774.","7,131.","7,377.","7,635."
"                        18-р баг, Баянбулаг","3,263.","3,167.","3,415.","3,417.","3,204.","3,141."
"                        19-р баг, Их залуу","3,630.","4,253.","4,272.","4,308.","4,295.","4,237."
"                        20-р баг, Даваат","4,086.","4,630.","4,492.","4,350.","4,505.","4,394."
"                        21-р баг, Уртын гол","2,750.","2,956.","3,068.","3,050.","3,227.","2,940."
"                        22-р баг, Яргуйт","4,059.","5,558.","5,844.","5,810.","5,958.","6,187."
                Жаргалант,"4,035.","3,774.","3,841.","3,838.","3,727.","3,393."
"                        1-р баг, Улаантолгой",990.,"1,071.","1,056.","1,075.","1,062.","1,020."
"                        2-р баг, Жаргалант","1,289.","1,265.","1,308.","1,272.","1,308.","1,245."
"                        3-р баг, Дулаан-Уул",985.,"1,141.","1,477.","1,491.","1,357.","1,128."
"                        4-р баг, Малчин",771.,297.,,0.,,0.
            Өвөрхангай,"112,591.","111,907.","113,911.","115,684.","116,645.","115,737."
                Арвайхээр,"30,260.","30,335.","30,693.","31,487.","32,347.","32,891."
"                        1-р баг, Согоот","3,026.","3,073.","3,050.","3,055.","3,095.","3,094."
"                        2-р баг, Эмт","2,613.","2,535.","2,541.","2,484.","2,462.","2,426."
"                        3-р баг, Дэлгэрэх","2,234.","2,077.","1,956.","2,099.","2,148.","2,100."
"                        4-р баг, Өлзийт","3,394.","3,193.","3,126.","3,070.","2,968.","2,930."
"                        5-р баг, Арвайхээр","4,305.","4,665.","4,880.","5,142.","2,903.","2,987."
"                        6-р баг, Ягаантолгой","2,400.","2,315.","2,267.","2,282.","2,283.","2,303."
"                        7-р баг, Дэлгэрэхийн дэнж","2,715.","2,540.","2,601.","2,484.","2,520.","2,488."
"                        8-р баг, Рашаант","2,706.","2,539.","2,629.","2,860.","2,998.","3,015."
"                        9-р баг, Бурхи","3,473.","3,555.","3,577.","3,662.","2,628.","2,647."
"                        10-р баг, Ноён","2,606.","2,706.","2,831.","3,014.","3,072.","3,072."
"                        11-р баг, Хүйс толгой",788.,"1,137.","1,235.","1,335.","1,503.","1,674."
"                        12-р баг, Зүлэгт",,,,,"1,214.","1,344."
"                        13-р баг, Онги",,,,,"2,553.","2,811."
                Баруунбаян-Улаан,"2,659.","2,701.","2,773.","2,803.","2,813.","2,786."
"                        1-р баг, Цагаан овоо",684.,651.,680.,683.,672.,651.
"                        2-р баг, Хүүхдийн-Ус",649.,642.,677.,672.,691.,691.
"                        3-р баг, Өлзийт хошуу",632.,650.,656.,665.,673.,692.
"                        4-р баг, Хөөвөр",694.,758.,760.,783.,777.,752.
                Бат-Өлзий,"7,201.","7,271.","7,372.","7,499.","7,597.","7,585."
"                        1-р баг, Улаан-Ам","1,715.","1,785.","1,808.","1,792.","1,808.","1,814."
"                        2-р баг, Бүрэгтий","1,480.","1,459.","1,447.","1,492.","1,489.","1,478."
"                        3-р баг, Өвт","1,631.","1,634.","1,679.","1,694.","1,747.","1,680."
"                        4-р баг, Зөрүүлэг","1,318.","1,365.","1,386.","1,437.","1,449.","1,493."
"                        5-р баг, Хүйтэн булаг","1,057.","1,028.","1,052.","1,084.","1,104.","1,120."
                Баянгол,"3,807.","3,819.","3,879.","3,939.","3,945.","3,830."
"                        1-р баг, Өндөр өнц",790.,815.,829.,834.,824.,814.
"                        2-р баг, Эргэн дэнж",672.,665.,692.,678.,675.,627.
"                        3-р баг, Цагаан булан",555.,564.,577.,602.,603.,592.
"                        4-р баг, Хаяа",498.,507.,517.,523.,524.,516.
"                        5-р баг, Цавын-Ихэр",600.,588.,587.,619.,647.,657.
"                        6-р баг, Ширээ",692.,680.,677.,683.,672.,624.
                    Баян-Өндөр,"3,871.","3,786.","3,810.","3,816.","3,724.","3,651."
"                            1-р баг, Бөмбий",604.,590.,591.,587.,582.,572.
"                            2-р баг, Батхаан",845.,821.,820.,781.,745.,720.
"                            3-р баг, Өвөр зүлэгт",692.,677.,698.,718.,717.,695.
"                            4-р баг, Хар тойром",663.,649.,654.,656.,631.,633.
"                            5-р баг, Бумбат","1,067.","1,049.","1,047.","1,074.","1,049.","1,031."
                    Богд,"5,356.","5,439.","5,548.","5,626.","5,654.","5,692."
"                            1-р баг, Өлзийт хошуу",796.,802.,824.,834.,845.,847.
"                            2-р баг, Хөөвөр",779.,800.,839.,848.,855.,888.
"                            3-р баг, Баян төхөм",712.,725.,740.,785.,787.,781.
"                            4-р баг, Гүн-Ус",755.,755.,754.,773.,797.,821.
"                            5-р баг, Далан",924.,934.,948.,936.,938.,934.
"                            6-р баг, Ялаатай",589.,590.,595.,604.,625.,640.
"                            7-р баг, Ховд",801.,833.,848.,846.,807.,781.
                    Бүрд,"2,843.","2,841.","2,906.","2,951.","2,951.","2,898."
"                            1-р баг, Ар жаргалант",574.,590.,605.,616.,581.,575.
"                            2-р баг, Их боригдой",721.,708.,726.,731.,748.,727.
"                            3-р баг, Донгит",552.,533.,562.,569.,580.,590.
"                            4-р баг, Ар хөшөөт",533.,541.,552.,556.,573.,547.
"                            5-р баг, Онгон",463.,469.,461.,479.,469.,459.
                    Гучин-Ус,"2,160.","2,142.","2,187.","2,195.","2,209.","2,194."
"                            1-р баг, Хөөвөр",520.,502.,500.,504.,480.,470.
"                            2-р баг, Гучин",525.,527.,537.,542.,558.,569.
"                            3-р баг, Аргалант",625.,638.,654.,654.,686.,673.
"                            4-р баг, Аргуйт",490.,475.,496.,495.,485.,482.
                    Есөнзүйл,"3,072.","3,000.","3,074.","3,115.","3,034.","2,908."
"                            1-р баг, Тахилга",731.,751.,743.,753.,754.,730.
"                            2-р баг, Мөнхбулаг",802.,761.,780.,778.,745.,709.
"                            3-р баг, Хайрхан",795.,772.,806.,827.,795.,759.
"                            4-р баг, Эрээн",744.,716.,745.,757.,740.,710.
                    Зүүнбаян-Улаан,"4,005.","3,901.","4,026.","4,066.","4,028.","3,847."
"                            1-р баг, Эмгэд",816.,752.,814.,847.,851.,814.
"                            2-р баг, Цахиурт",621.,614.,630.,639.,620.,601.
"                            3-р баг, Цохиот",742.,720.,736.,737.,719.,695.
"                            4-р баг, Баян-Улаан",874.,918.,916.,930.,922.,886.
"                            5-р баг, Хад",439.,449.,470.,473.,472.,447.
"                            6-р баг, Дэвшил",513.,448.,460.,440.,444.,404.
                    Нарийнтээл,"3,568.","3,595.","3,565.","3,663.","3,668.","3,571."
"                            1-р баг, Шарга",560.,544.,574.,599.,604.,602.
"                            2-р баг, Баянтээг","1,209.","1,222.","1,204.","1,220.","1,201.","1,178."
"                            3-р баг, Өндөрхөмөг",690.,690.,709.,729.,736.,699.
"                            4-р баг, Цагаан-Овоо","1,109.","1,139.","1,078.","1,115.","1,127.","1,092."
                    Өлзийт,"2,491.","2,351.","2,431.","2,446.","2,474.","2,393."
"                            1-р баг, Бор хошуут",684.,617.,640.,635.,632.,617.
"                            2-р баг, Агуйт",759.,709.,735.,738.,751.,725.
"                            3-р баг, Яргайт",564.,538.,559.,564.,570.,560.
"                            4-р баг, Гуулин",484.,487.,497.,509.,521.,491.
                    Сант,"3,694.","3,497.","3,569.","3,644.","3,608.","3,570."
"                            1-р баг, Царги",650.,616.,635.,649.,648.,644.
"                            2-р баг, Цахиурт",840.,802.,798.,798.,806.,775.
"                            3-р баг, Улаан-Овоо",709.,678.,701.,722.,706.,726.
"                            4-р баг, Залаа",775.,749.,767.,790.,782.,787.
"                            5-р баг, Майхан",720.,652.,668.,685.,666.,638.
                Тарагт,"3,180.","3,213.","3,323.","3,373.","3,338.","3,145."
"                        1-р баг, Туяа",699.,708.,712.,728.,736.,697.
"                        2-р баг, Арвайнтал",422.,432.,483.,463.,450.,432.
"                        3-р баг, Хүрэмт","1,180.","1,207.","1,235.","1,229.","1,187.","1,117."
"                        4-р баг, Урт",326.,329.,337.,356.,360.,322.
"                        5-р баг, Их булаг",233.,231.,233.,238.,239.,236.
"                        6-р баг, Алтантал",320.,306.,323.,359.,366.,341.
                    Төгрөг,"2,670.","2,655.","2,735.","2,764.","2,763.","2,714."
"                            1-р баг, Хоолт",808.,786.,787.,773.,769.,713.
"                            2-р баг, Их-Ус",551.,534.,545.,550.,545.,555.
"                            3-р баг, Мазар",523.,535.,536.,533.,528.,491.
"                            4-р баг, Сайн төгрөг",381.,392.,399.,402.,406.,425.
"                            5-р баг, Баян",407.,408.,468.,506.,515.,530.
                    Уянга,"9,334.","9,389.","9,485.","9,512.","9,615.","9,520."
"                            1-р баг, Жаргалант","1,154.","1,206.","1,186.","1,187.","1,212.","1,185."
"                            2-р баг, Таац",713.,738.,758.,767.,790.,821.
"                            3-р баг, Шивээ-Овоо","1,176.","1,140.","1,169.","1,157.","1,172.","1,163."
"                            4-р баг, Шуранга",914.,911.,917.,950.,964.,959.
"                            5-р баг, Бадрал","1,175.","1,219.","1,238.","1,256.","1,268.","1,268."
"                            6-р баг, Бөөрөлжүүт","1,167.","1,146.","1,185.","1,180.","1,216.","1,246."
"                            7-р баг, Өлт","1,348.","1,327.","1,338.","1,356.","1,350.","1,324."
"                            8-р баг, Онги","1,687.","1,702.","1,694.","1,659.","1,643.","1,554."
                    Хайрхандулаан,"3,341.","3,351.","3,470.","3,518.","3,521.","3,479."
"                            1-р баг, Бурхант",541.,562.,569.,561.,564.,563.
"                            2-р баг, Нарт",702.,707.,748.,748.,752.,770.
"                            3-р баг, Эмээлт",513.,516.,537.,570.,576.,566.
"                            4-р баг, Дэрсэн хонхор",484.,472.,492.,488.,487.,482.
"                            5-р баг, Ар агуйт",414.,409.,413.,425.,430.,425.
"                            6-р баг, Марзат",687.,685.,711.,726.,712.,673.
                    Хархорин,"12,543.","12,045.","12,405.","12,516.","12,499.","12,290."
"                            1-р баг, Вангийн-Овоо","3,148.","2,979.","3,044.","3,022.","2,945.","2,872."
"                            2-р баг, Ганган-Орхон","2,580.","2,487.","2,566.","2,502.","2,497.","2,298."
"                            3-р баг, Эрдэнэтолгой","3,204.","2,999.","3,104.","3,210.","3,168.","3,302."
"                            4-р баг, Нарийн хүр",690.,655.,671.,709.,726.,694.
"                            5-р баг, Онгоцон-Ухаа",667.,661.,680.,668.,688.,689.
"                            6-р баг, Жалбаа",740.,731.,770.,775.,790.,778.
"                            7-р баг, Шанх",684.,686.,703.,746.,763.,763.
"                            8-р баг, Орхон",830.,847.,867.,884.,922.,894.
                    Хужирт,"6,536.","6,576.","6,660.","6,751.","6,857.","6,773."
"                            1-р баг, Өвөр модот",759.,740.,754.,767.,794.,785.
"                            2-р баг, Уужим","1,185.","1,258.","1,251.","1,266.","1,274.","1,264."
"                            3-р баг, Бэрх",980.,987.,"1,001.","1,043.","1,049.","1,030."
"                            4-р баг, Шивээт","1,260.","1,256.","1,269.","1,254.","1,258.","1,235."
"                            5-р баг, Шунхлай","1,553.","1,525.","1,554.","1,545.","1,608.","1,590."
"                            6-р баг, Дулаан",799.,810.,831.,876.,874.,869.
            Булган,"60,324.","59,652.","61,149.","62,027.","61,794.","61,344."
                Булган,"12,402.","12,086.","12,512.","12,616.","12,582.","12,484."
"                        1-р баг, Ачуут баг","1,876.","1,850.","1,863.","1,886.","1,882.","1,862."
"                        2-р баг, Хужирт","1,951.","1,872.","1,910.","1,928.","1,923.","1,976."
"                        3-р баг, Агуйт баг","2,101.","2,078.","2,167.","2,105.","2,063.","1,921."
"                        4-р баг, Рашаант","1,703.","1,639.","1,696.","1,708.","1,704.","1,694."
"                        5-р баг, Жаргалант","2,123.","2,059.","2,151.","2,194.","2,156.","2,099."
"                        6-р баг, Булган","2,648.","2,588.","2,725.","2,795.","2,854.","2,932."
                Баян-Агт,"3,076.","3,035.","3,119.","3,218.","3,251.","3,273."
"                        1-р баг, Шарга",599.,587.,597.,625.,643.,639.
"                        2-р баг, Баянзүрх",537.,535.,545.,563.,582.,607.
"                        3-р баг, Баянхайрхан",598.,613.,629.,661.,665.,688.
"                        4-р баг, Дулаанхаан",390.,399.,411.,429.,433.,440.
"                        5-р баг, Халтар",279.,255.,259.,260.,259.,266.
"                        6-р баг, Хүрэмт",694.,646.,678.,680.,669.,633.
                Баяннуур,696.,"1,860.","1,818.","1,861.","1,827.","1,764."
"                        1-р баг, Өлзийт",696.,658.,680.,644.,623.,542.
"                        2-р баг, Шар тал","1,120.","1,202.","1,138.","1,217.","1,204.","1,222."
                Бугат,"2,128.","2,175.","2,241.","2,277.","2,198.","2,149."
"                        1-р баг, Баянтөгөл",796.,743.,752.,789.,731.,722.
"                        2-р баг, Ханжаргалант",532.,606.,647.,634.,637.,634.
"                        3-р баг, Найрамдал",800.,826.,842.,854.,830.,793.
                    Бүрэгхангай,"2,744.","2,716.","2,832.","2,888.","2,872.","2,822."
"                            1-р баг, Бумбат",502.,514.,535.,560.,543.,563.
"                            2-р баг, Цахт",463.,436.,458.,470.,468.,448.
"                            3-р баг, Дэрст",901.,917.,936.,913.,897.,894.
"                            4-р баг, Дархан",878.,849.,903.,945.,964.,917.
                    Гурванбулаг,"3,146.","3,129.","3,176.","3,219.","3,289.","3,289."
"                            1-р баг, Тогоо",451.,466.,467.,472.,498.,499.
"                            2-р баг, Авзага",521.,524.,530.,535.,555.,542.
"                            3-р баг, Агьт",509.,489.,491.,515.,534.,533.
"                            4-р баг, Бэрх",483.,475.,477.,472.,488.,503.
"                            5-р баг, Хөгнө",616.,619.,639.,649.,624.,635.
"                            6-р баг, Хулст",566.,556.,572.,576.,590.,577.
                    Дашинчилэн,"2,782.","2,790.","2,941.","3,037.","3,008.","3,084."
"                            1-р баг, Хараат",601.,600.,652.,667.,672.,694.
"                            2-р баг, Лах",865.,899.,953.,985.,999.,"1,005."
"                            3-р баг, Доргонт",364.,369.,390.,405.,403.,409.
"                            4-р баг, Төв",952.,922.,946.,980.,934.,976.
                    Могод,"2,698.","2,671.","2,701.","2,729.","2,711.","2,677."
"                            1-р баг, Жаргалант",494.,510.,514.,524.,531.,531.
"                            2-р баг, Баясгалант",548.,543.,554.,556.,557.,539.
"                            3-р баг, Баянгол",533.,539.,545.,548.,543.,537.
"                            4-р баг, Баян-Уул",561.,565.,600.,609.,602.,620.
"                            5-р баг, Эрхт",562.,514.,488.,492.,478.,450.
                    Орхон,"3,474.","3,471.","3,584.","3,595.","3,477.","3,587."
"                            1-р баг, Арбулаг",645.,627.,648.,657.,645.,672.
"                            2-р баг, Халиун",774.,846.,869.,869.,841.,808.
"                            3-р баг, Бүхт",665.,622.,642.,661.,661.,684.
"                            4-р баг, Мааньт",426.,421.,441.,433.,387.,537.
"                            5-р баг, Сумын төв",964.,955.,984.,975.,943.,886.
                    Рашаант,"3,154.","3,126.","3,165.","3,215.","3,253.","3,235."
"                            1-р баг, Хөгнө хан",868.,906.,922.,925.,936.,889.
"                            2-р баг, Хар чулуут","1,029.",997.,"1,020.","1,050.","1,067.","1,084."
"                            3-р баг, Улаан шивээт",592.,558.,540.,558.,560.,539.
"                            4-р баг, Аргал хайрхан",665.,665.,683.,682.,690.,723.
                    Сайхан,"3,613.","3,561.","3,648.","3,662.","3,561.","3,556."
"                            1-р баг, Мануулт",507.,520.,518.,522.,491.,499.
"                            2-р баг, Угалз",817.,784.,808.,819.,819.,811.
"                            3-р баг, Хульж",500.,482.,519.,518.,487.,486.
"                            4-р баг, Ундрах",622.,611.,626.,615.,595.,599.
"                            5-р баг, Их Хүрэмт",710.,700.,712.,721.,710.,723.
"                            6-р баг, Сайхан-Овоо",457.,464.,465.,467.,459.,438.
                    Сэлэнгэ,"3,323.","3,195.","3,306.","3,332.","3,343.","3,244."
"                            1-р баг, Таримал",764.,735.,778.,784.,771.,737.
"                            2-р баг, Тариахтай",555.,514.,537.,553.,594.,595.
"                            3-р баг, Сэлэнгэбүрэн",530.,524.,547.,548.,558.,514.
"                            4-р баг, Сангалтай",390.,390.,391.,392.,363.,347.
"                            5-р баг, Ингэт","1,084.","1,032.","1,053.","1,055.","1,057.","1,051."
                    Тэшиг,"3,510.","3,483.","3,504.","3,563.","3,560.","3,592."
"                            1-р баг, Хужирт",612.,603.,612.,614.,606.,582.
"                            2-р баг, Харгал",824.,823.,858.,861.,848.,859.
"                            3-р баг, Далан",614.,620.,652.,666.,672.,670.
"                            4-р баг, Эрэн",371.,376.,399.,405.,412.,409.
"                            5-р баг, Жаргалант","1,089.","1,061.",983.,"1,017.","1,022.","1,072."
                Хангал,"4,537.","4,510.","4,611.","4,705.","4,660.","4,509."
"                        1-р баг, Сөрт",533.,531.,520.,579.,587.,565.
"                        2-р баг, Урт",475.,492.,518.,527.,524.,511.
                        3-р баг,431.,435.,441.,429.,422.,395.
"                        4-р баг, Хялганат","3,098.","3,052.","3,132.","3,170.","3,127.","3,038."
                    Хишиг-Өндөр,"3,178.","3,125.","3,156.","3,158.","3,152.","3,031."
"                            1-р баг, Банзар",534.,559.,565.,568.,575.,554.
"                            2-р баг, Хүрэмт",397.,398.,404.,429.,414.,389.
"                            3-р баг, Тээг",467.,469.,494.,503.,506.,486.
"                            4-р баг, Жаргалант",577.,567.,580.,578.,583.,578.
"                            5-р баг, Мааньт","1,203.","1,132.","1,113.","1,080.","1,074.","1,024."
                    Хутаг-Өндөр,"4,722.","4,719.","4,835.","4,952.","5,050.","5,048."
"                            1-р баг, Хутаг","2,009.","1,985.","2,011.","2,027.","2,078.","2,049."
"                            2-р баг, Хантай",726.,734.,766.,796.,774.,759.
"                            3-р баг, Уньт",887.,858.,881.,894.,937.,968.
"                            4-р баг, Тээл",706.,731.,741.,795.,800.,807.
"                            5-р баг, Хонгор",394.,411.,436.,440.,461.,465.
            Баянхонгор,"82,884.","83,603.","85,332.","87,243.","88,359.","88,008."
                Баянхонгор,"29,192.","29,611.","30,304.","30,931.","31,685.","31,731."
"                        1-р баг, Номгон","4,338.","4,634.","4,871.","5,297.","5,611.","3,208."
"                        2-р баг, Эрдэнэмандал","3,314.","3,482.","3,488.","3,684.","3,799.","3,467."
"                        3-р баг, Дуурсах","4,131.","4,256.","4,442.","4,565.","4,752.","3,589."
"                        4-р баг, Угалз","3,616.","3,499.","3,602.","3,534.","3,539.","3,372."
"                        5-р баг, Цагаанчулуут","3,703.","3,736.","3,783.","3,803.","3,855.","3,734."
"                        6-р баг, Гэгээн шавь","3,408.","3,300.","3,302.","3,251.","3,301.","3,695."
"                        7-р баг, Цахир","3,182.","3,097.","3,089.","2,990.","2,993.","2,503."
"                        8-р баг, Шаргалжуут","1,318.","1,325.","1,356.","1,409.","1,414.","1,401."
"                        9-р баг, Есөнбулаг","2,182.","2,282.","2,371.","2,398.","2,421.","3,260."
"                        10-р баг, Рашаант",,,,,,"3,502."
                Баацагаан,"3,126.","3,111.","3,227.","3,320.","3,307.","3,231."
"                        1-р баг, Баянбулаг",668.,671.,691.,689.,671.,664.
"                        2-р баг, Оройн бууц",547.,567.,614.,614.,607.,624.
"                        3-р баг, Буйлсан",319.,321.,348.,369.,363.,351.
"                        4-р баг, Могой",208.,216.,212.,234.,239.,240.
"                        5-р баг, Товгор",681.,663.,642.,676.,679.,656.
"                        6-р баг, Зүүнхаяа",383.,367.,373.,392.,407.,382.
"                        7-р баг, Баянсайр",320.,306.,347.,346.,341.,314.
                Баянбулаг,"1,673.","1,662.","1,656.","1,720.","1,767.","1,780."
"                        1-р баг, Сангийн далай",580.,547.,545.,579.,607.,610.
"                        2-р баг, Ар Жаргалант",394.,399.,397.,407.,420.,413.
"                        3-р баг, Хангал",379.,393.,391.,412.,424.,438.
"                        4-р баг, Бүрд",315.,323.,323.,322.,316.,319.
                Баянговь,"2,774.","2,777.","2,813.","2,861.","2,922.","2,978."
"                        1-р баг, Хэлтгий булаг",639.,647.,650.,668.,688.,691.
"                        2-р баг, Өрхт",436.,441.,457.,468.,490.,488.
"                        3-р баг, Залаа",560.,564.,586.,626.,641.,680.
"                        4-р баг, Цоохор",566.,571.,563.,558.,576.,569.
"                        5-р баг, Өргөн",573.,554.,557.,541.,527.,550.
                    Баянлиг,"3,630.","3,652.","3,744.","3,831.","3,848.","3,832."
"                            1-р баг, Их Халбагант",516.,515.,532.,564.,568.,566.
"                            2-р баг, Баян-Аараг",585.,583.,595.,614.,625.,642.
"                            3-р баг, Бага баян",725.,747.,749.,766.,768.,762.
"                            4-р баг, Их баян",887.,875.,898.,906.,912.,900.
"                            5-р баг, Хатан суудал",917.,932.,970.,981.,975.,962.
                    Баян-Овоо,"2,443.","2,546.","2,598.","2,673.","2,650.","2,560."
"                            1-р баг, Мандалхайрхан",721.,789.,787.,858.,867.,850.
"                            2-р баг, Уранхайрхан",684.,693.,711.,728.,720.,693.
"                            3-р баг, Асгамба",456.,466.,503.,508.,489.,464.
"                            4-р баг, Мэргэн",582.,598.,597.,579.,574.,553.
                    Баян-Өндөр,"2,529.","2,541.","2,606.","2,637.","2,668.","2,618."
"                            1-р баг, Улаан үзүүр",813.,817.,838.,871.,874.,855.
"                            2-р баг, Элгэн",767.,769.,783.,810.,834.,822.
"                            3-р баг, Булган",539.,547.,574.,532.,529.,496.
"                            4-р баг, Идрэн",410.,408.,411.,424.,431.,445.
                    Баянцагаан,"3,382.","3,369.","3,472.","3,534.","3,590.","3,517."
"                            1-р баг, Гичгэнэ",897.,898.,913.,927.,941.,938.
"                            2-р баг, Дэлгэрэх",741.,745.,776.,791.,817.,808.
"                            3-р баг, Цэцэн",678.,693.,702.,715.,723.,702.
"                            4-р баг, Жаргалант",484.,471.,507.,515.,522.,506.
"                            5-р баг, Баянбулаг",582.,562.,574.,586.,587.,563.
                    Богд,"2,986.","3,028.","3,058.","3,120.","3,113.","3,082."
"                            1-р баг, Луугар",416.,413.,415.,421.,408.,393.
"                            2-р баг, Гурван гол",483.,492.,516.,521.,535.,526.
"                            3-р баг, Алтай",598.,613.,635.,664.,669.,674.
"                            4-р баг, Цэлгэр",377.,387.,386.,394.,396.,381.
"                            5-р баг, Буянт",474.,479.,487.,492.,499.,515.
"                            6-р баг, Хориулт",638.,644.,619.,628.,606.,593.
                    Бөмбөгөр,"3,012.","3,063.","3,139.","3,248.","3,288.","3,293."
"                            1-р баг, Улаан сайр","1,046.","1,057.","1,086.","1,112.","1,143.","1,147."
"                            2-р баг, Хөх толгой",734.,741.,766.,804.,807.,810.
"                            3-р баг, Бургас",482.,517.,537.,553.,552.,547.
"                            4-р баг, Задгай",750.,748.,750.,779.,786.,789.
                    Бууцагаан,"3,574.","3,523.","3,610.","3,676.","3,670.","3,656."
"                            1-р баг, Тэмээт",495.,493.,496.,510.,505.,504.
"                            2-р баг, Баян",693.,691.,714.,742.,754.,781.
"                            3-р баг, Өлзийт",467.,467.,479.,483.,493.,495.
"                            4-р баг, Баянбүрд",670.,666.,686.,686.,674.,683.
"                            5-р баг, Наран",660.,668.,681.,692.,703.,695.
"                            6-р баг, Буянт",589.,538.,554.,563.,541.,498.
                    Галуут,"3,815.","3,802.","3,957.","4,034.","4,103.","4,081."
"                            1-р баг, Хайрхан",804.,804.,823.,853.,882.,879.
"                            2-р баг, Сүмбэр",670.,673.,682.,717.,739.,737.
"                            3-р баг, Үнэгт",524.,521.,533.,499.,510.,503.
"                            4-р баг, Баяннуур",376.,375.,399.,424.,447.,443.
"                            5-р баг, Мандал",815.,839.,852.,856.,877.,868.
"                            6-р баг, Баянхошуу",626.,590.,668.,685.,648.,651.
                    Гурванбулаг,"2,116.","2,144.","2,125.","2,194.","2,216.","2,240."
"                            1-р баг, Цэнгэл",472.,493.,499.,513.,513.,521.
"                            2-р баг, Давааны ам",422.,438.,432.,449.,460.,478.
"                            3-р баг, Буга",527.,511.,502.,514.,525.,528.
"                            4-р баг, Хөвийн ам",420.,434.,445.,471.,472.,462.
"                            5-р баг, Пионер толгой",275.,268.,247.,247.,246.,251.
                Жаргалант,"2,772.","2,826.","2,862.","2,963.","2,961.","2,865."
"                        1-р баг, Намтолгой",762.,768.,777.,826.,814.,793.
"                        2-р баг, Өлзийт-Өндөр",561.,572.,579.,587.,600.,598.
"                        3-р баг, Хөндлөн булаг",838.,838.,866.,931.,947.,897.
"                        4-р баг, Эмээл толгой",611.,648.,640.,619.,600.,577.
