GID,NATIONAL,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G356,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"4-р баг, Хар уул",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71,6.6,7.92,8.8,9.44,8.97,9.45,10.4,10.81
G357,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"5-р баг, Борбургас",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.15,18.19,21.86,23.43,23.97,24.16,23.39,23.63,23.97
G358,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"6-р баг, Уст тохой",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.29,19.6,23.06,22.95,24.22,22.04,21.96,23.01,21.81
G359,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"7-р баг, Долоон гаталга",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,6.76,7.73,8.52,7.81,8.23,7.8,8.08,9.36
G360,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"8-р баг, Партизан с төв",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,4.01,4.81,5.32,5.25,5.25,5.26,5.19,5.17
G361,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"9-р баг, Хөшөөт /холимог/",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,4.44,5.37,5.69,5.96,5.66,5.33,5.17,6.33
G362,National,Western,Ховд,MN84,Ховд,,,Ямаа,418.49,437.81,441.72,474.9,455.64,431.74,441.3,400.75,430.83,441.4,433.62,451.46,457.83,429.33,381.6,438.38,446.22,453.62,471.82,475.33,496.18,495.86,529.19,605.21,700.41,814.68,788.83,805.03,770.89,795.94,794.29,689.13,658.63,821.35,986.35,"1,071.80","1,266.98","1,431.59","1,406.29","1,263.59",882.85,983.69,"1,085.37","1,177.36","1,375.48","1,520.99","1,685.86","1,764.77","1,624.60","1,631.32","1,821.98"
G363,National,Western,Ховд,MN84,Жаргалант,MN8414,,Ямаа,1.27,1.06,1.28,1.45,1.63,1.81,2.56,2.38,1.91,1.48,1.6,1.64,2.09,2.17,2.41,3.6,3.49,3.98,4.65,5.18,10.5,14.22,22.3,32.68,40.81,43.83,35.95,39.08,32.1,23.4,22.12,11.87,15.79,22.32,28.85,33.08,38.96,37.09,53.05,46.53,29.22,33.49,40.79,48.19,57.9,56.4,60.53,58.64,50.66,47.93,58.8
G364,National,Western,Ховд,MN84,Жаргалант,MN8414,"1-р баг, Алагтолгой",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,1.9,3.15,2.81,4.55,4.4,3.31,3.16,2.95
G365,National,Western,Ховд,MN84,Жаргалант,MN8414,"2-р баг, Баатархайрхан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,2.84,3.81,4.02,3.92,2.91,2.8,2.9,2.83
G366,National,Western,Ховд,MN84,Жаргалант,MN8414,"3-р баг, Бичигт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,2.48,2.66,3.51,3.21,3.59,2.3,2.02,3.91
G367,National,Western,Ховд,MN84,Жаргалант,MN8414,"4-р баг, Бугат",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.88,3.33,3.73,4.04,5.18,4.59,3.81,6.21
G368,National,Western,Ховд,MN84,Жаргалант,MN8414,"5-р баг, Буянт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,4.08,5.38,4.92,5.85,5.62,5.91,5.36,6.66
G369,National,Western,Ховд,MN84,Жаргалант,MN8414,"6-р баг, Жаргалан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,2,2.33,1.95,2.26,1.67,1.12,1.06,1.37
G370,National,Western,Ховд,MN84,Жаргалант,MN8414,"7-р баг, Магсаржав",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,1.63,1.76,1.6,1.83,1.32,1.28,1.15,2.34
G371,National,Western,Ховд,MN84,Жаргалант,MN8414,"8-р баг, Наран",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.39,8.9,10.45,9.05,9.85,8.96,7.28,6.73,8.48
G372,National,Western,Ховд,MN84,Жаргалант,MN8414,"9-р баг, Рашаант",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43,9.05,11.42,9.74,10.04,9.95,8.43,7.69,8.12
G373,National,Western,Ховд,MN84,Жаргалант,MN8414,"10-р баг, Тахилт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,2.17,2.47,3.01,3.2,3.36,2.5,2.95,3.21
G374,National,Western,Ховд,MN84,Жаргалант,MN8414,"11-р баг, Хайрхан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,3.72,3.72,3.84,4.35,3.34,3.27,3.3,4.12
G375,National,Western,Ховд,MN84,Жаргалант,MN8414,"12-р баг, Цамбагарав",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.37,6.55,7.43,8.22,7.43,8.34,7.88,7.81,8.6
G376,National,Western,Ховд,MN84,Алтай,MN8408,,Ямаа,24.55,26.64,24.54,25.76,26.87,25.48,26.36,23.78,27.17,27.68,25.83,25.06,26.8,22.28,23.61,26.46,25.74,24.86,23.68,27.16,27.73,27.61,32.06,34.62,37.27,45.09,43.14,33.75,40.46,44.68,48.57,38.22,48.51,55.52,63.39,69.6,83.81,94.47,99.26,92.26,33.79,41.03,46.13,46.19,59.02,69.31,84.72,99.95,111.57,122.02,125.73
G377,National,Western,Ховд,MN84,Алтай,MN8408,"1-р баг, Бодонч",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74,12.4,16.68,18.27,23.86,27.69,33.82,36.93,36.49
G378,National,Western,Ховд,MN84,Алтай,MN8408,"2-р баг, Алтангадас",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.05,20.32,24.23,29.27,34.58,40.5,41.47,43.24,42.23
G379,National,Western,Ховд,MN84,Алтай,MN8408,"3-р баг, Барлаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.74,14.52,17.41,21.01,25.23,28.54,32.16,36.71
G380,National,Western,Ховд,MN84,Алтай,MN8408,"4-р баг, Тахилт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,2.73,3.59,4.36,5.27,6.54,7.73,9.69,10.3
G381,National,Western,Ховд,MN84,Булган,MN8421,,Ямаа,35.35,39.2,39.48,40.96,38.92,31.17,32.33,32.86,36.09,36.51,37,38.75,40.49,40.09,38.98,45.66,47.97,48.4,40.81,46.72,51.04,49.44,56.26,53.56,59.9,70.31,69.96,49.95,58.07,64.95,74.62,69.84,90.67,106.16,115.44,125.35,140.73,165.78,179.14,170.63,78.74,98,,,120.44,134.59,143.74,158.36,177.61,195.56,191.53
G382,National,Western,Ховд,MN84,Булган,MN8421,"1-р баг, Баянгол",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.67,19.26,25.57,29,31.05,35.62,39.79,45.02,44.32
G383,National,Western,Ховд,MN84,Булган,MN8421,"2-р баг, Баянсудал",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.13,24.14,24.76,29.14,31.74,37.67,39.12
G384,National,Western,Ховд,MN84,Булган,MN8421,"3-р баг, Байтаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.64,32.27,34.77,36.88,41.77,43.34,41.07
G385,National,Western,Ховд,MN84,Булган,MN8421,"4-р баг, Алагтолгой",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.01,24.61,26.42,28.99,33.69,36.65,34.12
G386,National,Western,Ховд,MN84,Булган,MN8421,"5-р баг, Далт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.77,11.56,12.19,13.99,15.77,16.8,16.33
G387,National,Western,Ховд,MN84,Булган,MN8421,"6-р баг, Бүрэнхангай",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31,13.01,14.55,13.76,14.85,16.08,16.56
G388,National,Western,Ховд,MN84,Буянт,MN8409,,Ямаа,18.89,18.33,19.84,21.43,21.03,20.44,21.39,19.65,20.35,19.79,19.33,20.57,19.57,18.76,15.12,17.49,17.15,16.73,17.95,18.08,17.89,18.14,17.85,21.03,26.05,32.83,34.68,36.82,37.02,38.71,36.35,36.97,30.5,39.63,48.28,52.93,67.61,78.61,77.22,64.07,54.21,68.83,71.63,71.58,84.93,95.1,103.74,114.6,103.28,95.13,109.83
G389,National,Western,Ховд,MN84,Буянт,MN8409,"1-р баг, Нарийн гол",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.35,21.29,24.11,25.74,28.22,32.07,32.2,30.04,30.99
G390,National,Western,Ховд,MN84,Буянт,MN8409,"2-р баг, Цагаанбургас",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.57,8.33,10.38,11.35,12.5,13.4,12.78,11.87,13.32
G391,National,Western,Ховд,MN84,Буянт,MN8409,"3-р баг, Наранхайрхан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.29,12.4,16.57,20.47,22.96,24.33,19.97,18.04,22.43
G392,National,Western,Ховд,MN84,Буянт,MN8409,"4-р баг, Цагаан-Эрэг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.27,18.68,21.17,24.62,25.95,27.36,24.25,22.06,24.86
G393,National,Western,Ховд,MN84,Буянт,MN8409,"5-р баг, Норжинхайрхан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.15,10.87,12.7,12.93,14.11,17.44,14.1,13.12,18.23
G394,National,Western,Ховд,MN84,Дарви,MN8401,,Ямаа,21.27,22.48,22.63,22.74,23.04,21.78,20.73,16.24,18.25,18.58,17.63,17.97,18.09,14.89,12.29,14.5,14.6,15.23,15.36,16.59,18.39,17.54,18.07,21.73,28.68,34.37,34.34,36.57,38.08,39.66,39.44,28.41,23.44,34.62,44.05,47.79,55.25,63.24,67.78,58.93,41.7,48.37,55.47,65.55,74.62,81.35,94.78,92.52,77.99,81.54,91.51
G395,National,Western,Ховд,MN84,Дарви,MN8401,"1-р баг, Булаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.04,13.29,15.05,16.15,19.91,19.43,17.34,18.03,19.29
G396,National,Western,Ховд,MN84,Дарви,MN8401,"2-р баг, Дэлгэр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.37,15.94,19.19,21.04,23.39,23.05,19.46,20.05,23.2
G397,National,Western,Ховд,MN84,Дарви,MN8401,"3-р баг, Мөрөн",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.03,15.77,18.4,20.38,23.99,23.25,18.34,19.72,23.07
G398,National,Western,Ховд,MN84,Дарви,MN8401,"4-р баг, Мөнгөн аяга",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.64,13.76,15.05,16.42,18.37,17.32,15.26,15.57,16.49
G399,National,Western,Ховд,MN84,Дарви,MN8401,"5-р баг, Булган",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,6.79,6.93,7.36,9.12,9.48,7.6,8.17,9.46
G400,National,Western,Ховд,MN84,Дөргөн,MN8402,,Ямаа,39.72,38.04,38.56,43.5,44.02,44.51,44.97,43.38,44.68,45.24,29.08,29.23,30.6,25.48,24.34,26.86,26.95,27.55,29.48,25.21,28.63,29.52,30.15,39.04,46.2,51.37,45.25,53.08,55.72,56.79,44.07,43.05,28.18,40.91,53.46,53.85,65.51,73.25,73.29,63.6,42.96,55.27,60.26,67.85,74.2,86,85.88,101.17,82.64,89.17,109.69
G401,National,Western,Ховд,MN84,Дөргөн,MN8402,"1-р баг, Агваш",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.28,22.92,26.24,30.07,30.25,34.74,28.2,28.84,33.99
G402,National,Western,Ховд,MN84,Дөргөн,MN8402,"2-р баг, Сээр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.42,18.62,19.8,22.28,23.08,27.62,23.44,23.74,29.63
G403,National,Western,Ховд,MN84,Дөргөн,MN8402,"3-р баг, Аргалант",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,23.5,24.76,29.76,28.1,33.45,26.08,30.04,37.29
G404,National,Western,Ховд,MN84,Дөргөн,MN8402,"4-р баг, Өгөөмөр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,2.81,3.41,3.89,4.45,5.35,4.93,6.55,8.79
G405,National,Western,Ховд,MN84,Дуут,MN8420,,Ямаа,16.72,18.45,18.58,19.74,19.17,16.39,17.75,18.57,,27.26,20.6,21.24,20.91,20.18,17.89,20.45,20.22,20.61,23.86,23.68,21.76,21.25,22.82,27.78,30.15,34.23,32.07,31.85,25.91,28.21,29.48,25.54,25.24,31.19,38.49,46.99,54.67,65.21,61.82,34.98,33.65,37.15,43.7,49.49,57.95,66.17,75.29,78.43,66.04,63.11,68.64
G406,National,Western,Ховд,MN84,Дуут,MN8420,"1-р баг, Шивэр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.82,14.87,18.75,22.36,23.77,23.05,19.82,17.77,20.44
G407,National,Western,Ховд,MN84,Дуут,MN8420,"2-р баг, Хөх бэлчир",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.76,16.88,19.2,20.82,23.91,26.38,23.22,23.62,21.55
G408,National,Western,Ховд,MN84,Дуут,MN8420,"3-р баг, Цагаан бургас",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18,14.43,15.18,17.95,21.6,23.01,18.06,17.38,22.15
G409,National,Western,Ховд,MN84,Дуут,MN8420,"4-р баг, Босго",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,3.31,4.82,5.03,6.02,5.99,4.93,4.33,4.5
G410,National,Western,Ховд,MN84,Зэрэг,MN8406,,Ямаа,29.4,31.47,31.49,32.49,29.28,29.75,30.09,23.59,20.15,20.33,28.34,30.73,31.54,30.9,24.38,28.55,29.65,31.1,33.72,32.55,31.44,29.09,30.66,35.59,39.53,45.33,43.04,45.87,46,46.84,48.29,34.85,28.32,40.03,48.58,58.31,70.69,80.9,78.16,82.82,68.32,58.9,65.84,68.94,78.01,88.91,100.94,103.62,83.93,82.85,101.71
G411,National,Western,Ховд,MN84,Зэрэг,MN8406,"1-р баг, Гүвээ",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,21.49,23.6,26.93,30.14,30.67,24.72,24.09,29.06
G412,National,Western,Ховд,MN84,Зэрэг,MN8406,"2-р баг, Бургасан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.34,13.17,15.18,16.97,19.05,20.59,17.84,17.07,20.05
G413,National,Western,Ховд,MN84,Зэрэг,MN8406,"3-р баг, Бураа",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.42,14.72,17.7,20.36,22.91,23.39,17.81,18.18,23.39
G414,National,Western,Ховд,MN84,Зэрэг,MN8406,"4-р баг, Эхэн",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.17,13.56,14.56,16.32,18.9,19.36,15.95,15.98,20.13
G415,National,Western,Ховд,MN84,Зэрэг,MN8406,"5-р баг, Хөндлөн",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21,5.99,6.96,8.34,9.94,9.61,7.6,7.53,9.08
G416,National,Western,Ховд,MN84,Манхан,MN8411,,Ямаа,42.35,44.68,44.89,48.97,44.48,42.18,42.68,39.96,27.85,28.92,43.79,44.41,41.73,39.73,33.45,40.23,44.85,49.11,54.68,54.39,56.78,57.84,62.11,69,82.41,94,91.86,98.23,88.25,91.01,88.62,71.11,54.48,73.62,94.35,106.46,123.41,133.11,119.44,106.59,103.98,98.06,108.84,114.47,128.7,141.96,161.58,159.48,133.11,126.55,157.11
G417,National,Western,Ховд,MN84,Манхан,MN8411,"1-р баг, Тахилт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.54,16.71,19.15,20.11,22.39,22.07,19.05,16.12,20.73
G418,National,Western,Ховд,MN84,Манхан,MN8411,"2-р баг, Зэрэг гол",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.66,25.11,26.35,30.57,34.63,34.04,28.15,29.63,36.75
G419,National,Western,Ховд,MN84,Манхан,MN8411,"3-р баг, Улаан хүрээ",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.51,16.08,18.41,20.35,23.1,23.38,18.24,16.48,19.52
G420,National,Western,Ховд,MN84,Манхан,MN8411,"4-р баг, Баянгол",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.12,35.01,40.75,44.76,51.44,48.26,41.96,40.15,50.54
G421,National,Western,Ховд,MN84,Манхан,MN8411,"5-р баг, Ботгон",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,11.67,13.57,14.2,15.99,17.94,14.88,14.53,17.84
G422,National,Western,Ховд,MN84,Манхан,MN8411,"6-р баг, Төгрөг гол",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.82,9.89,10.46,11.96,14.03,13.79,10.83,9.65,11.73
G423,National,Western,Ховд,MN84,Мөнххайрхан,MN8419,,Ямаа,18.3,16.2,16.58,17.36,16.59,16.7,16.71,14.51,16.85,17.85,17.88,17.9,18.32,18.23,17.32,19.84,19.67,19.26,20.55,19.3,19.99,19.35,22.4,23.97,27.38,32.94,33.09,35.28,28.74,31.56,34.16,28.69,28.01,27.37,31.94,34.44,40.93,48.73,43.76,38.2,39.1,33.89,36.7,40.1,45.13,49.07,55.31,59.7,54.28,48.67,49.41
G424,National,Western,Ховд,MN84,Мөнххайрхан,MN8419,"1-р баг, Алаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.57,13.67,14.84,16.04,18.75,20.82,19.87,18.27,17.74
G425,National,Western,Ховд,MN84,Мөнххайрхан,MN8419,"2-р баг, Борт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.87,9.81,11.3,12.73,14.29,15.08,13.83,11.23,12.22
G426,National,Western,Ховд,MN84,Мөнххайрхан,MN8419,"3-р баг, Хаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43,6.67,7.47,7.93,9.04,9.9,8.55,7.92,7.14
G427,National,Western,Ховд,MN84,Мөнххайрхан,MN8419,"4-р баг, Сэнхэр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82,9.95,11.52,12.36,13.23,13.89,12.04,11.25,12.31
G428,National,Western,Ховд,MN84,Мөст,MN8407,,Ямаа,26.11,29.55,30.04,31.2,29.13,26.13,26.47,25.16,26.11,27.22,25.8,26.96,24.94,23.17,18.21,21.83,22.74,23.48,26.07,25.96,26.26,26.84,29.81,33.95,37.8,44.15,42.6,42.83,34.61,36.04,39.74,30.95,31.58,39.82,46.18,53.51,62.53,74.85,76.94,71.95,58.74,47.62,52.91,58.3,67.76,75.3,91.37,99.07,91.94,86.06,92.11
G429,National,Western,Ховд,MN84,Мөст,MN8407,"1-р баг, Цэцэг гол",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.37,18.73,23.09,25.56,32.06,33.65,30.13,30.24,31.18
G430,National,Western,Ховд,MN84,Мөст,MN8407,"2-р баг, Хужирт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45,14.51,16.19,16.93,20.22,22.82,22.77,19.94,22.16
G431,National,Western,Ховд,MN84,Мөст,MN8407,"3-р баг, Баянхайрхан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99,14.61,17.06,19.38,21.5,23.23,21.15,18.92,21.18
G432,National,Western,Ховд,MN84,Мөст,MN8407,"4-р баг, Давст",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,5.51,6.41,7.58,9.69,10.97,10.4,9.67,9.27
G433,National,Western,Ховд,MN84,Мөст,MN8407,"5-р баг, Улаантолгой",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,4.94,5.01,5.85,7.91,8.4,7.49,7.3,8.32
G434,National,Western,Ховд,MN84,Мянгад,MN8410,,Ямаа,,,,,,,,,40.08,16.98,17.98,19.52,21.64,22.08,21.09,23.38,22.98,23.82,24.53,23.66,25.21,24.7,26.56,33.65,41.24,47.63,47.21,50.72,45.76,43.74,38.7,41.92,37.64,49.08,59.09,63.25,78.88,90.56,91.15,83.04,64.47,78.88,81.86,96.1,106.34,117.85,124.23,132.04,116.94,117.58,125.81
G435,National,Western,Ховд,MN84,Мянгад,MN8410,"1-р баг, Чацаргант",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98,16.33,19.66,20.77,21.24,24.24,22.11,21.18,23.33
G436,National,Western,Ховд,MN84,Мянгад,MN8410,"2-р баг, Баянбулаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.42,20.19,18.13,22.4,24.38,26.4,24.55,22.29,24.54
G437,National,Western,Ховд,MN84,Мянгад,MN8410,"3-р баг, Гахайт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67,9.34,9.42,9.89,9.95,11.56,8.85,9.44,10.16
G438,National,Western,Ховд,MN84,Мянгад,MN8410,"4-р баг, Цагаанбулан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.65,40.4,45.85,50.87,52.86,53.53,46.21,48.15,50.02
G439,National,Western,Ховд,MN84,Мянгад,MN8410,"5-р баг, Баянхошуу",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14,9.84,13.28,13.93,15.8,16.31,15.22,16.51,17.75
G440,National,Western,Ховд,MN84,Үенч,MN8413,,Ямаа,23.13,27.64,28.73,30.79,29.27,28.53,28.62,27.04,30.17,30.98,26.34,27.34,27.94,27.1,23.43,27.96,28.69,28.16,23.74,27.06,28.14,29.22,35.64,36.22,39.92,46.23,46.38,40.32,42.51,47.19,50.86,41.55,45.82,50.97,56.37,57.4,66.98,75.83,86.74,80.16,36.75,43.2,47.93,49.02,59.81,67.13,72.84,75.77,86.67,87.98,91.35
G441,National,Western,Ховд,MN84,Үенч,MN8413,"1-р баг, Цагаантүнгэ",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04,9.24,11.41,12.96,14.37,15.95,17.41,17.16,18.8
G442,National,Western,Ховд,MN84,Үенч,MN8413,"2-р баг, Нарийн гол",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.94,14.78,17.42,19.98,22.43,22.9,26.24,26.06,26.18
G443,National,Western,Ховд,MN84,Үенч,MN8413,"3-р баг, Жаргалан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91,10.26,12.71,13.84,14.58,15.11,17.68,18.69,19.52
G444,National,Western,Ховд,MN84,Үенч,MN8413,"4-р баг, Улиаст",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94,8.31,10.86,12.34,12.36,13.09,15.77,16.35,16.58
G445,National,Western,Ховд,MN84,Үенч,MN8413,"5-р баг, Хөх үзүүр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,6.43,7.42,8.01,9.1,8.73,9.57,9.72,10.28
G446,National,Western,Ховд,MN84,Ховд,MN8417,,Ямаа,36.87,36.52,38.28,42.52,41.52,41.24,42.45,37.17,40.03,40.17,41.89,45.34,47,46.02,43.08,48.61,47.41,48.32,52.31,50.56,51.77,48.43,34.93,38.58,45.18,55.49,56.08,67.05,63.61,61.74,64.45,55.55,59.03,66.4,78.67,73.93,85.7,91.52,77.69,59.44,47.96,64.08,70.11,81.01,95.37,101.12,116.04,117.15,110.15,112.28,141.22
G447,National,Western,Ховд,MN84,Ховд,MN8417,"1-р баг, Баянбулаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,26.37,30.12,32.96,37.9,41.85,40.9,42.43,50.8
G448,National,Western,Ховд,MN84,Ховд,MN8417,"2-р баг, Цагаанбургас",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.67,25.34,29.99,31.91,37.44,36.28,33.16,33.25,42.67
G449,National,Western,Ховд,MN84,Ховд,MN8417,"3-р баг, Баруун салаа",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.16,17.61,21.18,21.3,24.92,23.65,23.26,22.85,30.83
G450,National,Western,Ховд,MN84,Ховд,MN8417,"4-р баг, Улаанбураа",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,5.88,7.36,7.83,7.93,7.78,6.45,6.6,8.15
G451,National,Western,Ховд,MN84,Ховд,MN8417,"5-р баг, Дунд ус",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06,5.8,6.72,7.12,7.86,7.61,6.38,7.15,8.77
