GID,NATIONAL,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G18,National,Western,Завхан,MN81,Асгат,MN8117,,Ямаа,,,,,,,,,,,,,,,,,3.61,3.66,3.65,3.62,4.2,4.4,4.72,5.62,6.88,7.21,7.15,7.09,8.27,6.51,6.01,5.74,5.89,6.11,8.39,9.55,13.25,17.05,17.35,13.31,10.06,11.07,12.33,13.92,15.03,15.55,15.27,16.42,19.24,20.26,18.79
G19,National,Western,Завхан,MN81,Асгат,MN8117,"1-р баг, Аргалант",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45,10.78,11.32,11.4,11.11,11.76,14.08,8.09,7.49
G20,National,Western,Завхан,MN81,Асгат,MN8117,"2-р баг, Суварга",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,3.14,3.71,4.15,4.16,4.66,5.17,4.6,4.44
G21,National,Western,Завхан,MN81,Асгат,MN8117,"3-р баг, Хайрхан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57,6.86
G22,National,Western,Завхан,MN81,Баянтэс,MN8116,,Ямаа,14.35,14.8,14.87,26.27,25.01,23.39,23.96,24.69,27.12,27.13,23.59,20.48,18.03,21.3,22.73,18.79,21.33,23.71,25.93,29.66,31.96,18.87,19.37,21.23,28.47,31.43,32.5,31.81,36.84,25.87,25.98,26.22,29.59,32.38,39.35,45.8,55.96,61.67,74.02,49.6,38.91,40.86,43.9,46.11,54.38,59.75,56.63,63.84,72.04,84.65,89.13
G23,National,Western,Завхан,MN81,Баянтэс,MN8116,"1-р баг, Бужир",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.21,13.16,14.35,14.31,13.59,16.26,18.13,21.17,20.25
G24,National,Western,Завхан,MN81,Баянтэс,MN8116,"2-р баг, Жавхлан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.24,14.41,17.66,20.27,18.33,20.72,24.69,28.97,35.22
G25,National,Western,Завхан,MN81,Баянтэс,MN8116,"3-р баг, Зайгал",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.57,9.25,11.47,12.06,12.07,12.66,13.77,15.69,15.49
G26,National,Western,Завхан,MN81,Баянтэс,MN8116,"4-р баг, Хачиг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,9.3,10.91,13.11,12.64,14.19,15.44,18.82,18.17
G27,National,Western,Завхан,MN81,Баянхайрхан,MN8118,,Ямаа,9.53,9.89,9.4,8.54,8.27,8.7,9.5,9.05,10.32,10.5,9.98,8.52,8.8,9.38,8.72,9.51,6.46,5.81,6.27,7.35,8.43,8.19,8.43,9.59,12.41,15.57,16.95,20,20.12,18.05,15.75,13.31,15.73,20.36,24.98,26.61,29.25,35.31,36.37,36.26,28.04,30.06,30.4,33.18,35.2,36.62,32.29,33.51,36.96,42.67,39.23
