Index,Улс,National,Region,Аймаг,ProvinceName,Сум,Soum,zCode,Latitude,Longitude,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,neighbor7,neighbor8,neighbor9
340,Батноров,National,Eastern,Хэнтий,Hentii,Батноров,Batnorov,23040,47.94687825,111.498313,23020,23010,23060,23110,23100,23070,NaN,NaN,NaN
341,Батширээт,National,Eastern,Хэнтий,Hentii,Батширээт,Batshireet,23160,48.6901654,110.1921415,23140,23100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
342,Баян-Адарга,National,Eastern,Хэнтий,Hentii,Баян-Адарга,Bayan-Adarga,23070,48.5554764,111.0869265,23100,23030,23020,23040,NaN,NaN,NaN,NaN,NaN
343,Баянмөнх,National,Eastern,Хэнтий,Hentii,Баянмөнх,Bayanmonh,23170,46.89938095,109.7598982,23180,23200,23190,23130,23060,23080,NaN,NaN,NaN
344,Баян-Овоо,National,Eastern,Хэнтий,Hentii,Баян-Овоо,Bayan-Ovoo,23010,47.78620075,112.1160365,23020,23040,23060,21150,22150,22140,NaN,NaN,NaN
345,Баянхутаг,National,Eastern,Хэнтий,Hentii,Баянхутаг,Bayanhutag,23060,47.16990565,110.8181263,23080,23170,23130,23110,23040,23010,22140,NaN,NaN
346,Биндэр,National,Eastern,Хэнтий,Hentii,Биндэр,Binder,23100,48.6173611,110.6017685,23160,23140,23110,23040,23070,23030,NaN,NaN,NaN
347,Галшир,National,Eastern,Хэнтий,Hentii,Галшир,Galshir,23080,46.240533,110.8368373,23170,23060,22140,22160,44040,44070,44090,NaN,NaN
348,Дадал,National,Eastern,Хэнтий,Hentii,Дадал,Dadal,23030,49.02030875,111.6234112,23100,23070,23020,21160,NaN,NaN,NaN,NaN,NaN
349,Дархан,National,Eastern,Хэнтий,Hentii,Дархан сум,Darhan sum,23180,46.62401315,109.4131208,23200,23170,44090,44130,42010,NaN,NaN,NaN,NaN
350,Дэлгэрхаан,National,Eastern,Хэнтий,Hentii,Дэлгэрхаан,Delgerhaan,23200,47.1759148,109.1959906,23210,23190,23170,23180,41020,NaN,NaN,NaN,NaN
351,Жаргалтхаан,National,Eastern,Хэнтий,Hentii,Жаргалтхаан,Jargalthaan,23190,47.49357235,109.4736958,23200,23210,23140,23110,23130,23170,NaN,NaN,NaN
352,Мөрөн,National,Eastern,Хэнтий,Hentii,Мөрөн,Moron sum,23130,47.38959835,110.285698,23170,23190,23110,23060,NaN,NaN,NaN,NaN,NaN
353,Норовлин,National,Eastern,Хэнтий,Hentii,Норовлин,Norovlin,23020,48.6906184,111.9969893,23030,23070,23040,23010,21160,21130,21150,NaN,NaN
354,Өмнөдэлгэр,National,Eastern,Хэнтий,Hentii,Өмнөдэлгэр,Omnodelger,23140,47.8899446,109.8135639,23210,23160,23100,23110,23190,41010,43010,NaN,NaN
355,Цэнхэрмандал,National,Eastern,Хэнтий,Hentii,Цэнхэрмандал,Tsenhermandal,23210,47.7444021,109.0576745,23140,23190,23200,41030,41010,12300,NaN,NaN,NaN
356,Бор-Өндөр,National,Eastern,Хэнтий,Hentii,Бор-Өндөр,Bor-Ondor,23220,46.25121205,109.4442558,23180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
357,Улаанбаатар,National,Ulaanbaatar,,,,,11000,,,41090,41130,41180,41170,41160,41120,41040,NaN,NaN
358,Багануур,National,Улаанбаатар,Улаанбаатар,Ulaanbaatar,Багануур,Baganuur,12000,,,41070,41090,,NaN,NaN,NaN,NaN,NaN,NaN
359,Багахангай,National,Улаанбаатар,Улаанбаатар,Ulaanbaatar,Багахангай,Bagahangai,12300,,,41030,41010,23210,NaN,NaN,NaN,NaN,NaN,NaN
360,Баянгол,National,Улаанбаатар,Улаанбаатар,Ulaanbaatar,Баянгол,Bayangol,16000,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
361,Баянзүрх,National,Улаанбаатар,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurh,13000,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
362,Налайх,National,Улаанбаатар,Улаанбаатар,Ulaanbaatar,Налайх,Nalaih,12600,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
363,Сонгинохайрхан,National,Улаанбаатар,Улаанбаатар,Ulaanbaatar,Сонгинохайрхан,Songinohairhan,18000,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
364,Сүхбаатар,National,Улаанбаатар,Улаанбаатар,Ulaanbaatar,Сүхбаатар,Suhbaatar,14000,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
365,Хан-Уул,National,Улаанбаатар,Улаанбаатар,Ulaanbaatar,Хан-Уул,Han-Uul,17000,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
366,Чингэлтэй,National,Улаанбаатар,Улаанбаатар,Ulaanbaatar,Чингэлтэй,Chingeltei,15000,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
