Статистик үзүүлэлт,Статистик үзүүлэлт,Эдийн засгийн үйл ажиллагааны салбарын ангилал,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"        ДНБ, оны үнээр","GDP, annually",Үл хөдлөх хөрөнгийн үйл ажиллагаа,810.8,"1,495.5","3,381.5","12,020.5","20,376.9","13,151.8","15,848.2","19,573.7","23,254.0","35,839.0","48,907.1","83,370.3","113,957.5","125,910.9","137,681.2","160,522.7","173,846.0","186,823.5","345,984.2","479,635.3","687,697.6","884,158.2","957,312.6","1,162,261.2","1,495,080.1","1,586,277.7","1,639,977.0","1,660,290.0","1,825,117.0","1,934,163.7"
"        ДНБ, оны үнээр","GDP, annually","Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",11.0,30.4,64.1,177.1,335.3,"4,050.7","5,412.3","7,036.8","8,436.5","9,788.5","10,632.1","11,253.9","12,684.5","14,026.8","15,473.6","18,024.5","27,697.3","36,068.4","76,694.6","65,655.8","132,327.3","216,174.5","424,234.5","446,816.2","504,404.5","507,777.4","427,299.7","404,542.8","427,641.8","545,589.9"
"        ДНБ, оны үнээр","GDP, annually",Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,87.8,95.4,193.8,982.7,"2,071.3","5,298.7","7,141.7","9,513.1","11,396.4","13,013.2","15,431.2","18,010.9","21,571.4","23,884.6","27,507.9","34,071.1","33,805.6","51,218.0","98,499.8","88,804.4","81,131.4","71,192.8","177,601.3","213,439.1","210,585.1","218,131.3","214,164.0","239,716.3","265,903.0","317,141.0"
"        ДНБ, оны үнээр","GDP, annually","Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",283.5,781.0,"1,649.9","4,556.5","8,624.3","17,071.2","18,746.5","21,222.9","30,965.7","34,038.0","47,206.8","48,078.6","46,017.0","50,485.2","58,190.6","66,923.1","117,236.4","141,514.3","247,723.6","267,246.3","425,350.3","515,326.4","699,143.0","788,848.0","907,187.6","1,059,659.0","1,118,379.1","1,171,849.8","1,223,064.6","1,406,989.8"
"        ДНБ, оны үнээр","GDP, annually",Боловсрол,357.6,985.2,"2,081.3","5,748.1","10,879.7","21,535.6","22,923.2","23,231.2","28,567.2","35,096.2","48,384.3","51,284.0","58,721.5","67,440.5","66,952.3","86,528.6","122,529.6","170,563.4","272,562.3","312,138.4","379,845.3","503,147.4","744,985.1","854,596.2","996,010.5","1,013,979.1","1,042,952.2","1,115,188.7","1,190,683.5","1,534,160.3"
"        ДНБ, оны үнээр","GDP, annually",Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,241.9,666.6,"1,408.2","3,889.1","7,361.1","14,570.8","16,487.7","16,714.8","19,679.2","18,992.5","18,893.3","20,174.9","22,389.8","25,173.3","32,606.4","37,516.9","50,752.6","72,616.0","119,817.4","123,042.0","167,227.9","193,160.3","316,964.9","359,094.3","412,347.1","473,140.2","481,636.1","490,448.8","558,429.7","728,098.4"
"        ДНБ, оны үнээр","GDP, annually","Урлаг, үзвэр, тоглоом, наадам",9.8,27.1,57.2,158.1,299.2,592.2,959.3,"1,639.2","1,712.6","1,953.0","1,910.1","3,025.7","5,264.1","5,930.5","7,314.9","7,744.5","10,206.0","12,980.0","23,211.4","27,876.2","32,037.1","39,526.4","87,023.2","87,184.1","98,102.3","106,724.1","106,173.2","112,054.1","113,163.7","135,631.0"
"        ДНБ, оны үнээр","GDP, annually",Үйлчилгээний бусад үйл ажиллагаа,20.3,55.6,117.2,326.7,614.4,"1,212.1","1,959.1","3,344.2","3,495.5","3,983.9","3,897.4","6,165.1","10,716.2","12,073.1","14,887.4","15,763.7","18,729.2","23,503.6","27,950.0","24,871.5","44,442.7","67,233.5","137,760.7","149,276.6","177,269.2","188,081.9","169,220.8","164,492.8","159,117.1","173,973.0"
"        ДНБ, оны үнээр","GDP, annually",Бүтээгдэхүүний цэвэр татвар,381.5,"2,229.3","3,375.4","17,513.5","23,525.4","34,522.1","45,127.8","66,888.4","71,698.7","95,330.1","136,891.8","178,622.2","186,103.1","204,603.7","269,217.9","311,737.9","405,253.9","491,866.0","672,817.0","591,767.8","998,362.0","1,656,323.2","1,854,417.9","2,178,573.3","2,075,326.7","1,885,683.7","1,990,733.7","2,540,028.3","3,518,472.9","4,012,643.7"
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant",Бүгд,"2,227,310.7","2,033,678.5","1,845,431.7","1,786,953.8","1,825,094.3","1,941,470.1","1,984,863.8","2,062,208.2","2,131,084.7","2,196,516.8","2,221,690.3","2,287,290.3","2,395,547.3","2,563,346.6","2,835,712.6","3,041,405.7","3,301,635.6","3,639,987.7","3,963,960.0","3,913,673.2","4,162,784.9","4,891,840.4","5,498,482.4","6,144,175.3",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур","716,402.9","645,638.2","631,801.9","626,557.1","638,164.8","639,698.4","653,202.7","682,173.7","717,379.2","737,917.0","617,417.5","499,180.3","444,311.4","465,567.8","541,123.2","602,136.3","641,462.4","734,097.9","768,399.4","796,318.3","664,150.1","660,682.7","803,190.7","911,314.4",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant","Уул уурхай, олборлолт",NaN,NaN,NaN,NaN,NaN,"355,553.9","369,258.9","389,940.4","404,619.6","412,841.0","433,109.8","469,775.5","443,101.7","438,979.5","572,972.8","642,089.0","676,172.1","683,848.5","672,649.2","711,478.9","736,944.1","791,019.7","854,537.7","1,031,197.5",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant",Боловсруулах үйлдвэрлэл,"589,834.9","509,651.9","483,886.6","450,187.0","457,768.9","166,862.9","140,791.4","121,529.1","124,028.6","118,591.6","114,258.9","156,121.6","195,472.0","223,988.1","216,521.4","175,155.9","196,710.9","250,807.8","257,538.2","234,276.8","248,573.0","269,176.8","294,539.4","314,582.0",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant","Цахилгаан, хий, уур, агааржуулалт",NaN,NaN,NaN,NaN,NaN,"63,669.9","63,163.8","63,544.9","64,699.2","66,796.7","66,751.8","68,092.4","71,287.7","72,087.6","75,140.4","75,928.2","78,619.2","83,531.6","90,303.7","96,023.7","96,144.1","103,804.1","108,944.5","114,227.3",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",NaN,NaN,NaN,NaN,NaN,"10,932.2","10,829.3","10,915.4","11,133.5","11,459.5","11,562.4","12,010.7","12,785.4","12,988.6","13,616.7","13,768.9","14,290.4","15,219.4","16,539.3","17,333.8","16,640.1","18,533.3","17,675.5","19,596.1",NaN,NaN,NaN,NaN,NaN,NaN
