Статистик үзүүлэлт,Статистик үзүүлэлт,Эдийн засгийн үйл ажиллагааны салбарын ангилал,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant",Боловсрол,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"379,845.3","383,028.4","387,349.7","392,361.5","398,559.9","395,891.0","403,780.9","415,741.7","426,432.3","440,095.2"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant",Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"167,227.9","151,617.5","154,856.1","166,606.9","182,261.8","185,739.5","185,634.2","189,346.8","194,282.3","202,226.9"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant","Урлаг, үзвэр, тоглоом, наадам",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"32,037.1","28,320.8","28,904.7","30,302.3","30,360.3","31,413.1","34,091.9","34,475.5","34,699.2","36,386.4"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant",Үйлчилгээний бусад үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"44,442.7","52,414.7","57,562.9","62,043.2","59,490.1","57,963.7","61,595.3","64,128.7","65,667.2","63,283.5"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant",Бүтээгдэхүүний цэвэр татвар,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"998,362.0","1,626,538.8","1,744,384.8","1,938,751.2","1,781,712.3","1,388,003.6","1,395,456.6","1,653,707.6","1,986,392.1","2,093,434.0"
"        Цэвэр өсөлт, бууралт",change,Бүгд,NaN,-8.7,-9.3,-3.2,2.1,6.4,2.2,3.9,3.3,3.1,1.1,3.0,4.7,7.0,10.6,7.3,8.6,10.2,8.9,-1.3,6.4,17.3,12.3,11.6,7.9,2.4,1.2,5.3,7.2,5.2
"        Цэвэр өсөлт, бууралт",change,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",NaN,-9.9,-2.1,-0.8,1.9,0.2,2.1,4.4,5.2,2.9,-16.3,-19.2,-11.0,4.8,16.2,11.3,6.5,14.4,4.7,3.6,-16.6,-0.3,21.1,19.2,13.7,10.7,6.2,1.8,4.5,8.4
"        Цэвэр өсөлт, бууралт",change,"Уул уурхай, олборлолт",NaN,NaN,NaN,NaN,NaN,NaN,3.9,5.6,3.8,2.0,4.9,8.5,-5.7,-0.9,30.5,12.1,5.3,1.1,-1.6,5.8,3.6,7.7,8.3,18.5,19.4,14.1,0.2,-5.5,6.1,-0.4
"        Цэвэр өсөлт, бууралт",change,Боловсруулах үйлдвэрлэл,NaN,-13.6,-5.1,-7.0,1.7,-63.5,-15.6,-13.7,2.1,-4.4,-3.7,36.6,25.2,14.6,-3.3,-19.1,12.3,27.5,2.7,-9.0,6.1,7.9,8.7,10.3,4.2,2.6,-0.8,19.9,15.7,10.9
"        Цэвэр өсөлт, бууралт",change,"Цахилгаан, хий, уур, агааржуулалт",NaN,NaN,NaN,NaN,NaN,NaN,-0.8,0.6,1.8,3.2,-0.1,2.0,4.7,1.1,4.2,1.0,3.5,6.2,8.1,6.3,0.1,6.8,5.0,5.4,6.2,4.5,2.0,5.5,8.2,5.9
"        Цэвэр өсөлт, бууралт",change,"Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",NaN,NaN,NaN,NaN,NaN,NaN,-0.9,0.8,2.0,2.9,0.9,3.9,6.5,1.6,4.8,1.1,3.8,6.5,8.7,4.8,-4.0,2.2,-1.1,5.6,-0.7,-7.0,-1.8,1.4,8.2,0.3
"        Цэвэр өсөлт, бууралт",change,Барилга,NaN,-22.4,-40.7,-14.3,9.6,6.0,1.3,-2.5,-2.4,0.1,-15.0,11.6,23.0,52.8,-6.2,16.1,4.1,7.2,-13.8,-34.0,16.5,22.7,85.3,8.0,-4.3,-0.2,-4.9,11.4,4.7,8.0
"        Цэвэр өсөлт, бууралт",change,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",NaN,-18.4,-22.0,6.8,-0.8,-9.2,-1.0,17.3,-3.5,-0.9,23.8,5.4,26.7,9.0,-4.6,3.0,14.3,5.5,15.0,-11.8,39.3,46.4,12.0,8.9,2.4,-8.1,-2.6,6.8,2.2,7.9
"        Цэвэр өсөлт, бууралт",change,Тээвэр ба агуулахын үйл ажиллагаа,NaN,-9.9,-38.8,-16.0,-5.5,-32.3,9.2,4.7,7.0,0.1,20.4,13.5,18.3,14.0,8.5,23.2,11.0,25.2,19.3,8.0,7.0,15.1,8.1,-1.4,14.8,5.1,11.5,14.2,7.6,2.0
"        Цэвэр өсөлт, бууралт",change,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",NaN,NaN,NaN,NaN,NaN,NaN,4.6,0.6,0.2,7.2,11.0,-7.1,4.5,-0.6,12.1,17.3,8.8,14.7,5.8,-3.4,-5.5,26.7,13.7,5.0,-10.8,3.3,1.5,9.7,11.6,4.5
"        Цэвэр өсөлт, бууралт",change,"Мэдээлэл, холбоо",NaN,NaN,NaN,NaN,NaN,NaN,8.3,4.7,6.8,0.1,19.8,14.0,18.5,13.5,8.5,21.9,10.7,24.2,19.0,7.5,6.4,5.8,16.2,14.9,4.7,-2.5,-6.6,13.3,7.8,7.5
"        Цэвэр өсөлт, бууралт",change,Санхүүгийн болон даатгалын үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,NaN,38.7,-25.6,-32.9,35.5,5.5,21.3,13.2,43.9,19.3,7.5,-3.0,19.5,30.4,-15.6,0.3,49.2,42.4,30.8,32.6,14.6,2.3,9.1,5.5,10.3
"        Цэвэр өсөлт, бууралт",change,Үл хөдлөх хөрөнгийн үйл ажиллагаа,NaN,-0.5,0.0,-0.9,-0.5,0.9,1.0,3.5,1.5,1.1,2.0,2.9,4.6,4.2,3.2,3.2,4.0,-0.3,8.3,8.4,0.2,2.4,2.0,3.4,3.7,4.3,1.2,6.7,6.9,2.6
"        Цэвэр өсөлт, бууралт",change,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",NaN,NaN,NaN,NaN,NaN,NaN,3.1,0.7,5.7,-5.5,6.4,8.7,36.8,25.1,1.2,40.8,6.3,-12.1,62.5,11.1,37.9,1.1,1.1,7.9,12.3,-0.2,-7.4,-5.9,7.2,9.2
"        Цэвэр өсөлт, бууралт",change,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,NaN,6.9,3.1,6.9,-2.3,16.0,12.3,25.5,18.9,5.8,30.5,9.1,10.4,33.5,9.3,-11.9,1.8,2.1,3.9,0.9,2.8,0.2,9.5,4.0,3.5
"        Цэвэр өсөлт, бууралт",change,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",NaN,18.6,5.5,0.2,5.9,-78.0,1.8,3.1,-0.2,-2.7,1.6,-6.2,1.0,-2.4,2.0,3.6,-0.5,3.4,3.1,6.5,0.7,-8.9,5.3,3.8,2.5,3.0,-0.1,1.2,0.6,4.8
"        Цэвэр өсөлт, бууралт",change,Боловсрол,NaN,NaN,NaN,NaN,NaN,NaN,2.8,4.9,6.1,4.6,1.5,1.9,4.3,-6.9,-9.6,-4.8,3.5,0.9,6.3,4.2,-1.1,0.8,1.1,1.3,1.6,-0.7,2.0,3.0,2.6,3.2
"        Цэвэр өсөлт, бууралт",change,Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,NaN,3.1,3.3,1.0,1.6,-0.7,2.5,2.7,-3.5,0.9,3.2,8.3,9.4,4.7,2.9,4.7,-9.3,2.1,7.6,9.4,1.9,-0.1,2.0,2.6,4.1
"        Цэвэр өсөлт, бууралт",change,"Урлаг, үзвэр, тоглоом, наадам",NaN,NaN,NaN,NaN,NaN,NaN,-0.2,6.9,5.0,-1.0,17.6,26.5,24.1,4.4,11.6,4.2,5.0,6.5,14.1,-5.7,23.2,-11.6,2.1,4.8,0.2,3.5,8.5,1.1,0.6,4.9
"        Цэвэр өсөлт, бууралт",change,Үйлчилгээний бусад үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,NaN,-0.2,7.0,4.9,-1.0,17.7,26.4,24.1,4.4,11.6,4.2,5.1,6.5,14.1,-5.8,-11.8,17.9,9.8,7.8,-4.1,-2.6,6.3,4.1,2.4,-3.6
"        Цэвэр өсөлт, бууралт",change,Бүтээгдэхүүний цэвэр татвар,NaN,282.7,154.3,280.1,128.6,189.4,21.3,52.4,23.9,27.9,55.2,28.5,11.2,5.6,14.9,1.2,23.0,6.8,17.2,-18.0,44.7,62.9,7.2,11.1,-8.1,-22.1,0.5,18.5,20.1,5.4
