HID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
H278,National,Western,Баян-Өлгий,MN83,Баяннуур,MN8303,"1-р баг, Цэцэгт","1-р баг, Цэцэгт",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,1.23,1.44,1.63,1.59,1.8,1.77,1.65,1.44
H279,National,Western,Баян-Өлгий,MN83,Баяннуур,MN8303,"2-р баг, Баяннуур","2-р баг, Баяннуур",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.82,0.95,1.03,1.11,1.16,1.24,1.14,1.1
H280,National,Western,Баян-Өлгий,MN83,Баяннуур,MN8303,"3-р баг, Цагаан арал","3-р баг, Цагаан арал",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.98,1.37,1.42,1.53,1.85,1.99,2.19,1.86
H281,National,Western,Баян-Өлгий,MN83,Баяннуур,MN8303,"4-р баг, Шар цэхээ с төв","4-р баг, Шар цэхээ с төв",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.44,0.52,0.54,0.51,0.6,0.64,0.62,0.58
H282,National,Western,Баян-Өлгий,MN83,Баяннуур,MN8303,"5-р баг, Цул улаан /холимог/","5-р баг, Цул улаан /холимог/",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.35,0.48,0.53,0.56,0.68,0.64,0.71,0.63
H283,National,Western,Баян-Өлгий,MN83,Бугат,MN8305,Бугат,,Адуу,4.42,4.66,4.8,4.77,4.69,3.76,3.61,3.38,3.31,3.37,3.59,3.69,3.86,3.91,4.17,4.68,4.63,4.31,4.76,5.02,4.24,3.76,3.52,4.19,4.86,5.44,5.47,5.89,5.11,4.84,3.55,3.61,3.05,3.31,3.24,3.22,3.6,3.84,3.68,2.49,1.85,1.96,2,2.48,3.01,3.37,4.16,4.85,4.73,5.05,5.24
H284,National,Western,Баян-Өлгий,MN83,Бугат,MN8305,"1-р баг, Хатуу","1-р баг, Хатуу",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.75,0.91,1.11,1.34,1.59,1.63,1.69,1.57
H285,National,Western,Баян-Өлгий,MN83,Бугат,MN8305,"2-р баг, Улаан толгой","2-р баг, Улаан толгой",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.69,0.89,1.08,1.33,1.58,1.58,1.63,1.67
H286,National,Western,Баян-Өлгий,MN83,Бугат,MN8305,"3-р баг, Бугат сумын төв","3-р баг, Бугат сумын төв",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.35,0.83,0.87,1.01,1.14,1.05,1.19,1.23
H287,National,Western,Баян-Өлгий,MN83,Бугат,MN8305,"4-р баг, Бугын гол","4-р баг, Бугын гол",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.69,0.38,0.32,0.48,0.54,0.48,0.29,0.39
H288,National,Western,Баян-Өлгий,MN83,Бугат,MN8305,"5-р баг, Их булан","5-р баг, Их булан",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.38
H289,National,Western,Баян-Өлгий,MN83,Булган,MN8301,Булган,,Адуу,4.78,5.2,5.72,5.66,6.21,6.08,6.78,6.23,6.3,6.35,5.75,6,5.82,5.87,5.45,6.4,6.71,6.77,6.45,6.51,6.98,6.9,6.45,5.97,6.26,6.85,7.26,6.9,6.99,7.03,7.1,6.48,6.61,6.61,5.6,5.71,5.7,5.89,5.73,5.59,3.03,3.67,3.94,4.37,5,5.67,6.38,6.45,7.26,7.39,7.5
H290,National,Western,Баян-Өлгий,MN83,Булган,MN8301,"1-р баг, Улаагчин","1-р баг, Улаагчин",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.43,0.49,0.54,0.61,0.64,0.67,0.7,0.72
H291,National,Western,Баян-Өлгий,MN83,Булган,MN8301,"2-р баг, Сайхан","2-р баг, Сайхан",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.87,1,1.12,1.21,1.2,1.27,1.26,1.21
H292,National,Western,Баян-Өлгий,MN83,Булган,MN8301,"3-р баг, Булган","3-р баг, Булган",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.73,0.87,0.97,1.06,1.05,1.19,1.23,1.34
H293,National,Western,Баян-Өлгий,MN83,Булган,MN8301,"4-р баг, Жаргалант с төв","4-р баг, Жаргалант с төв",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.44,0.52,0.58,0.68,0.69,0.73,0.78,0.89
H294,National,Western,Баян-Өлгий,MN83,Булган,MN8301,"5-р баг, Хужирт","5-р баг, Хужирт",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.98,1.09,1.28,1.49,1.47,1.78,1.8,1.74
H295,National,Western,Баян-Өлгий,MN83,Булган,MN8301,"6-р баг, Сөнхөл","6-р баг, Сөнхөл",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.41,0.46,0.51,0.59,0.64,0.76,0.78,0.63
H296,National,Western,Баян-Өлгий,MN83,Булган,MN8301,"7-р баг, Улаанхус","7-р баг, Улаанхус",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.51,0.58,0.66,0.74,0.76,0.86,0.84,0.97
H297,National,Western,Баян-Өлгий,MN83,Буянт,MN8314,Буянт,,Адуу,2.94,3.02,3.21,3.25,3.43,2.74,2.84,2.64,2.65,2.78,2.96,3.1,3.41,3.49,3.56,3.96,4.35,4.35,4.64,4.56,4.3,3.94,3.91,3.87,4.47,5.13,5.43,5.43,4.17,4.29,3.77,3.54,2.77,2.99,2.89,2.63,2.8,3.03,2.55,2.03,2.02,2.27,2.58,3.07,3.69,4.31,4.8,5.37,5,4.99,5.41
H298,National,Western,Баян-Өлгий,MN83,Буянт,MN8314,"1-р баг, Хөх эрэг","1-р баг, Хөх эрэг",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,1.06,1.27,1.47,1.51,1.73,1.57,1.55,1.72
H299,National,Western,Баян-Өлгий,MN83,Буянт,MN8314,"2-р баг, Хөлцөөт","2-р баг, Хөлцөөт",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.77,0.95,1.14,1.35,1.52,1.47,1.46,1.61
H300,National,Western,Баян-Өлгий,MN83,Буянт,MN8314,"3-р баг, Өмнөгол","3-р баг, Өмнөгол",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.97,1.15,1.3,1.45,1.59,1.47,1.42,1.5
H301,National,Western,Баян-Өлгий,MN83,Буянт,MN8314,"4-р баг, Шар тохойт с төв","4-р баг, Шар тохойт с төв",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.25,0.32,0.41,0.49,0.53,0.48,0.56,0.58
H302,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,Дэлүүн,,Адуу,8.34,9.02,9.45,9.74,10.07,8.91,9.43,9.31,8.95,9.35,9.64,9.74,9.94,9.48,9.45,10.55,11.36,11.42,11.26,11.14,11.07,10.16,8.8,8.6,9.74,10.86,11.62,11.96,11.19,11.49,11.03,10.34,8.55,8.63,8.19,7.55,7.83,7.85,6.08,5.79,5.59,6.14,6.77,8.19,9.83,10.76,11.79,11.86,11.28,10.75,11.03
H303,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"1-р баг, Далакөл","1-р баг, Далакөл",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.37,0.31,0.35,0.41,0.53,0.48,0.45,0.51
H304,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"2-р баг, Саралахаз","2-р баг, Саралахаз",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.25,0.54,0.61,0.73,0.79,0.57,0.47,0.54
H305,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"3-р баг, Хар уул","3-р баг, Хар уул",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.44,1.73,1.95,2.19,2.16,2.14,1.73,1.92
H306,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"4-р баг, Чихэртэй","4-р баг, Чихэртэй",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.41,1.53,1.53,1.7,1.71,1.61,0.72,0.78
H307,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"5-р баг, Рашаант","5-р баг, Рашаант",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.18,1.14,1.21,1.19,1.15,0.97,1.02,0.94
H308,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"6-р баг, Бугат","6-р баг, Бугат",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.97,1.15,1.33,1.4,1.42,1.42,1.47,1.49
H309,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"7-р баг, Хөх сэрх","7-р баг, Хөх сэрх",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,1.04,1.39,1.51,1.69,1.66,1.66,1.6,1.62
H310,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"8-р баг, Бүргэд","8-р баг, Бүргэд",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,1.24,0.49,0.55,0.58,0.62,0.63,0.69,0.64
H311,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"9-р баг, Хөх толгой сумын төв","9-р баг, Хөх толгой сумын төв",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.42,1.08,1.14,1.26,1.15,1.2,0.95,1
H312,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"10-р баг, Хүйтэн нуур","10-р баг, Хүйтэн нуур",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.86,0.48,0.58,0.65,0.68,0.61,0.53,0.46
H313,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"11-р баг, Чихэртэй","11-р баг, Чихэртэй",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.84
H314,National,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,"12-р баг, Жана ауыл","12-р баг, Жана ауыл",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.31
H315,National,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,Ногооннуур,,Адуу,7.35,7.56,7.59,7.36,7.47,6.72,6.84,6.44,5.86,5.83,5.83,5.92,6.26,6.18,6.5,6.92,7.18,7.44,7.74,7.75,7.68,7.12,6.28,5.82,6.08,6.82,6.8,7.18,6.47,6.18,4.89,5.15,4.87,5,5.03,4.92,5.2,5.57,5.35,4.47,3.87,4.35,4.51,5.08,6.06,6.56,7.81,9.04,9.65,10.5,10.49
H316,National,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,"1-р баг, Бахлаг","1-р баг, Бахлаг",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.3,0.37,0.51,0.7,0.85,0.89,0.95,0.97
H317,National,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,"2-р баг, Чихтэй","2-р баг, Чихтэй",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.53,0.59,0.67,0.78,0.96,0.84,0.85,0.89
H318,National,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,"3-р баг, Ховд","3-р баг, Ховд",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.95,1.11,1.2,1.28,1.41,1.64,1.86,1.9
H319,National,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,"4-р баг, Улаанчулуун","4-р баг, Улаанчулуун",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.87,1.16,1.21,1.38,1.66,1.8,1.99,2.03
H320,National,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,"5-р баг, Ямаат","5-р баг, Ямаат",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.13,1.26,1.35,1.5,1.63,1.7,1.86,1.76
H321,National,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,"6-р баг, Хызылхайын сумын төв","6-р баг, Хызылхайын сумын төв",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.27,0.33,0.35,0.42,0.45,0.48,0.52,0.55
H322,National,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,"7-р баг, Хосхарагай","7-р баг, Хосхарагай",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.63,0.71,0.67,0.9,1.02,1.12,1.22,1.2
H323,National,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,"8-р баг, Асгат","8-р баг, Асгат",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.12,0.14,0.26,0.3,0.37,0.39,0.34
H324,National,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,"9-р баг, Цагааннуур","9-р баг, Цагааннуур",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.31,0.42,0.47,0.6,0.76,0.83,0.87,0.85
H325,National,Western,Баян-Өлгий,MN83,Сагсай,MN8316,Сагсай,,Адуу,4.06,4.36,4.33,4.72,4.88,4.19,4.37,3.96,4.12,4.23,4.44,4.72,5.01,4.84,5.09,5.64,5.84,5.8,6.09,5.95,5.68,4.71,4.67,4.76,5.17,5.9,6.35,6.73,5.55,6.01,5.32,5.6,5.3,5.71,5.63,4.91,5.18,5.67,5.03,4.48,3.85,4.25,4.57,4.83,5.62,6.44,7.31,8.11,8.2,8.52,8.35
H326,National,Western,Баян-Өлгий,MN83,Сагсай,MN8316,"1-р баг, Ямаат","1-р баг, Ямаат",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.81,0.94,1.02,0.99,0.96,0.87,0.89,0.9
H327,National,Western,Баян-Өлгий,MN83,Сагсай,MN8316,"2-р баг, Хол агаш","2-р баг, Хол агаш",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,1,1.16,1.4,1.52,1.72,1.8,1.78,1.61
H328,National,Western,Баян-Өлгий,MN83,Сагсай,MN8316,"3-р баг, Ахкорим","3-р баг, Ахкорим",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.15,1.31,1.51,1.7,1.76,1.73,1.74,1.91
H329,National,Western,Баян-Өлгий,MN83,Сагсай,MN8316,"4-р баг, Хаг","4-р баг, Хаг",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.86,1.05,1.21,1.5,1.81,1.83,1.13,1.04
H330,National,Western,Баян-Өлгий,MN83,Сагсай,MN8316,"5-р баг, Уужим с төв","5-р баг, Уужим с төв",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.45,0.52,0.6,0.76,0.97,1.03,1.03,1.11
H331,National,Western,Баян-Өлгий,MN83,Сагсай,MN8316,"6-р баг, Даян","6-р баг, Даян",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.56,0.64,0.69,0.84,0.89,0.95,0.99,0.8
H332,National,Western,Баян-Өлгий,MN83,Сагсай,MN8316,"7-р баг, Өмнөгол","7-р баг, Өмнөгол",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.98
H333,National,Western,Баян-Өлгий,MN83,Толбо,MN8308,Толбо,,Адуу,4.4,4.66,4.69,4.73,4.85,4.29,4.24,3.75,3.69,3.82,3.98,4.22,4.45,4.45,4.66,5.11,5.25,5.02,5.21,5.42,5.47,4.67,4.31,4.08,4.62,5.58,5.77,5.75,4.87,4.88,4.1,3.95,3.45,3.39,3.19,3,3.08,3.32,2.54,2.22,2.22,2.67,3.02,3.52,4.42,5.04,5.72,6.47,6.3,6.4,6.49
H334,National,Western,Баян-Өлгий,MN83,Толбо,MN8308,"1-р баг, Хош","1-р баг, Хош",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.27,1.57,1.78,1.92,2.15,2.07,2.04,2.02
H335,National,Western,Баян-Өлгий,MN83,Толбо,MN8308,"2-р баг, Толбо нуур","2-р баг, Толбо нуур",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.52,0.58,0.64,0.8,0.93,0.92,1,1.03
H336,National,Western,Баян-Өлгий,MN83,Толбо,MN8308,"3-р баг, Хонгор өлөн","3-р баг, Хонгор өлөн",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.28,0.37,0.49,0.56,0.64,0.6,0.58,0.62
H337,National,Western,Баян-Өлгий,MN83,Толбо,MN8308,"4-р баг, Дөрөө нуур","4-р баг, Дөрөө нуур",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.54,0.69,0.72,0.83,0.96,0.91,0.87,0.8
H338,National,Western,Баян-Өлгий,MN83,Толбо,MN8308,"5-р баг, Хөх толгой с төв","5-р баг, Хөх толгой с төв",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.49,0.69,0.81,0.88,0.94,1.03,1.21,1.33
H339,National,Western,Баян-Өлгий,MN83,Толбо,MN8308,"6-р баг, Бураат","6-р баг, Бураат",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.44,0.52,0.61,0.75,0.85,0.77,0.71,0.69
H340,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,Улаанхус,,Адуу,6.9,7.4,7.34,8.13,8.55,7.29,7.55,7.02,7.02,6.99,7.41,7.67,8.02,7.71,8.33,8.68,9.04,8.86,8.96,9.37,9.39,8.48,7.14,6.44,7.19,8.36,9.17,9.94,9.44,9.44,7.67,6.88,5.89,6.19,6.25,5.9,6.21,6.66,6.66,5.37,4.46,4.75,4.94,5.43,6.51,7.24,7.92,8.53,8.75,9.24,9.2
H341,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,"4-р баг, Согоог","4-р баг, Согоог",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.67,0.78,0.87,0.98,1.29,1.08,1.1
H342,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,"1-р баг, Их ойгор","1-р баг, Их ойгор",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.85,1,1.12,1.21,1.3,1.18,1.31,1.24
H343,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,"5-р баг, Баян зүрх","5-р баг, Баян зүрх",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.5,0.58,0.63,0.69,0.74,0.86,0.8,0.77
H344,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,"2-р баг, Хөх хөтөл","2-р баг, Хөх хөтөл",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.79,0.99,1.08,1.15,1.18,1.05,0.53,0.5
H345,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,"6-р баг, Даян","6-р баг, Даян",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,1.28,1.5,1.67,1.76,1.9,0.78,0.76,0.79
H346,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,"3-р баг, Хулжаа","3-р баг, Хулжаа",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.51,0.55,0.66,0.78,1.83,0.89,1.03
H347,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,"7-р баг, Билүү /холимог/","7-р баг, Билүү /холимог/",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.19,0.21,0.24,0.21,0.28,0.27,0.31,0.31
H348,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,"8-р баг, Билүү 2 с төв","8-р баг, Билүү 2 с төв",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.89,1.06,1.18,1.36,1.37,1.49,0.93,1
H349,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,"9-р баг, Улаан эрэг","9-р баг, Улаан эрэг",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.76
H350,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,"10-р баг, Хөх адар","10-р баг, Хөх адар",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.03
H351,National,Western,Баян-Өлгий,MN83,Улаанхус,MN8317,"11-р баг, Хар ямаат","11-р баг, Хар ямаат",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.67
H352,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,Цэнгэл,,Адуу,7.99,8.41,8.76,8.86,9.37,8.33,8.69,7.09,7.03,7.26,7.34,7.86,8.42,8.31,8.77,9.53,10.17,10.17,9.32,9.92,9.42,8.1,7.41,6.54,7.57,8.6,9.07,9.6,9.45,9.29,7.93,7.17,6.7,6.67,6.35,5.96,6.41,7.04,6.89,6.41,5.74,6.43,6.61,7.9,9.4,10.28,10.85,11.57,12.22,12.96,12.72
H353,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"1-р баг, Шарговь","1-р баг, Шарговь",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.27,1.52,1.66,1.7,1.84,1.97,2.13,2.05
H354,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"2-р баг, Загаст нуур","2-р баг, Загаст нуур",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.87,1.01,1.06,1.09,1.17,1.33,1.4,1.41
H355,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"3-р баг, Цагаан түнгэ","3-р баг, Цагаан түнгэ",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.82,2.12,2.22,2.32,2.43,2.52,2.61,2.52
H356,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"4-р баг, Хар уул","4-р баг, Хар уул",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.44,0.54,0.63,0.73,0.8,0.91,1.04,1.06
H357,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"5-р баг, Борбургас","5-р баг, Борбургас",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.36,1.57,1.77,1.79,1.91,1.91,2.09,2.08
H358,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"6-р баг, Уст тохой","6-р баг, Уст тохой",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.97,1.24,1.41,1.56,1.64,1.73,1.83,1.68
H359,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"7-р баг, Долоон гаталга","7-р баг, Долоон гаталга",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.5,0.56,0.57,0.6,0.6,0.58,0.58,0.57
H360,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"8-р баг, Партизан с төв","8-р баг, Партизан с төв",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.36,0.47,0.55,0.6,0.69,0.73,0.72,0.71
H361,National,Western,Баян-Өлгий,MN83,Цэнгэл,MN8319,"9-р баг, Хөшөөт /холимог/","9-р баг, Хөшөөт /холимог/",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.31,0.38,0.4,0.46,0.47,0.54,0.55,0.63
H362,National,Western,Ховд,MN84,Ховд,,Ховд,,Адуу,93.45,101.25,105.92,106.99,108.2,101.45,101.64,88.58,83.86,83.19,82.94,87.8,88.13,82.62,80.35,87.03,89.23,93.16,97.56,101.51,104.22,98.54,93.62,95.13,104.07,116.55,117.17,111.62,105.28,107.63,99.6,80.34,63.16,67.02,73.18,77.09,85.37,92.24,89.04,81.8,64.65,68.23,75.53,83.79,96.26,107.59,122.69,132.09,128.54,128.76,131.5
H363,National,Western,Ховд,MN84,Жаргалант,MN8414,Жаргалант,,Адуу,0.81,1.23,1.22,1.15,1.17,1.18,1.34,1.13,0.56,0.44,0.52,0.51,0.52,0.51,0.48,0.75,0.88,1.08,1.24,1.29,2.81,2.62,3.23,3.57,3.96,4.24,3.6,3.93,2.99,2.38,2.07,1.03,1.44,1.77,1.73,1.73,2.15,2.1,2.63,2.25,2.02,1.89,2.64,3.56,4.62,5.03,5.73,6.05,5.77,5.87,5.71
H364,National,Western,Ховд,MN84,Жаргалант,MN8414,"1-р баг, Алагтолгой","1-р баг, Алагтолгой",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.18,0.25,0.26,0.33,0.4,0.35,0.32,0.3
H365,National,Western,Ховд,MN84,Жаргалант,MN8414,"2-р баг, Баатархайрхан","2-р баг, Баатархайрхан",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.38,0.47,0.49,0.57,0.48,0.43,0.42,0.45
