HID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
H18,National,Western,Завхан,MN81,Асгат,MN8117,Асгат,,Адуу,,,,,,,,,,,,,,,,,0.9,0.89,0.97,1.14,1.53,1.7,1.88,2.11,2.48,2.67,2.38,2.37,2.59,2.16,1.88,1.14,1.28,1.25,1.18,1.12,1.3,1.55,1.65,1.42,1.43,1.49,1.53,1.74,1.94,1.96,2.28,2.36,2.82,3.27,3.17
H19,National,Western,Завхан,MN81,Асгат,MN8117,"1-р баг, Аргалант","1-р баг, Аргалант",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,1.43,1.61,1.59,1.85,1.92,2.29,1.64,1.59
H20,National,Western,Завхан,MN81,Асгат,MN8117,"2-р баг, Суварга","2-р баг, Суварга",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.32,0.33,0.36,0.43,0.44,0.54,0.52,0.55
H21,National,Western,Завхан,MN81,Асгат,MN8117,"3-р баг, Хайрхан","3-р баг, Хайрхан",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,1.03
H22,National,Western,Завхан,MN81,Баянтэс,MN8116,Баянтэс,,Адуу,4.3,4.49,4.2,8.2,7.6,7.54,7.18,6.67,6.46,6.1,6,5.88,6.07,5.77,6,5.34,5.86,6.36,6.79,6.93,7.43,4.83,4.96,5.35,6.05,6.39,6.08,5.7,5.53,3.16,2.59,2.38,2.21,2.12,2.2,2.55,2.88,3.02,3.17,3.02,3.05,3.53,3.74,4,4.38,4.82,5.39,6.27,7.53,8.63,8.87
H23,National,Western,Завхан,MN81,Баянтэс,MN8116,"1-р баг, Бужир","1-р баг, Бужир",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.96,2.13,2.31,2.44,2.75,3.28,3.67,3.66
H24,National,Western,Завхан,MN81,Баянтэс,MN8116,"2-р баг, Жавхлан","2-р баг, Жавхлан",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,1.05,1.17,1.29,1.45,1.69,2,2.29,2.41
H25,National,Western,Завхан,MN81,Баянтэс,MN8116,"3-р баг, Зайгал","3-р баг, Зайгал",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.51,0.59,0.67,0.74,0.88,1.09,1.24,1.29
H26,National,Western,Завхан,MN81,Баянтэс,MN8116,"4-р баг, Хачиг","4-р баг, Хачиг",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.49,0.49,0.56,0.76,0.95,1.16,1.43,1.51
H27,National,Western,Завхан,MN81,Баянхайрхан,MN8118,Баянхайрхан,,Адуу,6.07,6.26,6.1,5.89,5.56,4.93,4.75,3.97,3.53,3.41,3.53,3.61,3.92,3.84,3.93,4.8,4.21,4.44,4.7,5.25,5.56,5.1,4.85,4.52,5.25,6.2,6.5,7.25,7.03,5.74,4.13,2.56,2.49,2.85,2.9,2.86,2.98,3.41,3.43,3.72,3.49,3.79,3.9,4.21,4.42,4.87,5.3,5.74,6.27,6.93,6.45
H28,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"1-р баг, Наран","1-р баг, Наран",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.29,0.32,0.37,0.51,0.47,0.53,0.65,0.66
H29,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"2-р баг, Асгат","2-р баг, Асгат",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,1.15,1.24,1.46,1.62,1.75,1.89,1.96,1.62
H30,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"3-р баг, Минж","3-р баг, Минж",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,1.64,1.7,1.84,1.89,2.05,2.21,2.45,2.39
H31,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"4-р баг, Төөнт","4-р баг, Төөнт",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1.13,1.17,1.2,1.29,1.46,1.64,1.87,1.78
H32,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,Дөрвөлжин,,Адуу,8.93,9.36,9.5,8.5,8.62,8.1,8.21,7.42,7.06,6.17,5.69,5.73,5.61,6.41,6.1,6.28,6.08,6.56,7.21,7.51,7.51,7.33,7.13,6.19,6.79,7.76,8.38,7.99,7.94,8.02,6.58,5.62,4.25,4.53,5.01,5.53,5.72,7.24,7.23,6.25,4.53,5.22,6.01,7.09,8.25,9.24,10.68,11.65,11.1,12.06,12.03
H33,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"1-р баг, Буга","1-р баг, Буга",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.36,0.47,0.48,0.57,0.62,0.65,0.68,0.72
H34,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"2-р баг, Цогт","2-р баг, Цогт",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,1.36,1.68,2,2.37,2.61,2.62,2.81,2.73
H35,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"3-р баг, Тавантолгой","3-р баг, Тавантолгой",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.91,2.15,2.31,2.69,2.95,2.5,2.75,2.69
