SID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
S18,National,Western,Завхан,MN81,Асгат,MN8117,Асгат,,Хонь,,,,,,,,,,,,,,,,,10.25,10.99,12.12,13.89,17.7,20.29,20.26,19.13,19.31,17.32,14.85,14.3,14.74,12.38,11.69,7.86,9.55,9.96,10.72,12.19,15.5,20.09,22.43,16.98,13.04,13.58,16.89,19.12,20.85,20.86,21.26,21.45,25.1,24.94,21.66
S19,National,Western,Завхан,MN81,Асгат,MN8117,"1-р баг, Аргалант","1-р баг, Аргалант",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65,14.82,16.07,16.01,16.04,16.09,18.99,10.71,8.56
S20,National,Western,Завхан,MN81,Асгат,MN8117,"2-р баг, Суварга","2-р баг, Суварга",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24,4.3,4.78,4.85,5.23,5.37,6.11,4.94,5.08
S21,National,Western,Завхан,MN81,Асгат,MN8117,"3-р баг, Хайрхан","3-р баг, Хайрхан",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.29,8.02
S22,National,Western,Завхан,MN81,Баянтэс,MN8116,Баянтэс,,Хонь,35.35,38.2,38.56,67.16,64,62.14,72.08,75.74,83.44,84.05,81.4,69.96,58.77,60.83,61.83,54.74,60.32,63.31,67.88,72.46,78.94,46.21,47.67,45.93,49.12,45.08,39.86,36.41,40.46,28.12,30.94,29.77,32.14,28.73,33.4,41.85,51.93,57.81,61.69,45.98,29.76,32.41,36.58,40.26,49.18,53.35,55.8,63.33,68.82,76.5,64.85
S23,National,Western,Завхан,MN81,Баянтэс,MN8116,"1-р баг, Бужир","1-р баг, Бужир",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68,17.8,20.29,21.92,21.3,22.46,24.36,26.6,21.18
S24,National,Western,Завхан,MN81,Баянтэс,MN8116,"2-р баг, Жавхлан","2-р баг, Жавхлан",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18,9.57,12.39,13.21,14.03,16.45,18.3,20.32,17.83
S25,National,Western,Завхан,MN81,Баянтэс,MN8116,"3-р баг, Зайгал","3-р баг, Зайгал",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,6.56,8.69,9.05,9.8,11.72,12.81,13.68,11.3
S26,National,Western,Завхан,MN81,Баянтэс,MN8116,"4-р баг, Хачиг","4-р баг, Хачиг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,6.33,7.81,9.18,10.68,12.7,13.35,15.9,14.55
S27,National,Western,Завхан,MN81,Баянхайрхан,MN8118,Баянхайрхан,,Хонь,55.53,57.97,56.25,53.65,46.14,45.77,49.37,49.23,54.44,56.55,59.92,51.34,52.08,53.1,53.63,51.94,44.19,44.12,46.78,52.67,56.86,49.86,44.92,44.29,47.12,49.56,49.45,52.26,49.7,43.69,39.17,28.95,31.26,33.87,40.72,43.86,48.21,52.81,55.51,59.05,49.11,50.47,53.23,60.1,65.66,64.39,60.3,60.24,65.67,72.48,67.72
