SID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
S425,National,Western,Ховд,MN84,Мөнххайрхан,MN8419,"2-р баг, Борт","2-р баг, Борт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.45,11.83,13.18,15.36,18.29,18.81,16.61,12.81,13.48
S426,National,Western,Ховд,MN84,Мөнххайрхан,MN8419,"3-р баг, Хаг","3-р баг, Хаг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.97,10.12,11.25,12.22,13.66,14.91,13.66,11.5,9.66
S427,National,Western,Ховд,MN84,Мөнххайрхан,MN8419,"4-р баг, Сэнхэр","4-р баг, Сэнхэр",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,9.23,10.67,11.89,13.81,14.89,12.99,10.73,10.94
S428,National,Western,Ховд,MN84,Мөст,MN8407,Мөст,,Хонь,63.34,72.4,74.17,76.36,72.91,67.05,65.55,64.72,67.94,72.42,71,75.51,62.4,56.64,48.55,55.43,57.72,56.99,59.62,59.93,60.36,66.12,72.98,79.42,77.69,79.71,71.9,67.4,54.3,58.49,61.52,44.97,41.93,43.65,47.7,54.88,64.29,75.02,73.65,73.23,63.91,51.49,61.9,67.25,77.45,83.8,98.57,104.27,97.51,85.57,84.35
S429,National,Western,Ховд,MN84,Мөст,MN8407,"1-р баг, Цэцэг гол","1-р баг, Цэцэг гол",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.48,18.26,21.42,23.17,25.71,28.56,23.99,22.7,21.3
S430,National,Western,Ховд,MN84,Мөст,MN8407,"2-р баг, Хужирт","2-р баг, Хужирт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.86,15.53,16.58,17.65,21.08,22.52,21.65,17.83,17.86
S431,National,Western,Ховд,MN84,Мөст,MN8407,"3-р баг, Баянхайрхан","3-р баг, Баянхайрхан",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.14,24.23,29.28,32.63,36.92,37.3,35.03,29.45,29.39
S432,National,Western,Ховд,MN84,Мөст,MN8407,"4-р баг, Давст","4-р баг, Давст",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,4.71,5.24,5.75,7.79,9.09,10.26,9.29,9.5
S433,National,Western,Ховд,MN84,Мөст,MN8407,"5-р баг, Улаантолгой","5-р баг, Улаантолгой",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,4.53,4.93,4.6,7.08,6.8,6.58,6.3,6.31
S434,National,Western,Ховд,MN84,Мянгад,MN8410,Мянгад,,Хонь,,,,,,,,,62.93,42.6,43.85,48.23,51.87,51.13,49.89,54.94,55.41,57.37,59.24,59.32,60.56,58.27,57.48,62.68,63.56,62.94,55.95,56.55,49.77,48.19,41.57,42.97,31.68,35.76,40.98,44.5,54.6,61.13,60.36,56.19,35.3,42.86,51.33,61.45,73.63,83.37,93.38,99.93,90.87,82.36,85.18
S435,National,Western,Ховд,MN84,Мянгад,MN8410,"1-р баг, Чацаргант","1-р баг, Чацаргант",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09,10.78,14.44,15.72,17.64,20.52,19.56,16.93,17.74
S436,National,Western,Ховд,MN84,Мянгад,MN8410,"2-р баг, Баянбулаг","2-р баг, Баянбулаг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04,22.17,25.79,29.99,34.18,34.58,31.76,25.42,26.01
S437,National,Western,Ховд,MN84,Мянгад,MN8410,"3-р баг, Гахайт","3-р баг, Гахайт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,3.52,3.46,3.46,4.12,5.53,3.78,4,3.82
S438,National,Western,Ховд,MN84,Мянгад,MN8410,"4-р баг, Цагаанбулан","4-р баг, Цагаанбулан",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,21.47,24.98,28.37,30.36,31.74,28.49,28.18,29.61
S439,National,Western,Ховд,MN84,Мянгад,MN8410,"5-р баг, Баянхошуу","5-р баг, Баянхошуу",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,3.5,4.97,5.84,7.09,7.57,7.29,7.83,8
S440,National,Western,Ховд,MN84,Үенч,MN8413,Үенч,,Хонь,54.96,61.01,60.49,65.32,62.74,62.93,63.13,62.41,67.76,67.33,57.1,63.22,59.38,56.26,53.5,56.94,58.54,59.02,55.34,58.98,61.62,57.96,62.93,59.09,56.62,56.64,52.74,42.15,41.83,43.08,46.14,38.72,37.42,38.36,39.41,39.03,42.14,45.19,46.7,44.23,24.51,25.91,31.13,32.31,37.33,39.12,44.58,47.15,48.48,50.39,47.35
S441,National,Western,Ховд,MN84,Үенч,MN8413,"1-р баг, Цагаантүнгэ","1-р баг, Цагаантүнгэ",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62,7.06,8.17,9.19,9.74,10.19,9.95,10.49,10.58
S442,National,Western,Ховд,MN84,Үенч,MN8413,"2-р баг, Нарийн гол","2-р баг, Нарийн гол",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03,12.54,14.33,15.75,18.98,20,21.11,21.76,19.23
S443,National,Western,Ховд,MN84,Үенч,MN8413,"3-р баг, Жаргалан","3-р баг, Жаргалан",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,6.93,8.01,7,8.03,8.27,8.58,8.87,8.57
S444,National,Western,Ховд,MN84,Үенч,MN8413,"4-р баг, Улиаст","4-р баг, Улиаст",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,1.37,1.76,1.91,1.77,2.09,2.23,2.31,2.21
S445,National,Western,Ховд,MN84,Үенч,MN8413,"5-р баг, Хөх үзүүр","5-р баг, Хөх үзүүр",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,4.42,5.07,5.28,6.06,6.6,6.6,6.97,6.76
S446,National,Western,Ховд,MN84,Ховд,MN8417,Ховд,,Хонь,56.12,50.1,47.03,47.71,47.84,46.67,47.34,46.34,47.24,44.9,45.99,49.09,52.07,53.52,51.03,50.2,45.61,49.78,51.93,54.53,54.66,47.85,32.97,34.67,36.59,40.86,39.6,45.15,40.3,41.65,40.38,32.27,34.17,34.83,31.23,31.44,34.44,36.24,33.03,26.74,23.22,28.23,35.92,42.38,51.43,54.85,59.78,65.62,55.28,50.08,54.99
S447,National,Western,Ховд,MN84,Ховд,MN8417,"1-р баг, Баянбулаг","1-р баг, Баянбулаг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.45,11.61,13.6,14.64,15.95,19.85,17.29,15.86,15.95
S448,National,Western,Ховд,MN84,Ховд,MN8417,"2-р баг, Цагаанбургас","2-р баг, Цагаанбургас",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34,12.3,15.13,17.19,19.75,20.14,16.86,13.98,16.97
S449,National,Western,Ховд,MN84,Ховд,MN8417,"3-р баг, Баруун салаа","3-р баг, Баруун салаа",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.61,13.46,16.11,16.22,16.17,16.38,13.37,12.83,14.12
S450,National,Western,Ховд,MN84,Ховд,MN8417,"4-р баг, Улаанбураа","4-р баг, Улаанбураа",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.77,3.79,3.8,3.89,4.48,3.53,3.4,4.01
S451,National,Western,Ховд,MN84,Ховд,MN8417,"5-р баг, Дунд ус","5-р баг, Дунд ус",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,2.24,2.8,3,4.02,4.78,4.24,4.01,3.95
S452,National,Western,Ховд,MN84,Цэцэг,MN8405,Цэцэг,,Хонь,56.83,61.17,60.66,64.81,62.66,62.3,63.55,62.18,66.12,65.86,53.92,62.35,56.97,54.49,43.86,49.53,48.99,50.14,55.66,56.53,57.91,52.63,54.46,55.38,51.1,51.23,49.71,46.38,40.85,46.44,49.61,40.74,37.81,35.2,38.44,43.63,49.66,55.84,55.38,56.77,40.4,32.11,38,39.72,47.32,53.87,63.8,74.64,76.26,73.23,68.85
S453,National,Western,Ховд,MN84,Цэцэг,MN8405,"1-р баг, Хажинга","1-р баг, Хажинга",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94,10.9,12.27,13.46,15.39,17.96,15.21,13.49,11.67
S454,National,Western,Ховд,MN84,Цэцэг,MN8405,"2-р баг, Баянгол","2-р баг, Баянгол",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55,14.16,17.68,19.97,22.88,26.07,27.45,26.4,25.42
S455,National,Western,Ховд,MN84,Цэцэг,MN8405,"3-р баг, Баян-Овоо","3-р баг, Баян-Овоо",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65,8.55,9.99,12.17,14.85,18.9,20.05,20.14,20.01
S456,National,Western,Ховд,MN84,Цэцэг,MN8405,"4-р баг, Цэцэг нуур","4-р баг, Цэцэг нуур",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,2.77,3.11,3.63,5.1,6.05,7.08,6.48,5.49
S457,National,Western,Ховд,MN84,Цэцэг,MN8405,"5-р баг, Хөшөөт","5-р баг, Хөшөөт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,3.34,4.27,4.64,5.59,5.68,6.48,6.72,6.27
S458,National,Western,Ховд,MN84,Чандмань,MN8403,Чандмань,,Хонь,58.8,61.59,60.66,69.8,70.23,73.95,72.4,66.23,67.58,67.87,71.55,78.49,71.02,64.27,56.61,61.35,60.74,61.4,63.85,63.63,65.15,63.44,68.35,76.29,67.92,68.86,66.84,71.75,75.17,84.84,78.88,68.77,36.39,46.74,59.84,71.88,89.07,94.98,72.48,68.35,45.56,55.62,70.56,77.86,94.16,105.14,116.45,104.06,80.76,87.51,100.55
S459,National,Western,Ховд,MN84,Чандмань,MN8403,"1-р баг, Талын булаг","1-р баг, Талын булаг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,14.34,17.41,19.18,21.42,17.09,12.39,14.11,17.49
S460,National,Western,Ховд,MN84,Чандмань,MN8403,"2-р баг, Тахилт","2-р баг, Тахилт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.32,14.83,17.8,19.8,21.73,19.54,14.18,15.67,17.66
S461,National,Western,Ховд,MN84,Чандмань,MN8403,"3-р баг, Баянхайрхан","3-р баг, Баянхайрхан",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.37,13.99,17.17,19.2,22.34,22.21,18.07,19.22,22.11
S462,National,Western,Ховд,MN84,Чандмань,MN8403,"4-р баг, Сүлжээ","4-р баг, Сүлжээ",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,13.32,14.98,16.45,18.13,17.29,13.9,14.39,16.6
S463,National,Western,Ховд,MN84,Чандмань,MN8403,"5-р баг, Урд гол","5-р баг, Урд гол",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.77,6.32,7.56,8.69,9.71,7.67,6.29,6.54,7.34
S464,National,Western,Ховд,MN84,Чандмань,MN8403,"6-р баг, Жаргалант","6-р баг, Жаргалант",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.51,15.07,19.24,21.82,23.12,20.27,15.93,17.57,19.34
S465,National,Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,Эрдэнэбүрэн,,Хонь,52.91,56.49,58.46,60.6,60.71,57.69,57.22,50.21,52.49,51.97,50.97,55.2,52.4,55.06,53.18,54.73,53.76,56.75,59.52,62.38,58.29,60.96,60.53,66.82,66.89,69.94,61.2,64.06,52.74,53.32,49.1,48.2,39.35,45.03,50.74,56.62,65.08,69.31,53.73,48.9,36.68,43.3,54.37,60.26,72.42,83,97.25,94.73,75.63,64.63,64.7
S466,National,Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,"1-р баг, Баянгол","1-р баг, Баянгол",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94,6.98,8.31,9.33,11.32,13.19,13.27,11.46,11.33
S467,National,Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,"2-р баг, Намаржин","2-р баг, Намаржин",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98,11.15,13.64,15.65,19.96,19.22,14.03,11.5,12.33
S468,National,Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,"3-р баг, Хонгио","3-р баг, Хонгио",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.24,18.2,23.2,26.07,31.06,28.71,21.69,18.2,19.09
S469,National,Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,"4-р баг, Шураг","4-р баг, Шураг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.72,18.67,22.35,27.03,30.36,28.97,23.2,20.29,18.7
S470,National,Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,"5-р баг, Хар ус","5-р баг, Хар ус",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,5.25,4.93,4.93,4.56,4.64,3.44,3.18,3.26
S471,National,Western,Увс,MN85,Увс,,Увс,,Хонь,1108.36,1131.68,1138.2,1158.26,1129.51,1053.81,916.29,894.47,920.43,959.11,945.21,934.54,963.95,906.68,896.89,918.5,913.56,924.19,946.62,978.77,1020.21,969.29,991.8,995.15,987.9,945.73,920.66,956.73,983.22,973.15,858.61,831.03,754.7,798.47,926.43,987.68,1164.82,1278.17,1215.01,1145.11,776.93,851.47,975.98,1081.29,1260.52,1337.01,1376.48,1552.09,1567.96,1604.79,1622.66
S472,National,Western,Увс,MN85,Улаангом,MN8516,Улаангом,,Хонь,0.62,0.6,0.5,0.61,,5.93,5.99,6.48,6.24,5.94,5.98,8.48,10.84,12.36,14.31,15.33,10.7,12.54,8.2,8.48,9.5,9.74,7.42,6.13,5.74,3.58,2.18,51.99,1.78,,,,,,,,,,,83.32,54.41,56.78,64.58,62.07,78.22,70.71,78.45,89.66,95.5,103.48,101.85
S473,National,Western,Увс,MN85,Улаангом,MN8516,1-р баг,1-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,0.96,5.4,4,4.06,4.49,4.53,4.51,4.71
S474,National,Western,Увс,MN85,Улаангом,MN8516,2-р баг,2-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.55,17.16,19.07,22.02,25.72,26.98,30.13,30.49
S475,National,Western,Увс,MN85,Улаангом,MN8516,3-р баг,3-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,4.78,2.25,2.4,2.6,3.4,3.39,3.88,3.37
S476,National,Western,Увс,MN85,Улаангом,MN8516,4-р баг,4-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.12,13.43,1.81,0.83,1.04,1.33,1.73,1.86,2.09
S477,National,Western,Увс,MN85,Улаангом,MN8516,5-р баг,5-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,0.56,2.73,3.77,3.67,4.01,3.92,3.63,4.28
S478,National,Western,Увс,MN85,Улаангом,MN8516,6-р баг,6-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,0.55,1.85,2.66,2.7,2.91,2.36,2.57,2.44
S479,National,Western,Увс,MN85,Улаангом,MN8516,7-р баг,7-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.56,13.99,7.61,7.49,7.25,7.49,8.03,8.3
S480,National,Western,Увс,MN85,Улаангом,MN8516,8-р баг,8-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,1.4,18.34,20.76,22.68,25.73,29.4,32.53,30.67
S481,National,Western,Увс,MN85,Улаангом,MN8516,9-р баг,9-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.16,13.88,10.47,2.82,4.55,5.65,6.05,5.78,6.04
S482,National,Western,Увс,MN85,Улаангом,MN8516,10-р баг,10-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.78,15.98,2.11,2.4,2.49,2.73,3.04,3.85,3.14
S483,National,Western,Увс,MN85,Улаангом,MN8516,11-р баг,11-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,7.41,2.11,1.83,2.55,2.92,2.75,3.12,2.6
S484,National,Western,Увс,MN85,Улаангом,MN8516,12-р баг,12-р баг,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.61,3.53,3.86,3.6,3.74
S485,National,Western,Увс,MN85,Баруунтуруун,MN8502,Баруунтуруун,,Хонь,34.64,35.33,33.98,30.95,28.21,6.19,6.62,6.9,8.2,9.1,10.65,14.88,16.58,17.05,18.4,19.89,19.98,19.35,21.45,23.85,28.11,31.03,30.67,31.44,35.41,34.59,31.27,30.44,29.92,26.42,18.54,7.72,8.37,8.41,9.64,11.99,15.61,17.68,20.61,23.35,11.79,13.38,14.07,15.61,18.89,21.74,22.59,24.88,26.66,27.17,29.75
S486,National,Western,Увс,MN85,Баруунтуруун,MN8502,"1-р баг, Шанд","1-р баг, Шанд",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,1.18,1.47,2.07,2.73,3.07,3.33,3.11,3
S487,National,Western,Увс,MN85,Баруунтуруун,MN8502,"2-р баг, Зүүн туруун","2-р баг, Зүүн туруун",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,4.88,5.36,6.28,6.19,7.09,7.3,7.28,7.91
S488,National,Western,Увс,MN85,Баруунтуруун,MN8502,"3-р баг, Туруун","3-р баг, Туруун",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,1.75,2,2.34,2.37,2.65,2.81,3.46,4.38
S489,National,Western,Увс,MN85,Баруунтуруун,MN8502,"4-р баг, Баян-Айраг","4-р баг, Баян-Айраг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.11,7.81,10.07,11.06,11.29,12.07,13.22,13.31,14.46
S490,National,Western,Увс,MN85,Бөхмөрөн,MN8522,Бөхмөрөн,,Хонь,42.03,45.9,47.17,45.62,43.58,35.69,34.63,37.27,38.61,39.19,38.45,32.85,33.8,32.44,32.15,33.26,33.53,32.86,33.64,35.19,36.97,34.49,37.41,36.8,37.27,34.09,29.54,32.57,32.07,34.08,31.38,30.74,24.34,28.92,32.47,26.73,32.48,34.57,40.41,37.22,31.12,31.89,36.59,41.25,47.09,49.7,52.54,59.88,62.65,61.78,63.98
S491,National,Western,Увс,MN85,Бөхмөрөн,MN8522,"1-р баг, Гурван жигэртэй","1-р баг, Гурван жигэртэй",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,19.98,23.41,24.91,24.94,27.84,29.24,29.48,29.39
S492,National,Western,Увс,MN85,Бөхмөрөн,MN8522,"2-р баг, Хар алтад","2-р баг, Хар алтад",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,17.34,19.43,20.2,21.61,25.09,26.38,24.86,26.38
S493,National,Western,Увс,MN85,Бөхмөрөн,MN8522,"3-р баг, Байшинт","3-р баг, Байшинт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,3.94,4.25,4.6,6,6.95,7.03,7.44,8.21
S494,National,Western,Увс,MN85,Давст,MN8512,Давст,,Хонь,31.95,31.47,32.33,29.8,39.39,42.83,38.01,32.62,29.71,31.8,31.95,31.56,30.61,30.15,29.8,30.84,30.88,31.18,31.64,32.25,33.72,24.9,25.34,22.87,22.22,20.65,19.12,18.1,18.4,19.63,20.26,24.05,21.02,22.44,26.93,31.98,37.8,39.26,30.82,31.46,28.34,27.5,29.09,29.33,41.84,36.12,34.73,39.67,42.18,46.12,43.7
S495,National,Western,Увс,MN85,Давст,MN8512,"1-р баг, Торхилог","1-р баг, Торхилог",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13.73,24.61,16.9,15.89,18.55,20.89,22.77,22.47
S496,National,Western,Увс,MN85,Давст,MN8512,"2-р баг, Зүүнхөвөө","2-р баг, Зүүнхөвөө",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,0.98,,1.33,0.96,0.86,0.79,0.89,0.92
S497,National,Western,Увс,MN85,Давст,MN8512,"3-р баг, Хандгайт","3-р баг, Хандгайт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.53,14.62,22.66,17.89,17.87,20.26,20.51,22.46,20.32
S498,National,Western,Увс,MN85,Завхан,MN8510,Завхан,,Хонь,18.98,20.51,21.15,21.92,19.98,20.28,20.22,22.07,20.88,23.38,23.69,24.21,25.63,22.41,22.91,24.68,25.56,26.15,23.9,23.36,25.56,26.14,28.38,33.83,37.89,39.63,36.9,41.66,46.23,40.17,29.29,29.59,11.86,14.08,18.03,19.63,21.94,23.54,24.92,23.69,13.45,15.86,20.15,23.72,84.46,32.43,33.96,40.46,41.41,43.24,49.13
S499,National,Western,Увс,MN85,Завхан,MN8510,"1-р баг, Айраг нуур","1-р баг, Айраг нуур",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,5.98,,7.86,8.86,10.13,9.95,11.02,12.18
S500,National,Western,Увс,MN85,Завхан,MN8510,"2-р баг, Хармагт","2-р баг, Хармагт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,6.49,,9.51,9.75,11.44,10.63,11.03,12.9
S501,National,Western,Увс,MN85,Завхан,MN8510,"3-р баг, Хяргас нуур","3-р баг, Хяргас нуур",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,6.96,9,8.28,8.66,10.42,12.09,11.77,13.13
S502,National,Western,Увс,MN85,Завхан,MN8510,"4-р баг, Шар булаг","4-р баг, Шар булаг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,4.29,,6.77,6.69,8.47,8.74,9.43,10.92
S503,National,Western,Увс,MN85,Зүүнговь,MN8504,Зүүнговь,,Хонь,80,82.7,84.37,84.38,78.31,77.4,69.13,37.72,44.49,48.69,46.45,52.24,54.78,51.99,49.32,51.26,50.44,46.89,49.93,53.8,56.78,55.18,58.78,58.59,51.76,42.19,44.88,46.81,51.09,49.29,50.58,47.3,45.84,41.36,47.53,58.49,69.56,73.24,72.94,70.24,28.55,32.66,40.81,47.14,,61.66,60.83,68.26,72.35,75.66,77.72
S504,National,Western,Увс,MN85,Зүүнговь,MN8504,"1-р баг, Баяннуур","1-р баг, Баяннуур",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,7.59,9.18,9.39,9.46,10.58,11.72,11.83,12.34
S505,National,Western,Увс,MN85,Зүүнговь,MN8504,"2-р баг, Өгөөмөр","2-р баг, Өгөөмөр",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96,6.81,9.07,10.23,10.75,12.62,14.34,15.01,15.8
S506,National,Western,Увс,MN85,Зүүнговь,MN8504,"3-р баг, Суврага","3-р баг, Суврага",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15.67,18.72,20.28,17.76,19.79,20.61,22.07,22.09
S507,National,Western,Увс,MN85,Зүүнговь,MN8504,"4-р баг, Тохой","4-р баг, Тохой",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.93,15.09,16.43,18.59,19.52,21.53,21.85,22.9,23.57
S508,National,Western,Увс,MN85,Зүүнговь,MN8504,"5-р баг, Зэлийн гол","5-р баг, Зэлийн гол",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.98,2.59,3.18,3.34,3.74,3.84,3.85,3.92
S509,National,Western,Увс,MN85,Зүүнхангай,MN8501,Зүүнхангай,,Хонь,85.11,89.32,87.88,85.21,88.82,79.43,72.88,70.86,75.02,76.71,63.93,50,47.87,47.71,46.86,49.27,50.14,50.89,53.14,57.11,60.05,52.29,52.14,58.41,62.29,57.71,56.26,60.71,60.36,61.65,52.78,42.22,42.79,46.41,54.75,57.31,69.51,79.1,84.43,70.4,40.26,43.6,54.23,59.32,69.62,76.33,78.08,87.64,86.47,94.42,95.93
S510,National,Western,Увс,MN85,Зүүнхангай,MN8501,"1-р баг, Даланбулаг","1-р баг, Даланбулаг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.35,17.11,20.92,21.26,19.83,24.64,24.1,27.17,27.43
S511,National,Western,Увс,MN85,Зүүнхангай,MN8501,"2-р баг, Баянгол","2-р баг, Баянгол",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.35,22.08,26.36,27.48,30.24,33.76,34.81,37.65,38.98
S512,National,Western,Увс,MN85,Зүүнхангай,MN8501,"3-р баг, Жаргалант","3-р баг, Жаргалант",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15.26,17.5,17.03,16.43,20.68,20.23,21.55,22.26
S513,National,Western,Увс,MN85,Зүүнхангай,MN8501,"4-р баг, Хайрхан","4-р баг, Хайрхан",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,4.87,4.84,10.56,11.59,8.56,7.34,8.05,7.26
